dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,5,v0_weight,0.64,0.56,0.58,0
indian_pines,5,v0_weight,0.63,0.54,0.57,1
indian_pines,5,v0_weight,0.62,0.53,0.56,2
indian_pines,5,v0_weight,0.63,0.56,0.58,3
indian_pines,5,v0_weight,0.64,0.54,0.58,4
indian_pines,5,v0_weight,0.63,0.55,0.57,5
indian_pines,5,v0_weight,0.61,0.54,0.55,6
indian_pines,5,v0_weight,0.63,0.54,0.57,7
indian_pines,5,v0_weight,0.62,0.52,0.56,8
indian_pines,5,v0_weight,0.61,0.53,0.55,9
indian_pines,5,v0_weight,0.61,0.52,0.56,10
indian_pines,5,v0_weight,0.62,0.56,0.57,11
indian_pines,5,v0_weight,0.64,0.57,0.59,12
indian_pines,5,v0_weight,0.63,0.55,0.58,13
indian_pines,5,v0_weight,0.64,0.55,0.59,14
indian_pines,5,v0_weight,0.61,0.54,0.55,15
indian_pines,5,v0_weight,0.63,0.54,0.58,16
indian_pines,5,v0_weight,0.64,0.56,0.59,17
indian_pines,5,v0_weight,0.63,0.55,0.57,18
indian_pines,5,v0_weight,0.63,0.52,0.57,19
