dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,v15,443.99,0.734,0.656,0.698,5|6|7|9|16|19|23|24|25|27|28|30|34|85|115|132|153|157|160|161|162|163|166|167|174|175|178|183|188|197
indian_pines,29,v15,0.0,0.734,0.652,0.697,5|6|7|9|16|19|24|25|27|28|30|34|85|115|132|153|157|160|161|162|163|166|167|174|175|178|183|188|197
indian_pines,28,v15,0.0,0.73,0.638,0.693,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|161|162|163|166|167|174|175|178|183|188|197
indian_pines,27,v15,0.0,0.735,0.673,0.698,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|161|162|163|166|167|174|175|178|183|188
indian_pines,26,v15,0.0,0.737,0.674,0.701,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|161|162|163|166|174|175|178|183|188
indian_pines,25,v15,0.0,0.733,0.674,0.697,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|161|163|166|174|175|178|183|188
indian_pines,24,v15,0.0,0.731,0.674,0.695,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|163|166|174|175|178|183|188
indian_pines,23,v15,0.0,0.731,0.667,0.695,5|6|7|9|16|19|24|25|27|28|30|34|115|132|153|157|160|163|174|175|178|183|188
indian_pines,22,v15,0.0,0.73,0.671,0.693,5|6|7|9|16|19|25|27|28|30|34|115|132|153|157|160|163|174|175|178|183|188
indian_pines,21,v15,0.0,0.722,0.669,0.684,5|7|9|16|19|25|27|28|30|34|115|132|153|157|160|163|174|175|178|183|188
indian_pines,20,v15,0.0,0.717,0.664,0.679,5|7|9|16|19|25|27|28|34|115|132|153|157|160|163|174|175|178|183|188
indian_pines,19,v15,0.0,0.718,0.66,0.68,5|7|9|16|19|25|27|28|34|115|132|153|157|160|174|175|178|183|188
indian_pines,18,v15,0.0,0.716,0.655,0.677,5|9|16|19|25|27|28|34|115|132|153|157|160|174|175|178|183|188
indian_pines,17,v15,0.0,0.705,0.647,0.665,5|9|16|19|25|27|28|34|132|153|157|160|174|175|178|183|188
indian_pines,16,v15,0.0,0.658,0.612,0.613,5|9|16|19|25|27|28|34|153|157|160|174|175|178|183|188
indian_pines,15,v15,0.0,0.661,0.613,0.616,5|16|19|25|27|28|34|153|157|160|174|175|178|183|188
indian_pines,14,v15,0.0,0.662,0.615,0.617,5|16|19|25|27|28|34|153|160|174|175|178|183|188
indian_pines,13,v15,0.0,0.658,0.611,0.613,5|16|19|25|27|28|34|153|160|174|178|183|188
indian_pines,12,v15,0.0,0.63,0.572,0.58,5|16|19|25|27|28|153|160|174|178|183|188
indian_pines,11,v15,0.0,0.623,0.562,0.571,5|16|19|25|27|28|153|160|178|183|188
indian_pines,10,v15,0.0,0.592,0.516,0.534,5|16|19|25|27|28|160|178|183|188
indian_pines,9,v15,0.0,0.594,0.515,0.535,5|16|19|25|28|160|178|183|188
indian_pines,8,v15,0.0,0.565,0.481,0.501,5|19|25|28|160|178|183|188
indian_pines,7,v15,0.0,0.567,0.467,0.502,5|19|25|160|178|183|188
indian_pines,6,v15,0.0,0.567,0.462,0.501,5|19|25|160|178|188
indian_pines,5,v15,0.0,0.546,0.439,0.475,19|25|160|178|188
