dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,v31,197.62,0.793,0.789,0.764,5|7|8|13|18|30|36|37|41|51|63|68|77|91|98|100|113|121|123|129|130|136|138|148|153|161|169|172|175|176,0
indian_pines,29,v31,0.0,0.794,0.79,0.765,5|7|8|13|18|30|36|37|41|51|63|68|77|91|98|113|121|123|129|130|136|138|148|153|161|169|172|175|176,0
indian_pines,28,v31,0.0,0.79,0.778,0.761,5|7|8|13|18|30|36|37|41|51|63|68|77|91|113|121|123|129|130|136|138|148|153|161|169|172|175|176,0
indian_pines,27,v31,0.0,0.794,0.781,0.765,7|8|13|18|30|36|37|41|51|63|68|77|91|113|121|123|129|130|136|138|148|153|161|169|172|175|176,0
indian_pines,26,v31,0.0,0.792,0.778,0.764,7|8|13|18|30|36|37|41|51|63|68|77|91|113|121|123|130|136|138|148|153|161|169|172|175|176,0
indian_pines,25,v31,0.0,0.79,0.779,0.761,8|13|18|30|36|37|41|51|63|68|77|91|113|121|123|130|136|138|148|153|161|169|172|175|176,0
indian_pines,24,v31,0.0,0.788,0.781,0.759,8|18|30|36|37|41|51|63|68|77|91|113|121|123|130|136|138|148|153|161|169|172|175|176,0
indian_pines,23,v31,0.0,0.791,0.781,0.762,8|18|30|36|37|41|51|63|68|77|91|113|121|123|130|138|148|153|161|169|172|175|176,0
indian_pines,22,v31,0.0,0.781,0.772,0.75,8|18|36|37|41|51|63|68|77|91|113|121|123|130|138|148|153|161|169|172|175|176,0
indian_pines,21,v31,0.0,0.785,0.775,0.754,8|18|36|41|51|63|68|77|91|113|121|123|130|138|148|153|161|169|172|175|176,0
indian_pines,20,v31,0.0,0.777,0.776,0.746,8|18|36|41|51|63|68|91|113|121|123|130|138|148|153|161|169|172|175|176,0
indian_pines,19,v31,0.0,0.775,0.768,0.743,8|18|36|41|51|63|68|91|113|121|123|130|138|148|161|169|172|175|176,0
indian_pines,18,v31,0.0,0.771,0.765,0.739,8|18|36|41|51|63|68|91|113|121|130|138|148|161|169|172|175|176,0
indian_pines,17,v31,0.0,0.773,0.763,0.742,8|18|36|41|51|63|68|91|113|130|138|148|161|169|172|175|176,0
indian_pines,16,v31,0.0,0.772,0.764,0.74,8|18|36|41|51|63|68|113|130|138|148|161|169|172|175|176,0
indian_pines,15,v31,0.0,0.768,0.769,0.735,8|18|36|41|51|63|68|113|130|138|148|161|169|172|175,0
indian_pines,14,v31,0.0,0.773,0.767,0.741,8|36|41|51|63|68|113|130|138|148|161|169|172|175,0
indian_pines,13,v31,0.0,0.765,0.77,0.732,8|36|41|51|63|68|113|130|148|161|169|172|175,0
indian_pines,12,v31,0.0,0.765,0.779,0.732,8|36|41|51|63|68|130|148|161|169|172|175,0
indian_pines,11,v31,0.0,0.759,0.777,0.725,8|36|41|51|63|68|130|148|161|169|175,0
indian_pines,10,v31,0.0,0.763,0.775,0.73,8|36|41|51|63|68|130|148|161|169,0
indian_pines,9,v31,0.0,0.756,0.758,0.722,8|36|41|51|63|130|148|161|169,0
indian_pines,8,v31,0.0,0.744,0.742,0.707,8|36|41|51|63|148|161|169,0
indian_pines,7,v31,0.0,0.737,0.745,0.7,8|36|41|51|63|148|161,0
indian_pines,6,v31,0.001,0.698,0.68,0.653,36|41|51|63|148|161,0
indian_pines,5,v31,0.0,0.67,0.664,0.621,36|41|51|63|148,0
