epoch,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.94,0.0814626,9.98e-05,2.94,0.715,0.66,0.676,-0.258,0.311,-0.001,-0.258,0.311,0.001,200,59,153|141|100|150|124|55|188|182|192|89|68|148|2|160|140|96|172|132|92|139|72|128|101|18|123|32|191|154|193|127,0.311|0.292|-0.258|-0.249|-0.236|-0.225|-0.224|0.217|-0.215|-0.213|0.209|-0.202|0.195|0.195|0.19|-0.189|0.185|0.184|-0.184|0.183|-0.182|0.181|0.18|-0.178|0.178|-0.176|-0.171|-0.169|0.163|-0.158,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.114,0.0,0.0,0.0,0.0,-0.178,0.0,0.0,0.0,0.0,0.0,-0.133,0.0,-0.137,0.0,0.0,0.0,0.0,0.1,-0.176,-0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121,0.0,0.107,0.0,-0.225,0.11,0.0,0.0,0.0,0.0,0.131,0.0,0.127,0.0,0.0,0.0,0.0,0.209,0.106,-0.134,0.0,-0.182,0.108,-0.139,0.0,0.0,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,-0.213,0.0,0.0,-0.184,0.0,0.0,0.0,-0.189,0.0,0.0,0.0,-0.258,0.18,-0.128,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,-0.236,0.0,0.0,-0.158,0.181,0.0,0.142,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.19,0.292,0.0,0.106,0.0,0.0,0.0,0.0,-0.202,0.0,-0.249,0.0,0.0,0.311,-0.169,0.13,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,-0.109,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,-0.224,0.0,0.0,-0.171,-0.215,0.163,0.134,0.0,-0.123,0.0,-0.144,0.0
10,1.747,0.0930668,9.78e-05,1.747,0.715,0.625,0.675,-0.635,0.766,0.001,-0.635,0.766,0.003,200,41,182|2|196|154|73|72|160|132|155|140|153|92|123|191|141|127|111|96|42|101|148|198|192|100|94|77|188|74|129|18,0.766|0.7|-0.635|-0.627|0.625|-0.622|0.601|0.597|0.538|0.499|0.491|-0.484|0.462|-0.457|0.41|-0.392|0.367|-0.353|0.35|0.345|-0.317|-0.316|-0.312|-0.309|0.298|-0.293|-0.287|-0.271|-0.21|-0.196,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.174,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.151,0.0,0.0,0.0,-0.622,0.625,-0.271,0.0,0.0,-0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119,0.0,0.0,-0.484,0.0,0.298,0.0,-0.353,0.0,0.0,0.0,-0.309,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.0,0.0,0.0,-0.392,0.0,-0.21,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,-0.173,0.499,0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.317,0.0,0.175,0.0,0.0,0.491,-0.627,0.538,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112,0.172,0.0,0.0,-0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,-0.287,0.0,0.0,-0.457,-0.312,0.0,-0.136,0.0,-0.635,0.0,-0.316,0.0
20,1.531,0.0943773,9.59e-05,1.531,0.729,0.707,0.69,-0.728,0.885,0.003,-0.728,0.885,0.004,200,40,2|182|196|154|153|73|155|72|123|160|127|42|191|140|132|192|148|92|101|111|100|141|26|94|188|96|68|194|18|74,0.885|0.814|-0.728|-0.702|0.701|0.693|0.658|-0.628|0.601|0.545|-0.543|0.524|-0.516|0.502|0.501|-0.457|-0.438|-0.436|0.419|0.419|-0.366|0.363|-0.322|0.303|-0.3|-0.293|-0.275|-0.265|-0.242|-0.222,0.0,0.0,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.104,0.0,0.0,0.0,0.0,-0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.322,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275,0.0,0.0,0.0,-0.628,0.693,-0.222,0.0,0.0,-0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.436,0.0,0.303,0.0,-0.293,0.0,0.0,0.0,-0.366,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.0,-0.543,0.0,-0.192,0.0,0.0,0.501,0.0,0.0,0.0,0.0,0.0,0.0,-0.166,0.502,0.363,0.0,0.0,0.0,0.0,0.0,0.0,-0.438,0.0,0.156,0.0,0.0,0.701,-0.702,0.658,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.0,-0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,-0.516,-0.457,0.0,-0.265,0.0,-0.728,0.0,-0.221,0.0
30,1.381,0.0980889,9.4e-05,1.381,0.733,0.704,0.695,-0.774,0.886,0.007,-0.774,0.886,0.007,200,38,182|2|153|196|73|155|154|123|127|72|42|191|160|140|132|101|148|111|192|92|100|141|26|68|194|96|18|94|188|129,0.886|0.808|0.777|-0.774|0.764|0.718|-0.715|0.69|-0.633|-0.628|0.61|-0.594|0.579|0.56|0.545|0.502|-0.485|0.477|-0.474|-0.452|-0.417|0.41|-0.371|-0.345|-0.329|-0.324|-0.316|0.276|-0.266|-0.223,0.0,0.0,0.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.371,0.0,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.345,0.0,0.0,0.0,-0.628,0.764,-0.18,0.0,0.0,-0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.452,0.0,0.276,0.0,-0.324,0.0,0.0,0.0,-0.417,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,-0.633,0.0,-0.223,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,-0.128,0.56,0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.485,0.0,0.172,0.0,0.0,0.777,-0.715,0.718,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,-0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.0,0.0,0.0,0.0,0.0,-0.266,0.0,0.0,-0.594,-0.474,0.0,-0.329,0.0,-0.774,0.0,0.0,0.0
40,1.292,0.1023577,9.21e-05,1.292,0.734,0.717,0.697,-0.737,0.897,0.008,-0.737,0.897,0.008,200,39,182|153|2|73|123|196|154|155|42|72|127|160|132|140|101|191|148|111|92|100|141|192|194|18|68|26|96|94|32|188,0.897|0.797|0.791|0.779|0.74|-0.737|-0.736|0.696|0.694|-0.673|-0.631|0.623|0.591|0.588|0.582|-0.574|-0.553|0.51|-0.49|-0.445|0.445|-0.419|-0.407|-0.405|-0.375|-0.372|-0.296|0.278|0.267|-0.254,0.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.372,0.0,0.0,0.0,0.0,0.101,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.673,0.779,-0.159,0.0,0.0,-0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.0,0.278,0.0,-0.296,0.0,0.0,0.0,-0.445,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,-0.631,0.0,-0.236,0.0,0.0,0.591,0.0,0.0,0.0,0.0,0.0,0.0,-0.137,0.588,0.445,0.0,0.0,0.0,0.0,0.0,0.0,-0.553,0.0,0.154,0.0,0.0,0.797,-0.736,0.696,0.0,0.0,0.0,0.0,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.0,0.0,0.0,0.0,0.0,-0.254,0.0,0.0,-0.574,-0.419,0.0,-0.407,0.0,-0.737,0.0,0.0,0.0
50,1.202,0.1063438,9.03e-05,1.202,0.739,0.727,0.702,-0.776,0.975,0.008,-0.776,0.975,0.008,200,36,182|153|73|154|123|2|42|196|155|72|132|127|160|140|148|101|191|111|18|100|92|141|194|68|192|26|32|96|94|129,0.975|0.873|0.822|-0.776|0.768|0.76|0.73|-0.719|0.713|-0.682|0.673|-0.668|0.667|0.631|-0.623|0.611|-0.583|0.517|-0.494|-0.49|-0.487|0.447|-0.425|-0.413|-0.406|-0.384|0.323|-0.279|0.243|-0.241,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.0,0.0,0.0,0.0,-0.102,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.413,0.0,0.0,0.0,-0.682,0.822,-0.175,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.487,0.0,0.243,0.0,-0.279,0.0,0.0,0.0,-0.49,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.0,0.0,0.0,-0.668,0.0,-0.241,0.0,0.0,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.447,0.0,0.0,0.0,0.0,0.0,0.0,-0.623,0.0,0.0,0.0,0.0,0.873,-0.776,0.713,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,-0.219,0.0,0.0,-0.583,-0.406,0.0,-0.425,0.0,-0.719,0.0,0.0,0.0
60,1.115,0.1077196,8.85e-05,1.115,0.732,0.728,0.695,-0.78,0.987,0.012,-0.78,0.987,0.011,200,36,182|153|73|123|42|154|160|2|148|132|127|72|196|155|101|140|191|111|100|92|141|18|68|192|26|194|32|96|94|77,0.987|0.934|0.847|0.834|0.807|-0.78|0.764|0.743|-0.73|0.723|-0.721|-0.697|-0.682|0.675|0.649|0.638|-0.562|0.556|-0.513|-0.509|0.496|-0.489|-0.468|-0.394|-0.393|-0.388|0.35|-0.297|0.284|-0.252,0.0,0.0,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.393,0.0,0.0,0.0,0.0,0.11,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.468,0.0,0.0,0.0,-0.697,0.847,-0.129,0.0,0.0,-0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.509,0.0,0.284,0.0,-0.297,0.0,0.0,0.0,-0.513,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.0,0.0,0.0,-0.721,0.0,-0.23,0.0,0.0,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.496,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,0.934,-0.78,0.675,0.0,0.0,0.0,0.0,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,-0.213,0.0,0.0,-0.562,-0.394,0.0,-0.388,0.0,-0.682,0.0,0.0,0.0
70,1.029,0.1090173,8.68e-05,1.029,0.732,0.728,0.695,-0.801,0.96,0.01,-0.801,0.96,0.011,200,35,182|153|42|73|123|148|160|154|132|127|2|72|155|140|196|101|191|111|100|92|18|68|141|26|194|32|192|94|96|77,0.96|0.948|0.865|0.853|0.827|-0.801|0.792|-0.767|0.761|-0.758|0.732|-0.713|0.693|0.672|-0.638|0.634|-0.576|0.541|-0.53|-0.507|-0.501|-0.489|0.476|-0.4|-0.361|0.356|-0.356|0.279|-0.257|-0.241,0.0,0.0,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.489,0.0,0.0,0.0,-0.713,0.853,-0.138,0.0,0.0,-0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.507,0.0,0.279,0.0,-0.257,0.0,0.0,0.0,-0.53,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827,0.0,0.0,0.0,-0.758,0.0,-0.23,0.0,0.0,0.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.476,0.0,0.0,0.0,0.0,0.0,0.0,-0.801,0.0,0.0,0.0,0.0,0.948,-0.767,0.693,0.0,0.0,0.0,0.0,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,-0.183,0.0,0.0,-0.576,-0.356,0.0,-0.361,0.0,-0.638,0.0,0.0,0.0
80,0.995,0.113677,8.5e-05,0.995,0.732,0.728,0.695,-0.886,1.015,0.01,-0.886,1.015,0.011,200,36,153|182|42|123|148|154|127|160|73|132|72|2|140|155|111|101|100|141|191|196|68|18|92|26|77|96|32|194|94|192,1.015|0.962|0.91|0.886|-0.886|-0.876|-0.854|0.844|0.841|0.839|-0.808|0.734|0.694|0.691|0.629|0.62|-0.57|0.554|-0.548|-0.545|-0.526|-0.518|-0.487|-0.414|-0.363|-0.338|0.327|-0.323|0.321|-0.296,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.414,0.0,0.0,0.0,0.0,0.108,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.526,0.0,0.0,0.0,-0.808,0.841,-0.168,0.0,0.0,-0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.487,0.0,0.321,0.0,-0.338,0.0,0.0,0.0,-0.57,0.62,-0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.0,0.0,0.0,-0.854,0.0,-0.161,0.0,0.0,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,0.554,0.0,0.0,0.0,0.0,0.0,0.0,-0.886,0.0,0.0,0.0,0.0,1.015,-0.876,0.691,0.0,0.0,0.0,0.0,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,-0.113,0.0,0.0,-0.548,-0.296,0.0,-0.323,0.0,-0.545,0.0,0.0,0.0
90,0.933,0.1155979,8.34e-05,0.933,0.733,0.729,0.695,-0.936,0.998,0.013,-0.936,0.998,0.013,200,34,153|42|182|154|123|148|132|127|160|72|73|2|140|155|111|191|101|100|141|196|18|92|68|77|26|94|32|96|194|113,0.998|0.989|0.959|-0.936|0.93|-0.914|0.91|-0.884|0.882|-0.867|0.838|0.809|0.763|0.73|0.612|-0.604|0.598|-0.585|0.572|-0.546|-0.54|-0.506|-0.474|-0.419|-0.411|0.347|0.335|-0.313|-0.293|0.25,0.0,0.0,0.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.411,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.474,0.0,0.0,0.0,-0.867,0.838,-0.206,0.0,0.0,-0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.506,0.0,0.347,0.0,-0.313,0.0,0.0,0.0,-0.585,0.598,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,-0.884,0.0,-0.222,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.572,0.0,0.0,0.0,0.0,0.0,0.0,-0.914,0.0,0.0,0.0,0.0,0.998,-0.936,0.73,0.0,0.0,0.0,0.0,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.604,-0.234,0.0,-0.293,0.0,-0.546,0.0,0.0,0.0
