epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,200,200,2.968,0.0736172,0.0499001,2.972,0.678,0.603,0.635,0.008,0.266,0.074,0.008,0.266,0.074,109|187|56|76|21|67|63|149|84|143|36|165|89|80|135,0.266|0.239|0.222|0.221|0.21|0.197|0.186|0.177|0.176|0.175|0.173|0.17|0.168|0.163|0.157,0.043,0.018,0.023,0.078,0.086,0.139,0.072,0.085,0.042,0.116,0.106,0.11,0.054,0.067,0.05,0.077,0.065,0.154,0.034,0.127,0.156,0.21,0.041,0.097,0.057,0.054,0.013,0.06,0.045,0.117,0.029,0.084,0.018,0.135,0.03,0.013,0.173,0.06,0.058,0.067,0.057,0.039,0.072,0.013,0.057,0.065,0.119,0.083,0.113,0.144,0.076,0.139,0.018,0.076,0.024,0.057,0.222,0.048,0.022,0.035,0.036,0.113,0.029,0.186,0.098,0.083,0.066,0.197,0.048,0.066,0.042,0.071,0.033,0.09,0.07,0.048,0.221,0.093,0.113,0.045,0.163,0.128,0.08,0.02,0.176,0.054,0.038,0.034,0.104,0.168,0.057,0.048,0.064,0.024,0.146,0.041,0.048,0.022,0.136,0.132,0.094,0.017,0.149,0.042,0.02,0.037,0.101,0.043,0.037,0.266,0.028,0.027,0.022,0.062,0.128,0.034,0.079,0.077,0.035,0.113,0.059,0.067,0.04,0.119,0.094,0.015,0.086,0.066,0.048,0.104,0.038,0.016,0.04,0.059,0.037,0.157,0.047,0.077,0.066,0.039,0.111,0.059,0.012,0.175,0.083,0.053,0.068,0.031,0.063,0.177,0.064,0.075,0.123,0.1,0.014,0.03,0.09,0.084,0.011,0.05,0.066,0.029,0.057,0.046,0.136,0.17,0.011,0.042,0.022,0.01,0.01,0.096,0.069,0.061,0.039,0.042,0.125,0.06,0.05,0.053,0.033,0.073,0.077,0.062,0.05,0.036,0.061,0.239,0.066,0.008,0.053,0.057,0.124,0.029,0.057,0.069,0.071,0.042,0.125,0.057
10,200,200,1.632,0.2600775,0.048912,1.644,0.69,0.642,0.649,0.007,0.752,0.26,0.007,0.752,0.26,63|176|6|19|147|130|57|31|146|21|177|187|16|183|138,0.752|0.726|0.725|0.715|0.69|0.664|0.664|0.648|0.64|0.627|0.623|0.59|0.588|0.586|0.569,0.007,0.154,0.067,0.215,0.404,0.081,0.725,0.119,0.551,0.354,0.047,0.04,0.416,0.122,0.339,0.325,0.588,0.309,0.378,0.715,0.532,0.627,0.184,0.228,0.042,0.274,0.279,0.036,0.07,0.221,0.187,0.648,0.102,0.15,0.098,0.066,0.27,0.327,0.086,0.366,0.263,0.088,0.383,0.112,0.136,0.542,0.165,0.363,0.237,0.188,0.233,0.222,0.212,0.278,0.039,0.249,0.449,0.664,0.421,0.273,0.208,0.532,0.35,0.752,0.115,0.096,0.409,0.483,0.128,0.471,0.026,0.128,0.136,0.033,0.215,0.211,0.552,0.139,0.044,0.321,0.53,0.215,0.252,0.262,0.012,0.181,0.114,0.474,0.137,0.188,0.114,0.232,0.415,0.139,0.211,0.353,0.358,0.194,0.018,0.01,0.017,0.348,0.465,0.124,0.109,0.042,0.387,0.209,0.248,0.47,0.132,0.32,0.032,0.016,0.151,0.163,0.23,0.32,0.303,0.551,0.064,0.083,0.317,0.356,0.114,0.082,0.211,0.124,0.046,0.496,0.664,0.111,0.325,0.471,0.182,0.191,0.151,0.31,0.569,0.249,0.285,0.091,0.315,0.201,0.187,0.233,0.64,0.69,0.142,0.275,0.023,0.015,0.144,0.326,0.082,0.022,0.032,0.359,0.096,0.027,0.546,0.148,0.221,0.064,0.186,0.164,0.098,0.448,0.387,0.311,0.017,0.424,0.264,0.324,0.373,0.381,0.726,0.623,0.376,0.257,0.477,0.168,0.441,0.586,0.057,0.438,0.071,0.59,0.091,0.283,0.356,0.04,0.219,0.166,0.105,0.39,0.467,0.504,0.237,0.025
20,200,200,1.393,0.3190002,0.0479435,1.408,0.69,0.619,0.648,0.008,1.028,0.319,0.008,1.028,0.319,6|176|63|19|147|177|130|57|138|31|160|16|146|12|4,1.028|0.95|0.933|0.922|0.913|0.898|0.883|0.833|0.807|0.801|0.748|0.715|0.695|0.685|0.68,0.157,0.04,0.097,0.397,0.68,0.034,1.028,0.103,0.665,0.399,0.055,0.035,0.685,0.12,0.491,0.451,0.715,0.464,0.49,0.922,0.566,0.609,0.291,0.138,0.021,0.337,0.283,0.127,0.084,0.225,0.265,0.801,0.214,0.359,0.021,0.145,0.389,0.267,0.101,0.473,0.497,0.131,0.668,0.114,0.023,0.623,0.163,0.524,0.327,0.193,0.311,0.32,0.309,0.414,0.075,0.318,0.472,0.833,0.425,0.275,0.204,0.596,0.425,0.933,0.068,0.109,0.518,0.551,0.121,0.544,0.141,0.04,0.136,0.081,0.369,0.229,0.593,0.23,0.104,0.309,0.623,0.247,0.162,0.326,0.012,0.294,0.143,0.469,0.164,0.131,0.286,0.239,0.469,0.202,0.243,0.429,0.421,0.17,0.265,0.008,0.049,0.522,0.298,0.136,0.125,0.032,0.461,0.302,0.308,0.509,0.13,0.448,0.04,0.237,0.212,0.274,0.328,0.352,0.377,0.655,0.061,0.114,0.4,0.429,0.141,0.067,0.23,0.232,0.119,0.59,0.883,0.307,0.399,0.615,0.132,0.272,0.111,0.409,0.807,0.319,0.293,0.101,0.39,0.146,0.012,0.085,0.695,0.913,0.207,0.309,0.012,0.034,0.175,0.392,0.091,0.023,0.106,0.452,0.239,0.036,0.748,0.048,0.136,0.118,0.149,0.329,0.061,0.579,0.395,0.421,0.136,0.483,0.236,0.476,0.377,0.513,0.95,0.898,0.283,0.32,0.584,0.276,0.557,0.643,0.038,0.643,0.021,0.645,0.059,0.332,0.464,0.236,0.279,0.017,0.113,0.437,0.615,0.487,0.102,0.083
30,200,200,1.275,0.3344947,0.0469941,1.291,0.724,0.677,0.688,0.015,1.227,0.334,0.015,1.227,0.334,6|176|63|147|177|130|4|19|138|57|31|160|119|8|42,1.227|1.106|1.049|1.035|1.006|0.998|0.927|0.925|0.905|0.846|0.836|0.796|0.776|0.776|0.752,0.092,0.048,0.204,0.531,0.927,0.031,1.227,0.148,0.776,0.431,0.065,0.023,0.73,0.085,0.512,0.459,0.749,0.495,0.539,0.925,0.375,0.554,0.282,0.214,0.016,0.406,0.224,0.209,0.102,0.128,0.332,0.836,0.285,0.422,0.062,0.177,0.585,0.262,0.125,0.47,0.659,0.126,0.752,0.14,0.052,0.616,0.118,0.545,0.401,0.11,0.298,0.269,0.356,0.536,0.057,0.391,0.442,0.846,0.427,0.285,0.185,0.564,0.442,1.049,0.127,0.113,0.44,0.602,0.109,0.516,0.056,0.044,0.108,0.103,0.396,0.126,0.614,0.191,0.176,0.264,0.624,0.229,0.1,0.429,0.041,0.249,0.167,0.335,0.059,0.031,0.324,0.248,0.503,0.156,0.302,0.322,0.468,0.223,0.298,0.015,0.059,0.588,0.092,0.065,0.1,0.04,0.441,0.351,0.326,0.507,0.107,0.491,0.141,0.252,0.263,0.289,0.337,0.341,0.411,0.776,0.059,0.107,0.483,0.495,0.118,0.125,0.218,0.31,0.11,0.662,0.998,0.42,0.383,0.654,0.109,0.342,0.105,0.493,0.905,0.384,0.28,0.095,0.366,0.123,0.028,0.023,0.656,1.035,0.269,0.3,0.044,0.042,0.169,0.418,0.024,0.102,0.032,0.44,0.288,0.072,0.796,0.037,0.047,0.131,0.134,0.4,0.071,0.574,0.387,0.424,0.072,0.528,0.285,0.55,0.38,0.601,1.106,1.006,0.223,0.395,0.597,0.306,0.639,0.681,0.048,0.675,0.03,0.601,0.077,0.26,0.458,0.322,0.264,0.021,0.204,0.371,0.663,0.37,0.025,0.041
40,200,200,1.121,0.3476536,0.0460636,1.137,0.724,0.677,0.688,0.012,1.394,0.348,0.012,1.394,0.348,6|176|147|177|130|63|4|19|138|160|8|57|31|119|42,1.394|1.209|1.168|1.102|1.072|1.044|1.034|0.987|0.923|0.881|0.868|0.847|0.84|0.835|0.748,0.141,0.139,0.179,0.585,1.034,0.038,1.394,0.343,0.868,0.529,0.173,0.099,0.68,0.132,0.539,0.455,0.717,0.483,0.57,0.987,0.366,0.585,0.363,0.375,0.028,0.426,0.234,0.3,0.106,0.032,0.331,0.84,0.336,0.37,0.155,0.213,0.68,0.281,0.13,0.485,0.731,0.08,0.748,0.124,0.082,0.683,0.125,0.496,0.425,0.084,0.184,0.229,0.328,0.509,0.047,0.418,0.403,0.847,0.437,0.356,0.229,0.479,0.473,1.044,0.209,0.112,0.386,0.655,0.073,0.501,0.025,0.022,0.116,0.179,0.409,0.058,0.65,0.222,0.213,0.281,0.592,0.295,0.034,0.494,0.021,0.105,0.127,0.228,0.188,0.06,0.268,0.32,0.521,0.094,0.309,0.268,0.428,0.33,0.295,0.025,0.012,0.636,0.028,0.056,0.08,0.055,0.451,0.38,0.358,0.546,0.045,0.509,0.16,0.18,0.281,0.27,0.231,0.348,0.479,0.835,0.065,0.073,0.506,0.55,0.129,0.148,0.218,0.375,0.092,0.692,1.072,0.436,0.349,0.641,0.057,0.391,0.099,0.539,0.923,0.438,0.287,0.036,0.261,0.084,0.013,0.025,0.559,1.168,0.302,0.258,0.12,0.042,0.123,0.474,0.053,0.144,0.129,0.457,0.296,0.136,0.881,0.016,0.06,0.131,0.182,0.334,0.059,0.628,0.339,0.474,0.118,0.628,0.275,0.544,0.433,0.664,1.209,1.102,0.14,0.39,0.587,0.332,0.623,0.694,0.047,0.694,0.077,0.499,0.083,0.274,0.505,0.331,0.189,0.237,0.277,0.314,0.617,0.369,0.06,0.019
50,200,200,1.036,0.3449188,0.0451515,1.051,0.732,0.669,0.695,0.01,1.386,0.345,0.01,1.386,0.345,6|176|147|177|4|63|130|19|8|138|160|119|57|36|31,1.386|1.232|1.217|1.144|1.105|1.096|1.06|0.954|0.917|0.904|0.902|0.878|0.809|0.807|0.776,0.131,0.201,0.109,0.624,1.105,0.028,1.386,0.415,0.917,0.588,0.294,0.127,0.542,0.192,0.486,0.373,0.657,0.414,0.576,0.954,0.356,0.581,0.353,0.365,0.04,0.397,0.277,0.319,0.113,0.026,0.343,0.776,0.351,0.374,0.193,0.328,0.807,0.315,0.136,0.472,0.748,0.029,0.766,0.143,0.058,0.708,0.142,0.475,0.432,0.084,0.103,0.221,0.328,0.539,0.071,0.396,0.345,0.809,0.545,0.359,0.182,0.391,0.426,1.096,0.204,0.187,0.39,0.648,0.105,0.407,0.031,0.131,0.06,0.237,0.377,0.053,0.72,0.29,0.322,0.218,0.585,0.28,0.028,0.538,0.024,0.011,0.155,0.279,0.124,0.058,0.208,0.333,0.522,0.064,0.304,0.25,0.304,0.432,0.343,0.037,0.055,0.641,0.085,0.058,0.076,0.121,0.407,0.349,0.31,0.528,0.054,0.484,0.147,0.143,0.308,0.246,0.182,0.411,0.533,0.878,0.06,0.071,0.531,0.557,0.118,0.146,0.216,0.391,0.113,0.683,1.06,0.401,0.312,0.594,0.04,0.392,0.094,0.544,0.904,0.427,0.297,0.055,0.22,0.113,0.01,0.064,0.532,1.217,0.33,0.203,0.089,0.014,0.038,0.464,0.043,0.144,0.083,0.439,0.294,0.129,0.902,0.038,0.07,0.112,0.153,0.317,0.056,0.612,0.326,0.435,0.111,0.648,0.226,0.528,0.47,0.608,1.232,1.144,0.113,0.41,0.56,0.312,0.611,0.7,0.035,0.671,0.083,0.445,0.085,0.231,0.467,0.345,0.109,0.276,0.225,0.213,0.567,0.322,0.046,0.018
60,200,200,0.93,0.3358035,0.0442574,0.945,0.731,0.666,0.696,0.008,1.294,0.336,0.008,1.294,0.336,6|147|176|177|4|63|130|138|160|19|119|36|8|40|57,1.294|1.243|1.233|1.133|1.107|1.07|1.026|0.935|0.907|0.888|0.885|0.876|0.863|0.769|0.757,0.101,0.178,0.177,0.646,1.107,0.03,1.294,0.464,0.863,0.605,0.357,0.149,0.466,0.244,0.431,0.35,0.649,0.371,0.529,0.888,0.389,0.571,0.32,0.353,0.08,0.366,0.276,0.26,0.111,0.029,0.366,0.724,0.371,0.408,0.269,0.417,0.876,0.376,0.139,0.411,0.769,0.026,0.728,0.147,0.067,0.644,0.123,0.409,0.433,0.046,0.058,0.26,0.267,0.546,0.073,0.346,0.277,0.757,0.575,0.332,0.137,0.339,0.418,1.07,0.188,0.14,0.403,0.677,0.118,0.332,0.021,0.139,0.031,0.23,0.433,0.051,0.691,0.341,0.4,0.207,0.596,0.28,0.022,0.506,0.023,0.077,0.167,0.254,0.162,0.016,0.242,0.249,0.459,0.115,0.289,0.244,0.23,0.48,0.386,0.038,0.028,0.615,0.082,0.061,0.069,0.095,0.394,0.369,0.274,0.48,0.057,0.454,0.164,0.169,0.299,0.23,0.078,0.436,0.492,0.885,0.051,0.071,0.507,0.55,0.101,0.144,0.21,0.425,0.095,0.648,1.026,0.408,0.299,0.568,0.039,0.38,0.094,0.535,0.935,0.384,0.264,0.092,0.217,0.13,0.024,0.042,0.541,1.243,0.422,0.15,0.067,0.065,0.037,0.417,0.111,0.116,0.042,0.413,0.275,0.142,0.907,0.008,0.016,0.105,0.153,0.355,0.054,0.572,0.342,0.391,0.13,0.646,0.221,0.522,0.472,0.527,1.233,1.133,0.082,0.417,0.492,0.239,0.602,0.697,0.032,0.659,0.023,0.407,0.095,0.171,0.426,0.35,0.084,0.22,0.209,0.167,0.507,0.327,0.022,0.038
70,200,197,0.876,0.3404094,0.0433811,0.891,0.732,0.669,0.695,0.008,1.31,0.34,0.0,1.31,0.34,147|176|6|177|4|63|160|130|138|119|36|19|8|57|31,1.31|1.307|1.268|1.126|1.061|1.06|0.984|0.941|0.907|0.901|0.893|0.881|0.817|0.796|0.779,0.144,0.166,0.171,0.61,1.061,0.039,1.268,0.544,0.817,0.576,0.316,0.239,0.481,0.237,0.521,0.419,0.638,0.353,0.606,0.881,0.413,0.583,0.33,0.355,0.078,0.376,0.267,0.302,0.113,0.04,0.377,0.779,0.327,0.379,0.387,0.545,0.893,0.403,0.138,0.302,0.758,0.129,0.703,0.123,0.0,0.611,0.213,0.438,0.527,0.071,0.056,0.329,0.278,0.548,0.0,0.229,0.348,0.796,0.593,0.301,0.112,0.326,0.44,1.06,0.179,0.02,0.421,0.679,0.154,0.329,0.036,0.166,0.018,0.298,0.415,0.063,0.642,0.319,0.393,0.186,0.519,0.278,0.021,0.543,0.031,0.101,0.214,0.331,0.252,0.014,0.108,0.208,0.339,0.168,0.268,0.166,0.298,0.435,0.399,0.143,0.014,0.667,0.149,0.067,0.054,0.087,0.322,0.405,0.321,0.477,0.056,0.401,0.187,0.092,0.366,0.123,0.07,0.538,0.485,0.901,0.044,0.082,0.523,0.543,0.135,0.124,0.133,0.482,0.098,0.662,0.941,0.444,0.339,0.549,0.125,0.468,0.096,0.534,0.907,0.3,0.245,0.145,0.192,0.129,0.084,0.063,0.523,1.31,0.503,0.216,0.021,0.015,0.04,0.408,0.087,0.088,0.066,0.416,0.217,0.155,0.984,0.0,0.069,0.208,0.101,0.308,0.062,0.624,0.302,0.431,0.208,0.633,0.308,0.545,0.526,0.419,1.307,1.126,0.062,0.419,0.525,0.248,0.542,0.746,0.033,0.684,0.019,0.313,0.102,0.202,0.398,0.315,0.17,0.051,0.228,0.109,0.469,0.338,0.028,0.037
80,200,199,0.791,0.345788,0.0425221,0.805,0.739,0.665,0.703,0.011,1.349,0.346,0.0,1.349,0.346,147|176|6|177|4|63|160|130|36|19|119|138|57|183|31,1.349|1.348|1.287|1.078|1.074|1.042|1.008|0.943|0.94|0.911|0.89|0.871|0.81|0.789|0.783,0.105,0.164,0.215,0.564,1.074,0.038,1.287,0.623,0.735,0.553,0.309,0.243,0.529,0.245,0.569,0.426,0.655,0.416,0.681,0.911,0.407,0.576,0.367,0.365,0.021,0.366,0.261,0.345,0.119,0.046,0.375,0.783,0.312,0.321,0.45,0.628,0.94,0.462,0.138,0.264,0.732,0.149,0.7,0.118,0.112,0.576,0.241,0.421,0.575,0.1,0.053,0.324,0.266,0.554,0.052,0.204,0.306,0.81,0.658,0.253,0.124,0.279,0.483,1.042,0.155,0.053,0.43,0.704,0.177,0.412,0.073,0.129,0.056,0.27,0.434,0.058,0.662,0.275,0.442,0.183,0.424,0.29,0.026,0.543,0.03,0.03,0.19,0.301,0.188,0.0,0.155,0.237,0.257,0.128,0.306,0.131,0.348,0.459,0.373,0.183,0.081,0.742,0.047,0.081,0.053,0.105,0.311,0.392,0.322,0.471,0.045,0.358,0.175,0.065,0.377,0.054,0.084,0.627,0.508,0.89,0.038,0.08,0.53,0.472,0.134,0.1,0.103,0.416,0.144,0.689,0.943,0.477,0.305,0.484,0.139,0.536,0.094,0.503,0.871,0.318,0.291,0.206,0.205,0.114,0.103,0.103,0.51,1.349,0.626,0.263,0.127,0.075,0.035,0.443,0.077,0.095,0.059,0.391,0.2,0.132,1.008,0.031,0.103,0.267,0.07,0.258,0.063,0.575,0.272,0.497,0.216,0.622,0.401,0.566,0.539,0.382,1.348,1.078,0.05,0.48,0.614,0.244,0.502,0.789,0.052,0.71,0.167,0.245,0.074,0.19,0.332,0.256,0.145,0.115,0.197,0.113,0.465,0.286,0.079,0.035
90,200,194,0.706,0.3336423,0.0416801,0.72,0.74,0.667,0.705,0.01,1.306,0.334,0.0,1.306,0.333,176|147|6|177|63|4|160|36|130|119|19|138|57|183|40,1.306|1.289|1.216|1.051|1.016|1.0|0.992|0.943|0.934|0.883|0.873|0.861|0.797|0.761|0.76,0.084,0.112,0.285,0.515,1.0,0.034,1.216,0.638,0.677,0.53,0.311,0.28,0.477,0.227,0.53,0.329,0.667,0.419,0.647,0.873,0.433,0.547,0.351,0.352,0.0,0.35,0.253,0.329,0.117,0.06,0.381,0.719,0.301,0.303,0.466,0.686,0.943,0.497,0.141,0.299,0.76,0.126,0.686,0.114,0.149,0.564,0.217,0.426,0.577,0.099,0.049,0.301,0.278,0.537,0.03,0.2,0.24,0.797,0.716,0.227,0.08,0.259,0.449,1.016,0.134,0.074,0.438,0.73,0.207,0.376,0.079,0.13,0.032,0.276,0.381,0.05,0.618,0.269,0.491,0.194,0.417,0.304,0.0,0.526,0.028,0.0,0.134,0.224,0.177,0.0,0.166,0.216,0.205,0.121,0.289,0.162,0.296,0.459,0.398,0.153,0.096,0.745,0.07,0.092,0.043,0.115,0.309,0.407,0.324,0.413,0.043,0.357,0.126,0.081,0.377,0.043,0.089,0.649,0.5,0.883,0.036,0.08,0.527,0.456,0.11,0.099,0.113,0.406,0.121,0.682,0.934,0.477,0.274,0.458,0.135,0.544,0.092,0.512,0.861,0.274,0.247,0.197,0.203,0.064,0.04,0.072,0.477,1.289,0.681,0.255,0.139,0.058,0.029,0.468,0.071,0.094,0.0,0.385,0.193,0.116,0.992,0.0,0.093,0.257,0.091,0.256,0.059,0.537,0.266,0.507,0.181,0.62,0.394,0.537,0.545,0.352,1.306,1.051,0.027,0.471,0.589,0.22,0.448,0.761,0.031,0.692,0.133,0.213,0.073,0.152,0.322,0.213,0.065,0.181,0.163,0.095,0.391,0.208,0.029,0.028
