dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v5,346.608,0.756,0.727,0.727,5|23|27|38|41|62|80|110|114|118|123|124|129|132|134|146|149|151|152|155|157|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.438097451180511e-08|3.7667398089524795e-08|4.4105647134529136e-08|4.807705877851731e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.700765915937154e-08|0.6848929524421692|3.708431606241902e-08|4.794136287955553e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,29,v5,0.0,0.755,0.726,0.726,5|23|27|38|41|62|80|110|114|118|123|124|129|132|134|146|149|151|152|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.438097451180511e-08|3.7667398089524795e-08|4.4105647134529136e-08|4.807705877851731e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.700765915937154e-08|0.6848929524421692|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,28,v5,0.0,0.752,0.722,0.722,5|23|27|38|62|80|110|114|118|123|124|129|132|134|146|149|151|152|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.438097451180511e-08|3.7667398089524795e-08|4.4105647134529136e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.700765915937154e-08|0.6848929524421692|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,27,v5,0.0,0.751,0.722,0.722,5|23|27|38|62|80|110|114|118|123|124|129|132|134|146|149|151|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.438097451180511e-08|3.7667398089524795e-08|4.4105647134529136e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.700765915937154e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,26,v5,0.0,0.749,0.723,0.723,5|27|38|62|80|110|114|118|123|124|129|132|134|146|149|151|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.700765915937154e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,25,v5,0.0,0.752,0.726,0.726,5|27|38|62|80|110|114|118|123|124|129|132|134|146|149|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.443176055384356e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,24,v5,0.0,0.751,0.726,0.726,5|27|38|62|80|110|114|118|124|129|132|134|146|149|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|5.43657812102083e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,23,v5,0.0,0.74,0.715,0.715,5|27|38|80|110|114|118|124|129|132|134|146|149|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.348930377455872e-08|4.514693330293085e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,22,v5,0.0,0.739,0.711,0.711,5|27|38|80|110|114|118|124|132|134|146|149|155|159|161|168|170|172|176|177|179|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.348930377455872e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|4.794686603304399e-08|3.79683129381192e-09
indian_pines,21,v5,0.0,0.739,0.713,0.713,5|27|38|80|110|114|118|124|132|134|146|149|155|159|161|168|170|172|176|177|180,4.4547348920787044e-08|3.7667398089524795e-08|4.4105647134529136e-08|4.319831248267292e-08|4.5848807417314674e-08|3.826844974241794e-08|4.92655054529223e-08|3.348930377455872e-08|4.0622506247700585e-08|4.0203076423495077e-08|3.291841110808491e-08|5.374127809432139e-08|3.708431606241902e-08|4.6099373207653116e-08|4.2334946215305536e-08|4.676853748719623e-08|2.1330672339558987e-08|4.532733655082666e-08|0.03561551123857498|3.6150794358036364e-08|3.79683129381192e-09
