epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,200,200,2.88,0.0888083,0.01,2.881,0,0,0,0.007,0.283,0.089,0.007,0.283,0.089,0|181|153|16|28|137|65|92|5|190|189|76|37|111|132|11|52|53|88|143|101|133|169|4|196|12|112|97|51|56,0.283|0.272|0.264|0.26|0.239|0.227|0.225|0.224|0.21|0.208|0.206|0.201|0.196|0.193|0.186|0.184|0.184|0.182|0.18|0.178|0.177|0.177|0.176|0.173|0.169|0.166|0.161|0.157|0.152|0.15,0.283,0.024,0.098,0.05,0.173,0.21,0.122,0.109,0.063,0.041,0.009,0.184,0.166,0.079,0.068,0.029,0.26,0.059,0.116,0.021,0.089,0.01,0.02,0.031,0.007,0.15,0.115,0.05,0.239,0.094,0.029,0.144,0.066,0.082,0.121,0.028,0.045,0.196,0.075,0.096,0.089,0.077,0.074,0.141,0.092,0.103,0.065,0.042,0.029,0.095,0.083,0.152,0.184,0.182,0.124,0.141,0.15,0.043,0.03,0.092,0.042,0.119,0.031,0.065,0.03,0.225,0.029,0.052,0.1,0.053,0.085,0.139,0.048,0.138,0.079,0.078,0.201,0.071,0.03,0.031,0.06,0.048,0.038,0.057,0.013,0.04,0.137,0.056,0.18,0.15,0.036,0.05,0.224,0.011,0.101,0.082,0.082,0.157,0.034,0.048,0.064,0.177,0.141,0.034,0.103,0.029,0.067,0.131,0.055,0.129,0.149,0.193,0.161,0.056,0.044,0.119,0.022,0.041,0.091,0.112,0.06,0.044,0.028,0.118,0.08,0.022,0.027,0.021,0.051,0.137,0.024,0.014,0.186,0.177,0.062,0.096,0.068,0.227,0.042,0.05,0.087,0.101,0.038,0.178,0.043,0.063,0.087,0.085,0.026,0.021,0.079,0.036,0.126,0.264,0.088,0.077,0.091,0.02,0.042,0.078,0.043,0.053,0.062,0.095,0.082,0.062,0.108,0.091,0.039,0.176,0.047,0.018,0.12,0.064,0.035,0.044,0.029,0.073,0.13,0.088,0.042,0.272,0.068,0.148,0.095,0.043,0.08,0.036,0.09,0.206,0.208,0.119,0.049,0.028,0.101,0.128,0.169,0.115,0.109,0.027
10,200,200,1.602,0.276683,0.01,1.605,0,0,0,0.012,0.944,0.277,0.012,0.944,0.277,53|97|181|3|133|14|38|40|52|28|197|78|67|146|174|4|126|68|183|101|44|190|172|7|112|42|169|158|96|76,0.944|0.892|0.858|0.819|0.771|0.756|0.701|0.688|0.682|0.668|0.65|0.646|0.615|0.61|0.608|0.603|0.603|0.599|0.598|0.598|0.589|0.587|0.582|0.579|0.572|0.562|0.555|0.549|0.546|0.541,0.048,0.41,0.228,0.819,0.603,0.381,0.137,0.579,0.144,0.079,0.084,0.248,0.417,0.224,0.756,0.261,0.358,0.055,0.353,0.439,0.361,0.512,0.101,0.23,0.144,0.168,0.302,0.239,0.668,0.488,0.096,0.043,0.012,0.438,0.286,0.183,0.169,0.417,0.701,0.431,0.688,0.05,0.562,0.021,0.589,0.296,0.441,0.238,0.298,0.11,0.254,0.146,0.682,0.944,0.023,0.451,0.428,0.216,0.06,0.164,0.027,0.057,0.286,0.487,0.41,0.237,0.105,0.615,0.599,0.083,0.449,0.336,0.081,0.206,0.256,0.208,0.541,0.504,0.646,0.123,0.16,0.206,0.104,0.252,0.181,0.148,0.31,0.323,0.208,0.346,0.202,0.057,0.123,0.427,0.321,0.057,0.546,0.892,0.122,0.016,0.03,0.598,0.307,0.167,0.113,0.012,0.041,0.406,0.013,0.197,0.335,0.441,0.572,0.185,0.395,0.027,0.047,0.35,0.16,0.432,0.303,0.271,0.244,0.158,0.037,0.03,0.603,0.059,0.114,0.128,0.101,0.026,0.503,0.771,0.145,0.143,0.408,0.414,0.026,0.176,0.247,0.334,0.056,0.075,0.114,0.066,0.61,0.048,0.041,0.147,0.297,0.236,0.393,0.242,0.039,0.203,0.198,0.069,0.549,0.035,0.174,0.31,0.117,0.5,0.05,0.17,0.219,0.071,0.402,0.555,0.069,0.026,0.582,0.09,0.608,0.216,0.166,0.12,0.191,0.367,0.113,0.858,0.218,0.598,0.384,0.191,0.394,0.389,0.143,0.09,0.587,0.391,0.154,0.264,0.182,0.48,0.05,0.65,0.03,0.154
20,200,200,1.37,0.3525377,0.01,1.373,0,0,0,0.01,1.349,0.353,0.01,1.349,0.353,3|97|181|53|133|40|4|38|28|14|78|68|67|174|44|126|63|52|112|197|101|7|19|158|70|183|172|146|42|163,1.349|1.221|1.149|1.145|1.114|1.053|0.997|0.91|0.891|0.875|0.83|0.821|0.813|0.811|0.804|0.796|0.79|0.781|0.777|0.768|0.766|0.763|0.753|0.697|0.687|0.685|0.685|0.68|0.661|0.657,0.118,0.549,0.191,1.349,0.997,0.517,0.284,0.763,0.17,0.093,0.162,0.464,0.439,0.426,0.875,0.354,0.358,0.162,0.424,0.753,0.439,0.465,0.126,0.312,0.34,0.109,0.283,0.525,0.891,0.514,0.185,0.08,0.018,0.44,0.462,0.262,0.216,0.518,0.91,0.601,1.053,0.225,0.661,0.029,0.804,0.302,0.601,0.46,0.48,0.138,0.346,0.313,0.781,1.145,0.089,0.588,0.297,0.344,0.119,0.152,0.031,0.153,0.296,0.79,0.455,0.319,0.137,0.813,0.821,0.087,0.687,0.411,0.089,0.282,0.412,0.237,0.602,0.564,0.83,0.13,0.138,0.347,0.071,0.385,0.176,0.135,0.388,0.352,0.29,0.158,0.16,0.152,0.102,0.557,0.412,0.128,0.586,1.221,0.068,0.01,0.031,0.766,0.347,0.022,0.192,0.088,0.038,0.429,0.013,0.28,0.381,0.448,0.777,0.252,0.589,0.018,0.113,0.374,0.211,0.571,0.277,0.267,0.222,0.341,0.046,0.049,0.796,0.07,0.039,0.251,0.056,0.204,0.637,1.114,0.106,0.241,0.573,0.501,0.014,0.219,0.209,0.386,0.062,0.107,0.022,0.054,0.68,0.068,0.119,0.193,0.478,0.262,0.514,0.307,0.063,0.28,0.232,0.083,0.697,0.029,0.254,0.526,0.118,0.657,0.049,0.113,0.367,0.029,0.427,0.615,0.049,0.043,0.685,0.076,0.811,0.295,0.328,0.124,0.195,0.478,0.177,1.149,0.157,0.685,0.473,0.213,0.543,0.507,0.091,0.076,0.639,0.477,0.238,0.227,0.22,0.538,0.042,0.768,0.13,0.059
30,200,200,1.221,0.3880033,0.01,1.225,0,0,0,0.007,1.648,0.388,0.007,1.648,0.388,3|97|181|133|53|40|4|28|38|63|174|68|78|112|14|44|126|7|67|183|52|158|101|19|70|163|114|27|172|197,1.648|1.466|1.3|1.294|1.196|1.176|1.148|1.05|1.023|0.96|0.94|0.931|0.93|0.923|0.889|0.885|0.875|0.845|0.832|0.816|0.813|0.803|0.77|0.753|0.753|0.745|0.745|0.739|0.724|0.723,0.141,0.449,0.257,1.648,1.148,0.68,0.396,0.845,0.13,0.092,0.165,0.578,0.329,0.608,0.889,0.254,0.302,0.399,0.442,0.753,0.45,0.309,0.211,0.33,0.554,0.045,0.3,0.739,1.05,0.511,0.304,0.132,0.052,0.517,0.636,0.536,0.252,0.62,1.023,0.547,1.176,0.237,0.628,0.029,0.885,0.341,0.656,0.566,0.541,0.146,0.381,0.385,0.813,1.196,0.157,0.597,0.381,0.445,0.076,0.159,0.023,0.098,0.323,0.96,0.526,0.331,0.132,0.832,0.931,0.08,0.753,0.381,0.068,0.28,0.438,0.102,0.679,0.61,0.93,0.167,0.13,0.436,0.076,0.471,0.138,0.128,0.375,0.229,0.275,0.014,0.249,0.187,0.031,0.69,0.387,0.011,0.508,1.466,0.037,0.007,0.12,0.77,0.274,0.021,0.179,0.02,0.038,0.442,0.152,0.349,0.332,0.419,0.923,0.295,0.745,0.016,0.046,0.459,0.291,0.627,0.24,0.335,0.212,0.37,0.081,0.047,0.875,0.078,0.056,0.369,0.08,0.323,0.68,1.294,0.128,0.222,0.576,0.51,0.11,0.23,0.236,0.412,0.09,0.098,0.015,0.048,0.59,0.047,0.288,0.307,0.531,0.233,0.505,0.351,0.047,0.311,0.244,0.064,0.803,0.035,0.418,0.652,0.116,0.745,0.04,0.132,0.386,0.02,0.448,0.677,0.081,0.078,0.724,0.057,0.94,0.382,0.438,0.234,0.267,0.535,0.216,1.3,0.04,0.816,0.468,0.238,0.667,0.549,0.038,0.062,0.675,0.519,0.262,0.192,0.233,0.488,0.017,0.723,0.11,0.113
40,200,200,1.096,0.4071204,0.01,1.1,0,0,0,0.012,1.706,0.407,0.012,1.706,0.407,3|97|181|133|4|53|40|28|38|112|174|63|68|78|126|7|158|14|183|44|163|27|114|35|67|161|5|101|52|37,1.706|1.579|1.403|1.387|1.212|1.167|1.161|1.088|1.073|1.03|1.013|0.989|0.949|0.938|0.938|0.922|0.908|0.907|0.889|0.88|0.828|0.827|0.819|0.813|0.793|0.768|0.768|0.765|0.759|0.753,0.123,0.326,0.378,1.706,1.212,0.768,0.545,0.922,0.12,0.091,0.185,0.749,0.262,0.686,0.907,0.193,0.292,0.523,0.438,0.685,0.462,0.27,0.222,0.231,0.629,0.036,0.321,0.827,1.088,0.485,0.405,0.131,0.093,0.558,0.722,0.813,0.295,0.753,1.073,0.422,1.161,0.119,0.57,0.027,0.88,0.396,0.719,0.644,0.584,0.076,0.386,0.402,0.759,1.167,0.109,0.614,0.418,0.515,0.066,0.178,0.048,0.052,0.399,0.989,0.604,0.313,0.118,0.793,0.949,0.078,0.742,0.44,0.07,0.219,0.408,0.041,0.715,0.669,0.938,0.135,0.177,0.507,0.051,0.476,0.125,0.144,0.446,0.233,0.241,0.012,0.269,0.232,0.049,0.686,0.398,0.073,0.395,1.579,0.038,0.111,0.2,0.765,0.148,0.12,0.132,0.031,0.039,0.399,0.199,0.396,0.304,0.388,1.03,0.322,0.819,0.021,0.134,0.493,0.304,0.701,0.2,0.413,0.2,0.349,0.051,0.054,0.938,0.085,0.037,0.456,0.067,0.39,0.751,1.387,0.129,0.165,0.545,0.556,0.014,0.289,0.258,0.45,0.134,0.092,0.12,0.04,0.451,0.047,0.363,0.348,0.531,0.199,0.531,0.389,0.034,0.273,0.216,0.051,0.908,0.03,0.526,0.768,0.111,0.828,0.175,0.14,0.38,0.015,0.486,0.712,0.077,0.017,0.753,0.071,1.013,0.462,0.507,0.368,0.359,0.528,0.189,1.403,0.023,0.889,0.427,0.282,0.724,0.543,0.029,0.013,0.725,0.612,0.299,0.175,0.221,0.447,0.232,0.613,0.059,0.038
50,200,200,1.029,0.4234236,0.01,1.034,0,0,0,0.012,1.593,0.423,0.012,1.593,0.423,97|3|181|133|53|4|40|38|112|28|174|7|63|78|35|183|158|126|161|27|14|68|44|37|5|114|172|11|34|67,1.593|1.586|1.506|1.453|1.221|1.211|1.183|1.128|1.089|1.079|1.072|1.051|1.032|1.024|0.988|0.958|0.943|0.93|0.926|0.923|0.907|0.906|0.881|0.878|0.856|0.828|0.827|0.813|0.801|0.788,0.12,0.223,0.499,1.586,1.211,0.856,0.711,1.051,0.104,0.095,0.291,0.813,0.2,0.63,0.907,0.091,0.176,0.596,0.546,0.696,0.448,0.307,0.184,0.177,0.751,0.024,0.269,0.923,1.079,0.545,0.515,0.087,0.018,0.588,0.801,0.988,0.378,0.878,1.128,0.29,1.183,0.051,0.563,0.03,0.881,0.479,0.775,0.667,0.58,0.137,0.404,0.349,0.658,1.221,0.129,0.519,0.344,0.554,0.065,0.335,0.039,0.078,0.429,1.032,0.593,0.3,0.021,0.788,0.906,0.081,0.699,0.389,0.108,0.171,0.415,0.039,0.756,0.759,1.024,0.131,0.171,0.566,0.012,0.397,0.112,0.113,0.481,0.169,0.241,0.033,0.202,0.291,0.104,0.61,0.39,0.153,0.423,1.593,0.04,0.085,0.113,0.757,0.165,0.122,0.049,0.022,0.056,0.356,0.205,0.444,0.239,0.367,1.089,0.31,0.828,0.034,0.183,0.517,0.398,0.769,0.174,0.415,0.21,0.381,0.05,0.074,0.93,0.103,0.038,0.564,0.053,0.414,0.78,1.453,0.113,0.164,0.57,0.649,0.073,0.378,0.341,0.496,0.158,0.121,0.125,0.046,0.454,0.06,0.427,0.369,0.583,0.261,0.608,0.441,0.027,0.24,0.256,0.055,0.943,0.021,0.546,0.926,0.119,0.776,0.159,0.218,0.343,0.06,0.463,0.721,0.075,0.076,0.827,0.139,1.072,0.578,0.587,0.422,0.405,0.501,0.14,1.506,0.034,0.958,0.474,0.335,0.728,0.558,0.032,0.038,0.759,0.662,0.306,0.124,0.18,0.456,0.34,0.577,0.093,0.078
60,200,200,0.913,0.4386573,0.01,0.918,0,0,0,0.022,1.593,0.439,0.022,1.593,0.439,97|133|181|3|53|40|4|38|35|174|112|7|28|78|63|161|158|27|5|183|37|126|14|68|172|44|46|34|67|114,1.593|1.545|1.513|1.465|1.265|1.222|1.188|1.179|1.162|1.124|1.116|1.113|1.076|1.067|1.06|1.034|1.027|0.958|0.954|0.944|0.944|0.932|0.918|0.915|0.906|0.896|0.832|0.832|0.832|0.822,0.1,0.154,0.509,1.465,1.188,0.954,0.815,1.113,0.142,0.094,0.375,0.811,0.158,0.555,0.918,0.032,0.082,0.618,0.583,0.672,0.422,0.291,0.128,0.141,0.806,0.023,0.372,0.958,1.076,0.527,0.559,0.09,0.022,0.52,0.832,1.162,0.453,0.944,1.179,0.271,1.222,0.031,0.508,0.089,0.896,0.496,0.832,0.703,0.624,0.074,0.395,0.341,0.7,1.265,0.202,0.465,0.341,0.598,0.065,0.315,0.06,0.14,0.413,1.06,0.599,0.358,0.195,0.832,0.915,0.094,0.714,0.387,0.094,0.188,0.345,0.033,0.722,0.817,1.067,0.141,0.209,0.606,0.185,0.379,0.09,0.117,0.429,0.172,0.271,0.1,0.202,0.284,0.125,0.617,0.423,0.149,0.489,1.593,0.046,0.096,0.058,0.736,0.165,0.084,0.067,0.043,0.139,0.302,0.184,0.528,0.259,0.402,1.116,0.299,0.822,0.036,0.184,0.54,0.434,0.781,0.126,0.357,0.174,0.427,0.137,0.084,0.932,0.131,0.042,0.637,0.066,0.474,0.799,1.545,0.148,0.188,0.627,0.654,0.076,0.422,0.361,0.525,0.154,0.114,0.179,0.04,0.493,0.05,0.551,0.347,0.612,0.284,0.639,0.513,0.27,0.19,0.264,0.058,1.027,0.054,0.576,1.034,0.113,0.758,0.123,0.258,0.292,0.135,0.451,0.729,0.085,0.228,0.906,0.165,1.124,0.612,0.629,0.454,0.431,0.501,0.145,1.513,0.031,0.944,0.469,0.356,0.758,0.554,0.067,0.118,0.73,0.641,0.26,0.088,0.113,0.403,0.359,0.436,0.063,0.099
70,200,200,0.875,0.4576636,0.01,0.88,0,0,0,0.011,1.628,0.458,0.011,1.628,0.458,97|133|181|3|35|53|38|28|158|112|4|174|78|40|7|37|63|161|27|172|5|126|76|70|183|68|132|6|77|186,1.628|1.53|1.491|1.404|1.325|1.311|1.266|1.253|1.199|1.194|1.192|1.165|1.139|1.137|1.133|1.107|1.067|0.995|0.953|0.937|0.933|0.932|0.907|0.878|0.876|0.869|0.866|0.862|0.844|0.843,0.12,0.072,0.549,1.404,1.192,0.933,0.862,1.133,0.105,0.116,0.39,0.744,0.249,0.558,0.749,0.118,0.086,0.711,0.743,0.721,0.445,0.23,0.282,0.216,0.818,0.025,0.367,0.953,1.253,0.75,0.587,0.066,0.234,0.616,0.793,1.325,0.438,1.107,1.266,0.258,1.137,0.068,0.51,0.091,0.817,0.481,0.784,0.661,0.737,0.206,0.356,0.369,0.715,1.311,0.367,0.493,0.318,0.573,0.08,0.401,0.155,0.064,0.313,1.067,0.667,0.38,0.171,0.805,0.869,0.124,0.878,0.362,0.122,0.147,0.544,0.06,0.907,0.844,1.139,0.162,0.228,0.527,0.157,0.34,0.084,0.282,0.456,0.257,0.207,0.215,0.241,0.215,0.184,0.518,0.349,0.204,0.564,1.628,0.062,0.194,0.118,0.801,0.112,0.028,0.056,0.03,0.232,0.334,0.097,0.442,0.122,0.452,1.194,0.441,0.84,0.1,0.107,0.544,0.488,0.731,0.064,0.364,0.204,0.619,0.183,0.226,0.932,0.131,0.04,0.779,0.106,0.588,0.866,1.53,0.142,0.168,0.646,0.652,0.064,0.293,0.228,0.425,0.081,0.028,0.27,0.244,0.369,0.056,0.82,0.402,0.713,0.168,0.668,0.529,0.199,0.308,0.243,0.071,1.199,0.109,0.737,0.995,0.128,0.794,0.137,0.179,0.313,0.023,0.453,0.742,0.102,0.15,0.937,0.314,1.165,0.65,0.817,0.505,0.464,0.674,0.12,1.491,0.054,0.876,0.35,0.314,0.843,0.47,0.115,0.011,0.685,0.625,0.119,0.063,0.125,0.388,0.419,0.283,0.084,0.075
80,200,200,0.775,0.4777027,0.01,0.779,0,0,0,0.009,1.715,0.478,0.009,1.715,0.478,97|133|35|3|181|38|53|28|158|4|40|112|7|174|37|78|63|27|172|5|148|161|186|70|132|76|68|126|46|6,1.715|1.54|1.438|1.43|1.39|1.328|1.309|1.28|1.258|1.238|1.219|1.216|1.161|1.153|1.133|1.113|1.046|1.032|1.018|0.996|0.988|0.987|0.97|0.951|0.949|0.935|0.911|0.908|0.887|0.887,0.08,0.041,0.654,1.43,1.238,0.996,0.887,1.161,0.081,0.129,0.481,0.695,0.269,0.511,0.713,0.125,0.009,0.74,0.827,0.775,0.426,0.233,0.293,0.261,0.842,0.031,0.389,1.032,1.28,0.801,0.638,0.035,0.253,0.707,0.868,1.438,0.569,1.133,1.328,0.267,1.219,0.162,0.498,0.142,0.83,0.479,0.887,0.657,0.841,0.248,0.396,0.453,0.776,1.309,0.402,0.497,0.334,0.602,0.087,0.54,0.12,0.069,0.318,1.046,0.641,0.343,0.214,0.819,0.911,0.118,0.951,0.465,0.141,0.074,0.598,0.104,0.935,0.841,1.113,0.189,0.263,0.476,0.161,0.331,0.244,0.394,0.329,0.313,0.309,0.128,0.322,0.212,0.328,0.471,0.472,0.2,0.515,1.715,0.071,0.242,0.163,0.862,0.126,0.142,0.083,0.045,0.239,0.399,0.066,0.404,0.028,0.454,1.216,0.523,0.837,0.067,0.033,0.627,0.594,0.691,0.185,0.351,0.112,0.728,0.136,0.285,0.908,0.13,0.096,0.836,0.073,0.614,0.949,1.54,0.204,0.187,0.695,0.597,0.04,0.31,0.177,0.407,0.082,0.085,0.239,0.249,0.29,0.054,0.988,0.463,0.68,0.121,0.687,0.553,0.148,0.367,0.221,0.08,1.258,0.143,0.872,0.987,0.136,0.784,0.236,0.122,0.37,0.076,0.463,0.758,0.112,0.136,1.018,0.32,1.153,0.61,0.878,0.471,0.461,0.724,0.195,1.39,0.056,0.859,0.248,0.323,0.97,0.471,0.291,0.108,0.646,0.486,0.085,0.027,0.079,0.322,0.499,0.218,0.099,0.09
90,200,200,0.692,0.4834222,0.01,0.696,0,0,0,0.012,1.706,0.483,0.012,1.706,0.483,97|133|35|181|3|38|53|28|158|40|112|7|4|37|174|78|148|63|27|172|5|161|132|6|186|70|68|76|34|160,1.706|1.582|1.502|1.398|1.351|1.345|1.286|1.272|1.266|1.248|1.227|1.204|1.181|1.161|1.146|1.105|1.072|1.067|1.052|1.042|1.037|0.996|0.981|0.964|0.964|0.963|0.954|0.944|0.929|0.927,0.088,0.06,0.677,1.351,1.181,1.037,0.964,1.204,0.132,0.139,0.576,0.695,0.275,0.536,0.719,0.12,0.017,0.76,0.792,0.796,0.402,0.269,0.3,0.314,0.846,0.041,0.402,1.052,1.272,0.773,0.643,0.021,0.268,0.689,0.929,1.502,0.632,1.161,1.345,0.287,1.248,0.166,0.459,0.208,0.855,0.458,0.924,0.66,0.851,0.228,0.371,0.518,0.839,1.286,0.353,0.504,0.305,0.658,0.094,0.58,0.195,0.082,0.357,1.067,0.654,0.369,0.234,0.773,0.954,0.123,0.963,0.481,0.122,0.129,0.477,0.116,0.944,0.848,1.105,0.209,0.284,0.495,0.135,0.398,0.241,0.387,0.344,0.268,0.254,0.09,0.284,0.209,0.348,0.439,0.512,0.197,0.541,1.706,0.078,0.187,0.171,0.88,0.113,0.099,0.061,0.042,0.266,0.39,0.039,0.381,0.055,0.417,1.227,0.532,0.842,0.067,0.019,0.643,0.623,0.665,0.231,0.335,0.088,0.786,0.142,0.322,0.904,0.135,0.14,0.852,0.075,0.626,0.981,1.582,0.209,0.163,0.7,0.545,0.038,0.33,0.205,0.384,0.083,0.097,0.168,0.213,0.278,0.059,1.072,0.499,0.636,0.148,0.725,0.573,0.137,0.39,0.215,0.083,1.266,0.141,0.927,0.996,0.137,0.784,0.269,0.111,0.366,0.077,0.491,0.785,0.117,0.153,1.042,0.283,1.146,0.564,0.902,0.457,0.487,0.711,0.18,1.398,0.058,0.882,0.235,0.32,0.964,0.478,0.342,0.105,0.654,0.423,0.112,0.031,0.088,0.271,0.472,0.211,0.123,0.012
