epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102
0,103,103,2.407,0.0482893,0.0001,2.407,0,0,0,0.007,0.178,0.048,0.007,0.178,0.048,102|91|25|12|37|98|84|6|80|14|75|36|20|47|71|22|21|31|92|42|65|49|40|51|64|83|88|8|93|72,0.178|0.144|0.138|0.129|0.126|0.124|0.124|0.122|0.118|0.115|0.107|0.089|0.088|0.088|0.086|0.085|0.083|0.077|0.074|0.073|0.073|0.07|0.07|0.067|0.066|0.065|0.064|0.062|0.061|0.06,0.026,0.015,0.035,0.016,0.032,0.037,0.122,0.055,0.062,0.038,0.046,0.044,0.129,0.041,0.115,0.056,0.016,0.041,0.026,0.048,0.088,0.083,0.085,0.012,0.017,0.138,0.012,0.042,0.035,0.022,0.041,0.077,0.007,0.035,0.014,0.023,0.089,0.126,0.037,0.044,0.07,0.042,0.073,0.037,0.01,0.018,0.016,0.088,0.014,0.07,0.05,0.067,0.013,0.024,0.029,0.01,0.024,0.012,0.023,0.033,0.034,0.039,0.02,0.028,0.066,0.073,0.059,0.023,0.008,0.013,0.035,0.086,0.06,0.013,0.043,0.107,0.027,0.031,0.021,0.02,0.118,0.035,0.046,0.065,0.124,0.016,0.026,0.041,0.064,0.038,0.053,0.144,0.074,0.061,0.013,0.016,0.037,0.059,0.124,0.023,0.017,0.046,0.178
10,103,103,2.088,0.1271976,0.0001,2.088,0,0,0,0.006,0.334,0.127,0.006,0.334,0.127,47|84|21|93|98|102|25|9|38|54|52|13|7|64|59|96|48|92|30|51|6|14|45|71|62|74|15|16|40|88,0.334|0.331|0.312|0.296|0.292|0.282|0.274|0.26|0.254|0.25|0.245|0.244|0.24|0.24|0.236|0.233|0.229|0.225|0.222|0.218|0.217|0.213|0.212|0.208|0.197|0.194|0.187|0.18|0.173|0.172,0.061,0.149,0.092,0.09,0.018,0.126,0.217,0.24,0.102,0.26,0.067,0.127,0.132,0.244,0.213,0.187,0.18,0.142,0.121,0.066,0.006,0.312,0.013,0.025,0.082,0.274,0.108,0.035,0.146,0.039,0.222,0.013,0.098,0.12,0.162,0.092,0.172,0.043,0.254,0.082,0.173,0.158,0.087,0.041,0.163,0.212,0.155,0.334,0.229,0.038,0.052,0.218,0.245,0.01,0.25,0.034,0.121,0.168,0.161,0.236,0.1,0.156,0.197,0.016,0.24,0.03,0.051,0.117,0.129,0.019,0.065,0.208,0.163,0.062,0.194,0.085,0.106,0.156,0.116,0.055,0.161,0.028,0.029,0.033,0.331,0.027,0.046,0.026,0.172,0.029,0.107,0.123,0.225,0.296,0.014,0.011,0.233,0.082,0.292,0.015,0.01,0.049,0.282
20,103,103,1.946,0.1535454,0.0001,1.946,0,0,0,0.006,0.402,0.154,0.006,0.402,0.154,47|84|93|21|98|96|52|71|9|25|7|51|92|54|38|14|102|62|64|30|74|13|59|88|48|45|72|57|46|41,0.402|0.384|0.383|0.353|0.334|0.322|0.319|0.308|0.306|0.304|0.304|0.299|0.299|0.299|0.298|0.298|0.29|0.286|0.285|0.283|0.267|0.267|0.262|0.245|0.238|0.228|0.224|0.219|0.216|0.215,0.023,0.188,0.119,0.167,0.072,0.127,0.205,0.304,0.113,0.306,0.068,0.141,0.117,0.267,0.298,0.195,0.212,0.176,0.189,0.045,0.016,0.353,0.006,0.029,0.055,0.304,0.047,0.105,0.188,0.053,0.283,0.011,0.168,0.142,0.123,0.084,0.145,0.046,0.298,0.069,0.18,0.215,0.151,0.039,0.201,0.228,0.216,0.402,0.238,0.041,0.084,0.299,0.319,0.019,0.299,0.053,0.122,0.219,0.197,0.262,0.162,0.204,0.286,0.016,0.285,0.035,0.089,0.096,0.172,0.042,0.056,0.308,0.224,0.129,0.267,0.131,0.087,0.158,0.101,0.054,0.195,0.021,0.012,0.072,0.384,0.037,0.055,0.026,0.245,0.035,0.118,0.158,0.299,0.383,0.024,0.008,0.322,0.117,0.334,0.029,0.034,0.07,0.29
30,103,103,1.773,0.1686001,0.0001,1.773,0,0,0,0.004,0.461,0.169,0.004,0.461,0.169,47|98|93|96|84|92|62|21|14|9|64|51|102|52|71|54|38|45|30|25|7|74|61|41|88|59|57|46|13|48,0.461|0.422|0.41|0.383|0.371|0.366|0.362|0.351|0.347|0.341|0.341|0.337|0.335|0.327|0.32|0.317|0.317|0.311|0.31|0.304|0.3|0.297|0.294|0.292|0.284|0.258|0.257|0.246|0.245|0.245,0.014,0.117,0.139,0.147,0.1,0.125,0.203,0.3,0.083,0.341,0.089,0.123,0.077,0.245,0.347,0.171,0.228,0.229,0.194,0.043,0.059,0.351,0.009,0.033,0.06,0.304,0.011,0.138,0.168,0.053,0.31,0.012,0.154,0.204,0.154,0.131,0.13,0.067,0.317,0.057,0.201,0.292,0.198,0.04,0.236,0.311,0.246,0.461,0.245,0.055,0.087,0.337,0.327,0.027,0.317,0.047,0.12,0.257,0.218,0.258,0.2,0.294,0.362,0.075,0.341,0.016,0.069,0.098,0.231,0.07,0.102,0.32,0.21,0.169,0.297,0.195,0.046,0.143,0.059,0.018,0.235,0.021,0.004,0.067,0.371,0.045,0.057,0.021,0.284,0.062,0.138,0.195,0.366,0.41,0.038,0.01,0.383,0.101,0.422,0.022,0.04,0.106,0.335
40,103,103,1.569,0.1767773,0.0001,1.569,0,0,0,0.01,0.482,0.177,0.01,0.482,0.177,47|98|93|62|96|92|64|84|21|102|14|51|45|74|9|30|54|38|61|52|41|71|57|7|88|25|80|44|48|68,0.482|0.447|0.429|0.427|0.409|0.396|0.395|0.392|0.376|0.37|0.354|0.348|0.343|0.337|0.33|0.327|0.326|0.326|0.325|0.325|0.307|0.301|0.301|0.296|0.294|0.285|0.271|0.263|0.262|0.26,0.02,0.089,0.104,0.186,0.099,0.118,0.242,0.296,0.04,0.33,0.085,0.086,0.062,0.231,0.354,0.179,0.186,0.25,0.209,0.044,0.067,0.376,0.014,0.01,0.071,0.285,0.024,0.202,0.158,0.052,0.327,0.013,0.11,0.249,0.159,0.165,0.139,0.051,0.326,0.039,0.224,0.307,0.22,0.042,0.263,0.343,0.256,0.482,0.262,0.054,0.085,0.348,0.325,0.018,0.326,0.061,0.123,0.301,0.231,0.246,0.235,0.325,0.427,0.115,0.395,0.016,0.044,0.147,0.26,0.116,0.133,0.301,0.197,0.184,0.337,0.222,0.052,0.125,0.037,0.028,0.271,0.017,0.018,0.061,0.392,0.048,0.048,0.02,0.294,0.085,0.14,0.203,0.396,0.429,0.043,0.011,0.409,0.089,0.447,0.012,0.013,0.132,0.37
50,103,103,1.359,0.1798767,0.0001,1.359,0,0,0,0.004,0.5,0.18,0.004,0.5,0.18,47|98|62|93|96|84|64|21|102|92|61|14|45|51|38|74|54|9|52|30|41|57|88|80|25|68|6|7|46|71,0.5|0.473|0.44|0.436|0.427|0.423|0.408|0.391|0.388|0.385|0.376|0.372|0.36|0.358|0.358|0.357|0.346|0.329|0.323|0.321|0.313|0.312|0.305|0.288|0.282|0.279|0.275|0.271|0.27|0.268,0.023,0.081,0.073,0.145,0.065,0.108,0.275,0.271,0.009,0.329,0.088,0.097,0.031,0.251,0.372,0.161,0.158,0.257,0.217,0.033,0.065,0.391,0.033,0.041,0.073,0.282,0.048,0.207,0.122,0.055,0.321,0.012,0.108,0.24,0.144,0.179,0.149,0.04,0.358,0.03,0.221,0.313,0.214,0.044,0.267,0.36,0.27,0.5,0.256,0.035,0.099,0.358,0.323,0.028,0.346,0.059,0.114,0.312,0.226,0.239,0.249,0.376,0.44,0.154,0.408,0.019,0.023,0.176,0.279,0.139,0.127,0.268,0.199,0.179,0.357,0.239,0.054,0.12,0.018,0.042,0.288,0.018,0.004,0.064,0.423,0.054,0.045,0.045,0.305,0.115,0.15,0.197,0.385,0.436,0.056,0.01,0.427,0.086,0.473,0.013,0.011,0.143,0.388
60,103,103,1.139,0.1803426,0.0001,1.139,0,0,0,0.006,0.504,0.18,0.006,0.504,0.18,47|98|62|84|96|93|14|61|38|74|102|21|92|64|51|54|45|52|80|88|9|30|41|57|6|7|60|68|71|44,0.504|0.487|0.452|0.448|0.432|0.426|0.417|0.394|0.386|0.381|0.38|0.379|0.377|0.37|0.369|0.36|0.36|0.34|0.327|0.319|0.319|0.311|0.309|0.303|0.296|0.273|0.27|0.268|0.264|0.262,0.009,0.086,0.1,0.121,0.064,0.1,0.296,0.273,0.013,0.319,0.087,0.097,0.006,0.228,0.417,0.134,0.147,0.248,0.214,0.035,0.062,0.379,0.06,0.052,0.078,0.238,0.061,0.199,0.094,0.052,0.311,0.012,0.101,0.232,0.127,0.191,0.152,0.037,0.386,0.03,0.214,0.309,0.189,0.045,0.262,0.36,0.259,0.504,0.253,0.017,0.093,0.369,0.34,0.017,0.36,0.059,0.101,0.303,0.235,0.238,0.27,0.394,0.452,0.169,0.37,0.013,0.02,0.203,0.268,0.162,0.103,0.264,0.215,0.189,0.381,0.262,0.043,0.09,0.013,0.054,0.327,0.026,0.012,0.055,0.448,0.057,0.044,0.042,0.319,0.127,0.161,0.199,0.377,0.426,0.053,0.028,0.432,0.083,0.487,0.014,0.01,0.16,0.38
70,103,103,0.953,0.1820662,0.0001,0.953,0,0,0,0.008,0.51,0.182,0.008,0.51,0.182,98|47|84|96|62|93|74|14|38|61|51|102|21|64|54|92|45|52|30|9|80|88|41|57|60|68|6|46|44|7,0.51|0.499|0.475|0.456|0.454|0.419|0.402|0.401|0.4|0.397|0.387|0.386|0.381|0.377|0.364|0.361|0.353|0.34|0.328|0.327|0.325|0.32|0.319|0.306|0.296|0.288|0.287|0.275|0.268|0.266,0.008,0.068,0.124,0.081,0.05,0.098,0.287,0.266,0.016,0.327,0.104,0.099,0.009,0.239,0.401,0.128,0.136,0.255,0.225,0.035,0.052,0.381,0.063,0.025,0.062,0.237,0.071,0.211,0.108,0.069,0.328,0.01,0.118,0.238,0.115,0.183,0.173,0.036,0.4,0.021,0.225,0.319,0.18,0.046,0.268,0.353,0.275,0.499,0.241,0.018,0.095,0.387,0.34,0.014,0.364,0.056,0.097,0.306,0.238,0.231,0.296,0.397,0.454,0.177,0.377,0.012,0.015,0.228,0.288,0.177,0.071,0.249,0.219,0.189,0.402,0.263,0.014,0.094,0.013,0.035,0.325,0.072,0.073,0.032,0.475,0.059,0.038,0.011,0.32,0.129,0.156,0.205,0.361,0.419,0.044,0.02,0.456,0.081,0.51,0.036,0.011,0.155,0.386
80,103,103,0.795,0.1815671,0.0001,0.795,0,0,0,0.005,0.526,0.182,0.005,0.526,0.182,98|84|47|62|96|14|38|74|93|51|102|21|61|64|54|45|92|80|9|52|88|30|57|41|60|68|17|44|46|6,0.526|0.492|0.492|0.459|0.441|0.438|0.41|0.406|0.405|0.394|0.389|0.388|0.386|0.369|0.355|0.347|0.345|0.34|0.327|0.324|0.323|0.317|0.311|0.311|0.305|0.273|0.272|0.269|0.268|0.264,0.013,0.057,0.114,0.036,0.028,0.116,0.264,0.255,0.011,0.327,0.115,0.097,0.009,0.244,0.438,0.13,0.135,0.272,0.241,0.033,0.06,0.388,0.052,0.025,0.044,0.217,0.098,0.216,0.116,0.063,0.317,0.009,0.126,0.229,0.101,0.194,0.187,0.031,0.41,0.018,0.223,0.311,0.174,0.046,0.269,0.347,0.268,0.492,0.229,0.015,0.112,0.394,0.324,0.012,0.355,0.055,0.093,0.311,0.244,0.23,0.305,0.386,0.459,0.175,0.369,0.012,0.014,0.241,0.273,0.202,0.063,0.261,0.223,0.201,0.406,0.264,0.019,0.08,0.012,0.042,0.34,0.112,0.073,0.012,0.492,0.061,0.038,0.005,0.323,0.129,0.147,0.204,0.345,0.405,0.034,0.01,0.441,0.077,0.526,0.027,0.014,0.148,0.389
90,103,103,0.667,0.1815024,0.0001,0.667,0,0,0,0.008,0.525,0.182,0.008,0.525,0.182,98|84|47|62|14|96|51|74|93|61|21|38|102|64|54|45|52|80|92|30|88|9|41|57|60|75|68|67|6|71,0.525|0.514|0.486|0.457|0.437|0.434|0.401|0.4|0.395|0.392|0.391|0.387|0.38|0.366|0.354|0.353|0.345|0.344|0.337|0.333|0.322|0.314|0.312|0.311|0.304|0.28|0.274|0.27|0.265|0.262,0.046,0.066,0.116,0.033,0.016,0.131,0.265,0.244,0.009,0.314,0.124,0.117,0.011,0.248,0.437,0.128,0.122,0.262,0.251,0.051,0.051,0.391,0.042,0.043,0.019,0.189,0.097,0.216,0.106,0.057,0.333,0.012,0.13,0.219,0.093,0.187,0.211,0.034,0.387,0.013,0.235,0.312,0.16,0.044,0.261,0.353,0.254,0.486,0.217,0.015,0.116,0.401,0.345,0.01,0.354,0.049,0.123,0.311,0.24,0.211,0.304,0.392,0.457,0.158,0.366,0.012,0.014,0.27,0.274,0.198,0.062,0.262,0.214,0.211,0.4,0.28,0.008,0.083,0.013,0.032,0.344,0.164,0.053,0.013,0.514,0.062,0.04,0.016,0.322,0.138,0.15,0.191,0.337,0.395,0.033,0.012,0.434,0.082,0.525,0.025,0.014,0.123,0.38
