dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
salinas,30,v3,188.462,0.925,0.96,0.96,4|5|9|14|16|17|29|31|37|40|60|69|80|89|97|106|107|110|111|114|131|134|147|148|151|155|157|162|170|189,0.06609924882650375|0.11891743540763855|0.02025488018989563|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.08589322865009308|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.3182006776332855|0.6441916227340698|0.022848686203360558|0.8762342929840088|0.004203989170491695
salinas,29,v3,0.0,0.925,0.959,0.959,4|5|9|14|16|17|29|31|37|40|60|69|80|89|97|106|107|110|111|114|131|134|147|148|151|155|157|162|189,0.06609924882650375|0.11891743540763855|0.02025488018989563|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.08589322865009308|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.3182006776332855|0.6441916227340698|0.022848686203360558|0.004203989170491695
salinas,28,v3,0.0,0.926,0.96,0.96,4|5|9|14|16|17|29|31|37|40|60|69|80|89|97|106|107|110|111|114|131|134|147|148|151|157|162|189,0.06609924882650375|0.11891743540763855|0.02025488018989563|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.08589322865009308|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558|0.004203989170491695
salinas,27,v3,0.0,0.925,0.959,0.959,4|5|14|16|17|29|31|37|40|60|69|80|89|97|106|107|110|111|114|131|134|147|148|151|157|162|189,0.06609924882650375|0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.08589322865009308|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558|0.004203989170491695
salinas,26,v3,0.0,0.924,0.959,0.959,4|5|14|16|17|29|31|37|40|60|69|80|89|97|106|107|110|111|114|131|134|147|148|151|157|162,0.06609924882650375|0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.08589322865009308|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558
salinas,25,v3,0.0,0.922,0.957,0.957,4|5|14|16|17|29|31|37|40|60|69|89|97|106|107|110|111|114|131|134|147|148|151|157|162,0.06609924882650375|0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.05481874570250511|0.9858484864234924|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558
salinas,24,v3,0.0,0.92,0.957,0.957,4|5|14|16|17|29|31|37|40|69|89|97|106|107|110|111|114|131|134|147|148|151|157|162,0.06609924882650375|0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.9858484864234924|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558
salinas,23,v3,0.0,0.919,0.956,0.956,5|14|16|17|29|31|37|40|69|89|97|106|107|110|111|114|131|134|147|148|151|157|162,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.9858484864234924|0.21432320773601532|0.09096059948205948|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558
salinas,22,v3,0.0,0.919,0.956,0.956,5|14|16|17|29|31|37|40|69|89|106|107|110|111|114|131|134|147|148|151|157|162,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.9858484864234924|0.21432320773601532|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698|0.022848686203360558
salinas,21,v3,0.0,0.917,0.954,0.954,5|14|16|17|29|31|37|40|69|89|106|107|110|111|114|131|134|147|148|151|157,0.11891743540763855|0.06196626275777817|0.11132010817527771|0.6532042622566223|0.7000780701637268|0.06361693888902664|0.4833362102508545|0.2866956293582916|0.9858484864234924|0.21432320773601532|0.10737072676420212|0.03658369928598404|0.735112726688385|0.06903937458992004|0.7464770674705505|0.2952450215816498|0.01948198862373829|1.0607802867889404|0.8406703472137451|0.0251846294850111|0.6441916227340698
