epoch,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199,weight_200,weight_201,weight_202,weight_203
0,2.957,0.5007438,0.2994006,3.107,0.925,0.963,0.917,0.435,0.562,0.501,0.435,0.562,0.501,204,204,141|33|102|106|155|27|93|16|51|201|153|60|117|127|72|192|77|28|110|196|71|59|49|194|175|39|190|17|114|186,0.562|0.553|0.551|0.547|0.543|0.543|0.542|0.54|0.539|0.536|0.536|0.535|0.534|0.533|0.533|0.532|0.532|0.53|0.529|0.526|0.526|0.526|0.526|0.525|0.525|0.525|0.525|0.524|0.524|0.523,0.515,0.512,0.474,0.48,0.505,0.488,0.5,0.487,0.501,0.513,0.518,0.471,0.465,0.512,0.503,0.512,0.54,0.524,0.489,0.473,0.464,0.509,0.496,0.435,0.483,0.519,0.501,0.543,0.53,0.481,0.51,0.494,0.493,0.553,0.519,0.501,0.478,0.523,0.494,0.525,0.512,0.495,0.494,0.488,0.502,0.51,0.508,0.477,0.492,0.526,0.502,0.539,0.487,0.522,0.494,0.519,0.513,0.464,0.491,0.526,0.535,0.484,0.478,0.478,0.468,0.494,0.468,0.498,0.502,0.495,0.522,0.526,0.533,0.515,0.499,0.513,0.472,0.532,0.497,0.514,0.507,0.493,0.469,0.442,0.456,0.467,0.498,0.493,0.465,0.513,0.502,0.497,0.478,0.542,0.519,0.505,0.496,0.457,0.509,0.52,0.495,0.508,0.551,0.498,0.485,0.518,0.547,0.48,0.497,0.515,0.529,0.484,0.48,0.488,0.524,0.499,0.515,0.534,0.479,0.514,0.504,0.515,0.483,0.492,0.521,0.484,0.492,0.533,0.491,0.47,0.489,0.496,0.5,0.471,0.513,0.475,0.508,0.482,0.507,0.518,0.503,0.562,0.467,0.483,0.483,0.505,0.476,0.502,0.513,0.515,0.477,0.496,0.477,0.536,0.516,0.543,0.483,0.514,0.494,0.522,0.476,0.493,0.509,0.492,0.491,0.483,0.487,0.485,0.509,0.512,0.473,0.491,0.488,0.478,0.522,0.525,0.499,0.496,0.498,0.5,0.506,0.496,0.5,0.487,0.474,0.471,0.523,0.481,0.503,0.502,0.525,0.504,0.532,0.491,0.525,0.518,0.526,0.515,0.519,0.502,0.516,0.536,0.511,0.486
10,1.452,0.4831956,0.2934721,1.593,0.923,0.957,0.914,0.33,0.663,0.483,0.33,0.663,0.483,204,204,80|196|103|0|38|56|25|102|172|193|9|71|151|63|180|41|39|99|72|121|59|127|195|4|95|153|155|33|68|57,0.663|0.645|0.642|0.631|0.628|0.62|0.62|0.619|0.619|0.617|0.615|0.615|0.614|0.611|0.61|0.608|0.606|0.605|0.605|0.603|0.601|0.601|0.6|0.597|0.592|0.592|0.592|0.589|0.588|0.586,0.631,0.397,0.415,0.383,0.597,0.466,0.491,0.416,0.565,0.615,0.397,0.476,0.381,0.542,0.447,0.512,0.464,0.411,0.505,0.548,0.353,0.446,0.439,0.407,0.395,0.62,0.39,0.526,0.445,0.436,0.409,0.403,0.514,0.589,0.43,0.431,0.46,0.444,0.628,0.606,0.356,0.608,0.452,0.346,0.436,0.455,0.379,0.436,0.415,0.449,0.543,0.562,0.44,0.575,0.508,0.502,0.62,0.586,0.417,0.601,0.476,0.564,0.41,0.611,0.499,0.362,0.375,0.46,0.588,0.465,0.552,0.615,0.605,0.552,0.384,0.465,0.402,0.418,0.557,0.498,0.663,0.399,0.418,0.466,0.493,0.526,0.413,0.449,0.42,0.508,0.535,0.428,0.508,0.531,0.542,0.592,0.477,0.33,0.525,0.605,0.528,0.449,0.619,0.642,0.511,0.576,0.416,0.41,0.38,0.418,0.451,0.391,0.41,0.378,0.491,0.477,0.446,0.468,0.539,0.452,0.442,0.603,0.494,0.569,0.476,0.351,0.435,0.601,0.458,0.449,0.43,0.422,0.384,0.518,0.538,0.403,0.419,0.344,0.532,0.551,0.441,0.487,0.377,0.462,0.427,0.427,0.449,0.482,0.412,0.545,0.556,0.614,0.39,0.592,0.428,0.592,0.522,0.542,0.574,0.506,0.539,0.446,0.487,0.519,0.536,0.394,0.396,0.512,0.438,0.498,0.376,0.491,0.619,0.424,0.575,0.486,0.51,0.536,0.391,0.474,0.61,0.393,0.576,0.562,0.554,0.393,0.549,0.393,0.432,0.528,0.526,0.532,0.415,0.617,0.47,0.6,0.645,0.47,0.41,0.504,0.426,0.435,0.395,0.393
20,1.173,0.4532101,0.2876609,1.303,0.929,0.964,0.921,0.262,0.709,0.453,0.262,0.709,0.453,204,204,80|103|56|102|25|196|193|19|38|172|4|33|63|180|151|39|57|9|71|195|41|99|8|121|184|72|174|95|32|59,0.709|0.686|0.683|0.676|0.666|0.661|0.659|0.654|0.649|0.649|0.639|0.631|0.631|0.626|0.624|0.62|0.619|0.616|0.615|0.612|0.612|0.611|0.607|0.607|0.603|0.601|0.599|0.595|0.592|0.589,0.562,0.314,0.333,0.328,0.639,0.404,0.477,0.354,0.607,0.616,0.338,0.511,0.325,0.524,0.438,0.535,0.448,0.387,0.421,0.654,0.346,0.4,0.398,0.401,0.295,0.666,0.319,0.489,0.35,0.466,0.374,0.3,0.592,0.631,0.404,0.419,0.451,0.515,0.649,0.62,0.329,0.612,0.51,0.29,0.371,0.41,0.357,0.415,0.375,0.434,0.519,0.557,0.455,0.544,0.465,0.461,0.683,0.619,0.393,0.589,0.4,0.563,0.406,0.631,0.496,0.343,0.318,0.449,0.53,0.449,0.576,0.615,0.601,0.502,0.324,0.447,0.388,0.397,0.578,0.487,0.709,0.372,0.414,0.498,0.481,0.557,0.384,0.403,0.363,0.468,0.539,0.406,0.553,0.518,0.506,0.595,0.398,0.27,0.434,0.611,0.533,0.408,0.676,0.686,0.577,0.573,0.263,0.266,0.263,0.281,0.351,0.341,0.365,0.306,0.471,0.382,0.401,0.44,0.478,0.409,0.432,0.607,0.499,0.571,0.433,0.297,0.363,0.568,0.392,0.475,0.429,0.367,0.304,0.471,0.515,0.354,0.387,0.262,0.489,0.486,0.374,0.407,0.318,0.392,0.372,0.366,0.345,0.347,0.32,0.453,0.542,0.624,0.345,0.546,0.315,0.584,0.504,0.5,0.548,0.472,0.534,0.42,0.467,0.494,0.491,0.339,0.422,0.485,0.399,0.413,0.324,0.444,0.649,0.38,0.599,0.463,0.47,0.512,0.351,0.384,0.626,0.34,0.541,0.549,0.603,0.328,0.571,0.297,0.384,0.517,0.551,0.504,0.333,0.659,0.419,0.612,0.661,0.437,0.34,0.448,0.31,0.318,0.268,0.291
30,0.989,0.4234729,0.2819649,1.109,0.928,0.964,0.92,0.152,0.741,0.423,0.152,0.741,0.423,204,204,80|19|102|196|25|33|56|103|172|8|4|193|195|63|32|38|39|180|57|71|9|184|174|151|41|95|99|15|70|72,0.741|0.739|0.702|0.684|0.68|0.672|0.669|0.668|0.652|0.65|0.65|0.646|0.638|0.635|0.634|0.629|0.626|0.621|0.619|0.607|0.607|0.607|0.599|0.596|0.594|0.59|0.587|0.587|0.585|0.583,0.447,0.229,0.246,0.297,0.65,0.345,0.432,0.342,0.65,0.607,0.279,0.566,0.288,0.523,0.452,0.587,0.469,0.372,0.349,0.739,0.355,0.378,0.382,0.39,0.219,0.68,0.276,0.451,0.264,0.485,0.344,0.232,0.634,0.672,0.364,0.393,0.443,0.515,0.629,0.626,0.301,0.594,0.55,0.269,0.323,0.368,0.316,0.387,0.327,0.356,0.462,0.543,0.412,0.532,0.464,0.423,0.669,0.619,0.377,0.543,0.373,0.555,0.406,0.635,0.441,0.327,0.308,0.426,0.487,0.423,0.585,0.607,0.583,0.44,0.295,0.434,0.374,0.366,0.545,0.504,0.741,0.351,0.397,0.501,0.465,0.524,0.347,0.379,0.308,0.424,0.53,0.368,0.535,0.506,0.472,0.59,0.347,0.219,0.381,0.587,0.509,0.365,0.702,0.668,0.573,0.522,0.152,0.155,0.177,0.2,0.264,0.292,0.355,0.256,0.449,0.323,0.345,0.412,0.463,0.372,0.422,0.581,0.499,0.553,0.396,0.268,0.295,0.533,0.365,0.46,0.395,0.325,0.241,0.412,0.472,0.292,0.365,0.221,0.449,0.443,0.339,0.326,0.256,0.353,0.313,0.29,0.232,0.206,0.266,0.351,0.497,0.596,0.334,0.479,0.229,0.564,0.488,0.418,0.527,0.458,0.528,0.394,0.429,0.533,0.446,0.298,0.417,0.46,0.364,0.391,0.271,0.41,0.652,0.361,0.599,0.435,0.434,0.505,0.318,0.334,0.621,0.292,0.485,0.535,0.607,0.295,0.559,0.247,0.328,0.51,0.567,0.51,0.332,0.646,0.39,0.638,0.684,0.407,0.326,0.406,0.232,0.237,0.155,0.218
40,0.894,0.4011855,0.2763816,1.005,0.925,0.962,0.916,0.095,0.772,0.401,0.0,0.772,0.4,204,201,19|80|102|8|196|25|33|63|103|195|32|4|180|172|193|11|56|57|151|15|184|174|39|9|72|95|71|99|51|155,0.772|0.75|0.709|0.694|0.691|0.682|0.679|0.657|0.656|0.654|0.649|0.643|0.631|0.625|0.624|0.624|0.623|0.615|0.599|0.597|0.597|0.596|0.594|0.587|0.582|0.58|0.579|0.572|0.57|0.569,0.32,0.172,0.198,0.283,0.643,0.329,0.401,0.349,0.694,0.587,0.248,0.624,0.266,0.519,0.454,0.597,0.483,0.365,0.314,0.772,0.35,0.308,0.356,0.397,0.186,0.682,0.236,0.435,0.246,0.466,0.323,0.202,0.649,0.679,0.326,0.347,0.509,0.431,0.543,0.594,0.274,0.552,0.557,0.259,0.293,0.372,0.294,0.361,0.28,0.292,0.455,0.57,0.363,0.53,0.443,0.406,0.623,0.615,0.335,0.53,0.331,0.539,0.406,0.657,0.422,0.305,0.295,0.436,0.457,0.404,0.554,0.579,0.582,0.398,0.287,0.433,0.35,0.35,0.549,0.502,0.75,0.342,0.409,0.489,0.459,0.479,0.329,0.342,0.274,0.4,0.536,0.36,0.506,0.498,0.418,0.58,0.307,0.195,0.35,0.572,0.5,0.309,0.709,0.656,0.543,0.485,0.0,0.0,0.124,0.17,0.222,0.294,0.373,0.238,0.437,0.268,0.278,0.413,0.449,0.341,0.378,0.521,0.491,0.537,0.378,0.253,0.263,0.508,0.354,0.458,0.387,0.282,0.2,0.375,0.402,0.255,0.336,0.195,0.412,0.404,0.326,0.277,0.229,0.317,0.27,0.248,0.166,0.117,0.23,0.304,0.49,0.599,0.344,0.405,0.182,0.569,0.492,0.37,0.546,0.458,0.495,0.39,0.426,0.547,0.41,0.274,0.411,0.438,0.34,0.375,0.266,0.387,0.625,0.339,0.596,0.417,0.367,0.49,0.267,0.285,0.631,0.274,0.429,0.509,0.597,0.289,0.528,0.202,0.283,0.484,0.555,0.506,0.339,0.624,0.371,0.654,0.691,0.372,0.318,0.348,0.182,0.207,0.0,0.166
50,0.827,0.38401,0.2709089,0.931,0.928,0.964,0.919,0.061,0.792,0.384,0.0,0.792,0.382,204,199,19|80|8|102|196|33|63|32|25|195|11|103|151|180|4|174|184|56|95|9|57|51|15|172|193|39|72|42|163|155,0.792|0.757|0.713|0.711|0.692|0.679|0.668|0.667|0.663|0.663|0.653|0.637|0.624|0.613|0.602|0.602|0.599|0.596|0.595|0.593|0.592|0.591|0.59|0.59|0.582|0.567|0.565|0.555|0.553|0.552,0.258,0.149,0.174,0.29,0.602,0.321,0.389,0.338,0.713,0.593,0.24,0.653,0.234,0.535,0.454,0.59,0.499,0.383,0.306,0.792,0.352,0.275,0.306,0.376,0.158,0.663,0.244,0.413,0.243,0.434,0.302,0.176,0.667,0.679,0.297,0.342,0.534,0.375,0.426,0.567,0.266,0.524,0.555,0.251,0.278,0.35,0.286,0.331,0.237,0.27,0.446,0.591,0.329,0.545,0.409,0.386,0.596,0.592,0.323,0.521,0.32,0.535,0.416,0.668,0.4,0.298,0.284,0.436,0.431,0.355,0.536,0.549,0.565,0.364,0.291,0.403,0.328,0.321,0.538,0.491,0.757,0.336,0.41,0.447,0.451,0.433,0.309,0.334,0.261,0.384,0.53,0.358,0.514,0.501,0.379,0.595,0.273,0.179,0.32,0.537,0.492,0.287,0.711,0.637,0.512,0.46,0.0,0.0,0.0,0.154,0.204,0.287,0.39,0.229,0.424,0.252,0.24,0.422,0.444,0.308,0.339,0.466,0.49,0.532,0.359,0.251,0.242,0.467,0.348,0.454,0.355,0.267,0.172,0.337,0.351,0.227,0.314,0.178,0.392,0.369,0.313,0.224,0.208,0.287,0.254,0.223,0.116,0.0,0.2,0.27,0.486,0.624,0.36,0.361,0.157,0.552,0.502,0.315,0.551,0.483,0.48,0.373,0.382,0.553,0.38,0.224,0.4,0.452,0.328,0.355,0.26,0.347,0.59,0.335,0.602,0.418,0.348,0.472,0.227,0.259,0.613,0.262,0.383,0.487,0.599,0.293,0.508,0.168,0.226,0.472,0.54,0.495,0.359,0.582,0.347,0.663,0.692,0.328,0.304,0.3,0.155,0.173,0.0,0.143
60,0.697,0.3684158,0.2655445,0.794,0.928,0.963,0.919,0.038,0.803,0.368,0.0,0.803,0.367,204,198,19|80|8|102|196|195|63|33|32|11|103|151|25|180|51|9|95|36|4|15|184|174|193|57|53|56|70|163|155|172,0.803|0.768|0.735|0.725|0.704|0.689|0.685|0.683|0.678|0.678|0.642|0.628|0.626|0.611|0.605|0.601|0.591|0.591|0.586|0.582|0.579|0.578|0.575|0.574|0.568|0.556|0.548|0.547|0.547|0.544,0.203,0.127,0.145,0.306,0.586,0.285,0.346,0.337,0.735,0.601,0.216,0.678,0.222,0.526,0.463,0.582,0.509,0.38,0.283,0.803,0.364,0.251,0.277,0.348,0.123,0.626,0.207,0.405,0.238,0.422,0.288,0.157,0.678,0.683,0.259,0.323,0.591,0.36,0.333,0.534,0.249,0.501,0.539,0.235,0.241,0.338,0.273,0.305,0.205,0.231,0.453,0.605,0.276,0.568,0.362,0.389,0.556,0.574,0.311,0.512,0.303,0.54,0.434,0.685,0.406,0.276,0.276,0.415,0.416,0.315,0.548,0.493,0.537,0.316,0.278,0.383,0.316,0.291,0.52,0.484,0.768,0.315,0.413,0.435,0.431,0.393,0.289,0.334,0.247,0.368,0.515,0.343,0.521,0.507,0.371,0.591,0.248,0.158,0.289,0.538,0.47,0.265,0.725,0.642,0.507,0.458,0.0,0.0,0.0,0.15,0.201,0.294,0.423,0.223,0.442,0.24,0.171,0.382,0.399,0.287,0.308,0.451,0.462,0.512,0.296,0.221,0.231,0.459,0.351,0.432,0.326,0.229,0.143,0.296,0.3,0.204,0.29,0.152,0.399,0.342,0.278,0.197,0.19,0.247,0.225,0.195,0.0,0.0,0.17,0.249,0.53,0.628,0.342,0.306,0.135,0.547,0.49,0.293,0.526,0.507,0.465,0.376,0.363,0.547,0.381,0.202,0.38,0.443,0.293,0.319,0.249,0.321,0.544,0.332,0.578,0.392,0.371,0.477,0.203,0.249,0.611,0.261,0.334,0.482,0.579,0.284,0.479,0.137,0.186,0.472,0.513,0.507,0.359,0.575,0.34,0.689,0.704,0.32,0.294,0.277,0.14,0.134,0.0,0.129
70,0.75,0.3516549,0.2602864,0.841,0.93,0.965,0.922,0.023,0.805,0.352,0.0,0.805,0.35,204,196,19|80|102|8|195|196|32|33|63|11|36|151|103|180|95|51|184|53|57|163|42|25|174|4|99|9|193|150|15|70,0.805|0.78|0.747|0.709|0.706|0.701|0.686|0.684|0.683|0.678|0.672|0.657|0.642|0.619|0.608|0.587|0.586|0.58|0.576|0.575|0.572|0.572|0.568|0.566|0.563|0.562|0.561|0.551|0.545|0.543,0.147,0.107,0.12,0.293,0.566,0.25,0.314,0.313,0.709,0.562,0.184,0.678,0.193,0.502,0.456,0.545,0.494,0.347,0.261,0.805,0.369,0.223,0.241,0.303,0.0,0.572,0.186,0.393,0.219,0.409,0.263,0.137,0.686,0.684,0.225,0.28,0.672,0.341,0.27,0.522,0.231,0.479,0.572,0.236,0.235,0.327,0.269,0.292,0.179,0.187,0.44,0.587,0.247,0.58,0.351,0.363,0.488,0.576,0.304,0.505,0.275,0.531,0.433,0.683,0.39,0.243,0.276,0.392,0.389,0.282,0.543,0.487,0.536,0.282,0.262,0.38,0.286,0.267,0.474,0.47,0.78,0.285,0.409,0.413,0.408,0.353,0.269,0.312,0.219,0.338,0.497,0.313,0.514,0.518,0.364,0.608,0.225,0.14,0.276,0.563,0.45,0.25,0.747,0.642,0.461,0.445,0.0,0.0,0.0,0.138,0.2,0.301,0.447,0.229,0.455,0.224,0.14,0.394,0.384,0.274,0.288,0.412,0.451,0.48,0.242,0.215,0.204,0.447,0.344,0.398,0.275,0.194,0.119,0.26,0.267,0.183,0.264,0.126,0.38,0.323,0.257,0.164,0.172,0.204,0.178,0.175,0.0,0.0,0.144,0.221,0.551,0.657,0.339,0.27,0.116,0.538,0.486,0.252,0.516,0.517,0.477,0.343,0.349,0.575,0.359,0.158,0.365,0.414,0.257,0.313,0.231,0.31,0.507,0.307,0.568,0.387,0.35,0.489,0.171,0.235,0.619,0.245,0.285,0.45,0.586,0.271,0.448,0.124,0.14,0.474,0.518,0.505,0.372,0.561,0.329,0.706,0.701,0.305,0.28,0.248,0.122,0.0,0.0,0.113
80,0.626,0.3435475,0.2551324,0.714,0.931,0.965,0.923,0.018,0.808,0.344,0.0,0.808,0.342,204,195,19|80|102|11|195|8|196|151|63|32|33|36|184|9|103|95|15|25|180|70|42|53|159|51|150|41|163|92|16|174,0.808|0.769|0.719|0.709|0.706|0.706|0.704|0.683|0.681|0.676|0.673|0.668|0.65|0.642|0.635|0.608|0.598|0.587|0.586|0.583|0.581|0.571|0.561|0.556|0.554|0.55|0.549|0.541|0.535|0.535,0.122,0.0,0.108,0.286,0.518,0.226,0.305,0.301,0.706,0.642,0.193,0.709,0.185,0.497,0.442,0.598,0.535,0.342,0.256,0.808,0.336,0.177,0.193,0.273,0.0,0.587,0.143,0.376,0.213,0.38,0.234,0.135,0.676,0.673,0.21,0.234,0.668,0.402,0.282,0.465,0.243,0.55,0.581,0.217,0.215,0.278,0.237,0.278,0.17,0.183,0.437,0.556,0.226,0.571,0.322,0.402,0.466,0.532,0.265,0.435,0.296,0.529,0.445,0.681,0.417,0.268,0.247,0.31,0.368,0.232,0.583,0.475,0.472,0.291,0.263,0.37,0.298,0.233,0.474,0.421,0.769,0.31,0.44,0.419,0.368,0.366,0.213,0.301,0.185,0.344,0.523,0.288,0.541,0.455,0.353,0.608,0.167,0.118,0.248,0.516,0.468,0.251,0.719,0.635,0.475,0.428,0.0,0.0,0.0,0.13,0.207,0.309,0.462,0.236,0.42,0.244,0.116,0.398,0.35,0.292,0.254,0.38,0.463,0.484,0.2,0.218,0.17,0.423,0.343,0.405,0.257,0.208,0.108,0.249,0.236,0.17,0.229,0.123,0.402,0.275,0.266,0.149,0.149,0.156,0.175,0.18,0.0,0.0,0.132,0.214,0.554,0.683,0.357,0.253,0.106,0.52,0.522,0.213,0.502,0.561,0.463,0.306,0.321,0.549,0.424,0.133,0.394,0.409,0.258,0.331,0.247,0.34,0.506,0.299,0.535,0.415,0.425,0.522,0.14,0.212,0.586,0.246,0.255,0.423,0.65,0.247,0.42,0.115,0.11,0.452,0.527,0.497,0.378,0.518,0.28,0.706,0.704,0.322,0.268,0.281,0.122,0.0,0.0,0.108
90,0.545,0.329021,0.2500804,0.628,0.932,0.966,0.925,0.012,0.818,0.329,0.0,0.818,0.323,204,186,19|80|11|102|36|195|196|8|151|63|32|33|184|9|103|95|15|42|180|53|70|25|92|16|159|150|41|90|57|177,0.818|0.773|0.723|0.721|0.712|0.71|0.7|0.697|0.692|0.688|0.675|0.668|0.666|0.648|0.639|0.612|0.603|0.602|0.595|0.571|0.569|0.563|0.559|0.558|0.553|0.552|0.537|0.537|0.531|0.528,0.0,0.0,0.0,0.267,0.485,0.203,0.277,0.268,0.697,0.648,0.164,0.723,0.162,0.478,0.431,0.603,0.558,0.348,0.242,0.818,0.315,0.14,0.158,0.237,0.0,0.563,0.126,0.362,0.199,0.358,0.218,0.103,0.675,0.668,0.19,0.221,0.712,0.443,0.235,0.463,0.244,0.537,0.602,0.188,0.196,0.262,0.199,0.255,0.132,0.165,0.424,0.525,0.206,0.571,0.314,0.374,0.43,0.531,0.239,0.435,0.289,0.512,0.445,0.688,0.386,0.254,0.236,0.275,0.343,0.2,0.569,0.463,0.457,0.234,0.24,0.353,0.264,0.216,0.45,0.409,0.773,0.297,0.435,0.42,0.353,0.345,0.185,0.279,0.156,0.313,0.537,0.262,0.559,0.46,0.341,0.612,0.147,0.0,0.225,0.486,0.475,0.249,0.721,0.639,0.479,0.41,0.0,0.0,0.0,0.114,0.204,0.3,0.481,0.227,0.416,0.214,0.11,0.377,0.315,0.286,0.225,0.352,0.455,0.497,0.158,0.195,0.152,0.382,0.31,0.393,0.218,0.197,0.0,0.225,0.212,0.15,0.208,0.107,0.381,0.249,0.233,0.127,0.126,0.125,0.148,0.161,0.0,0.0,0.119,0.2,0.552,0.692,0.374,0.229,0.0,0.516,0.496,0.199,0.497,0.553,0.451,0.291,0.302,0.52,0.401,0.116,0.396,0.413,0.216,0.316,0.232,0.318,0.5,0.285,0.522,0.412,0.441,0.528,0.133,0.18,0.595,0.24,0.211,0.425,0.666,0.222,0.422,0.0,0.0,0.429,0.496,0.486,0.358,0.526,0.27,0.71,0.7,0.283,0.248,0.241,0.0,0.0,0.0,0.0
