dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v1,416.929,0.785,0.752,0.752,3|6|7|8|19|34|35|36|42|57|64|65|69|77|78|80|91|94|97|98|99|100|111|123|128|147|148|160|175|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|8.179493306670338e-06|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.09574674814939499|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.5125525593757629|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.4205959439277649|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.13023953139781952|0.8727737665176392
indian_pines,29,v1,0.0,0.782,0.751,0.751,3|6|7|8|19|34|35|36|42|57|64|65|69|77|78|80|91|94|97|98|99|100|111|128|147|148|160|175|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|8.179493306670338e-06|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.09574674814939499|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.5125525593757629|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.13023953139781952|0.8727737665176392
indian_pines,28,v1,0.0,0.777,0.748,0.748,3|6|7|8|19|34|35|36|42|57|64|65|69|77|78|80|91|94|97|98|99|100|111|128|147|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|8.179493306670338e-06|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.09574674814939499|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.5125525593757629|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,27,v1,0.0,0.776,0.749,0.749,3|6|7|8|19|34|35|36|42|57|64|65|69|77|78|80|94|97|98|99|100|111|128|147|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|8.179493306670338e-06|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.09574674814939499|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,26,v1,0.0,0.774,0.745,0.745,3|6|7|19|34|35|36|42|57|64|65|69|77|78|80|94|97|98|99|100|111|128|147|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.09574674814939499|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,25,v1,0.0,0.773,0.744,0.744,3|6|7|19|34|35|36|42|57|65|69|77|78|80|94|97|98|99|100|111|128|147|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.2773125469684601|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,24,v1,0.0,0.771,0.743,0.743,3|6|7|19|34|35|36|42|57|65|69|77|78|80|94|97|98|99|100|111|128|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.5727629065513611|0.6166375279426575|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,23,v1,0.0,0.768,0.743,0.743,3|6|7|19|34|35|36|42|57|65|69|77|78|80|94|97|98|99|100|128|148|160|176,0.33908703923225403|0.6858637928962708|0.9896284341812134|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,22,v1,0.0,0.772,0.747,0.747,6|7|19|34|35|36|42|57|65|69|77|78|80|94|97|98|99|100|128|148|160|176,0.6858637928962708|0.9896284341812134|0.4072633981704712|0.03798355162143707|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05|0.8727737665176392
indian_pines,21,v1,0.0,0.765,0.741,0.741,6|7|19|35|36|42|57|65|69|77|78|80|94|97|98|99|100|128|148|160|176,0.6858637928962708|0.9896284341812134|0.4072633981704712|0.8213761448860168|0.70148766040802|0.7358061075210571|0.004220634698867798|0.6397783756256104|0.23527075350284576|0.7520685791969299|0.542910635471344|0.7189939022064209|0.793738842010498|0.17155864834785461|0.7292212247848511|0.4533735513687134|0.6427525281906128|0.6166375279426575|0.914604663848877|2.275343649671413e-05|0.8727737665176392
