epoch,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.926,0.4993371,0.00998,2.931,0.686,0.563,0.642,0.429,0.565,0.499,0.429,0.565,0.499,200,200,16|65|5|189|76|132|52|169|4|101|196|97|110|183|89|56|73|102|129|107|109|195|54|152|6|115|191|18|198|7,0.565|0.557|0.553|0.551|0.55|0.547|0.546|0.545|0.544|0.544|0.542|0.54|0.538|0.538|0.538|0.537|0.536|0.535|0.534|0.533|0.532|0.531|0.531|0.531|0.53|0.529|0.529|0.529|0.527|0.527,0.429,0.495,0.475,0.488,0.544,0.553,0.53,0.527,0.485,0.491,0.5,0.454,0.459,0.48,0.517,0.499,0.565,0.485,0.529,0.496,0.477,0.5,0.496,0.508,0.499,0.462,0.471,0.494,0.441,0.524,0.506,0.464,0.517,0.48,0.469,0.504,0.508,0.451,0.481,0.476,0.522,0.52,0.518,0.464,0.522,0.526,0.516,0.511,0.493,0.477,0.479,0.463,0.546,0.454,0.531,0.465,0.537,0.49,0.504,0.477,0.51,0.471,0.494,0.513,0.492,0.557,0.503,0.513,0.525,0.507,0.479,0.466,0.49,0.536,0.52,0.482,0.55,0.518,0.508,0.498,0.515,0.512,0.491,0.509,0.501,0.51,0.466,0.514,0.455,0.538,0.509,0.503,0.444,0.499,0.526,0.52,0.52,0.54,0.497,0.511,0.484,0.544,0.535,0.508,0.526,0.497,0.517,0.533,0.514,0.532,0.538,0.452,0.46,0.486,0.49,0.529,0.503,0.49,0.477,0.472,0.514,0.511,0.507,0.471,0.48,0.505,0.494,0.502,0.488,0.534,0.5,0.5,0.547,0.455,0.515,0.524,0.483,0.443,0.49,0.512,0.521,0.475,0.49,0.456,0.489,0.515,0.478,0.478,0.495,0.498,0.48,0.509,0.531,0.434,0.482,0.52,0.523,0.496,0.489,0.516,0.51,0.487,0.492,0.476,0.479,0.484,0.472,0.523,0.51,0.545,0.5,0.495,0.47,0.509,0.509,0.505,0.493,0.481,0.468,0.522,0.489,0.432,0.517,0.538,0.476,0.489,0.52,0.505,0.478,0.551,0.447,0.529,0.488,0.493,0.526,0.531,0.542,0.471,0.527,0.493
10,0.496,0.3929686,0.0097824,0.5,0.765,0.689,0.733,0.036,0.993,0.393,0.0,0.993,0.375,200,196,36|35|7|6|148|42|27|4|100|5|97|77|147|149|160|101|94|13|125|170|99|123|176|45|10|140|34|111|128|175,0.993|0.989|0.988|0.987|0.987|0.98|0.98|0.975|0.968|0.966|0.965|0.934|0.931|0.929|0.927|0.924|0.924|0.923|0.918|0.912|0.911|0.908|0.906|0.905|0.898|0.897|0.894|0.883|0.881|0.879,0.154,0.289,0.583,0.667,0.975,0.966,0.987,0.988,0.626,0.361,0.898,0.649,0.092,0.923,0.427,0.452,0.02,0.444,0.708,0.833,0.288,0.016,0.44,0.329,0.817,0.369,0.004,0.98,0.247,0.462,0.321,0.273,0.537,0.85,0.894,0.989,0.993,0.518,0.824,0.247,0.349,0.646,0.98,0.533,0.215,0.905,0.259,0.002,0.003,0.014,0.018,0.011,0.233,0.005,0.002,0.012,0.445,0.863,0.002,0.002,0.0,0.002,0.006,0.002,0.299,0.776,0.732,0.219,0.229,0.869,0.523,0.002,0.816,0.489,0.523,0.002,0.44,0.934,0.461,0.0,0.853,0.789,0.004,0.783,0.014,0.003,0.002,0.265,0.003,0.002,0.557,0.276,0.21,0.461,0.924,0.002,0.626,0.965,0.836,0.911,0.968,0.924,0.258,0.0,0.002,0.002,0.053,0.002,0.005,0.037,0.011,0.883,0.228,0.007,0.009,0.002,0.009,0.007,0.052,0.001,0.206,0.005,0.878,0.908,0.005,0.918,0.002,0.366,0.881,0.413,0.06,0.5,0.325,0.003,0.292,0.48,0.25,0.006,0.215,0.002,0.897,0.457,0.326,0.002,0.002,0.002,0.39,0.931,0.987,0.929,0.42,0.033,0.002,0.011,0.014,0.077,0.002,0.512,0.839,0.314,0.927,0.488,0.347,0.5,0.326,0.081,0.005,0.503,0.0,0.716,0.912,0.002,0.312,0.238,0.42,0.879,0.906,0.011,0.347,0.275,0.777,0.836,0.628,0.27,0.368,0.701,0.42,0.091,0.079,0.016,0.005,0.458,0.308,0.004,0.011,0.223,0.379,0.21,0.002,0.002
20,0.399,0.3780666,0.0095887,0.402,0.779,0.698,0.748,0.024,0.996,0.378,0.0,0.996,0.36,200,151,36|148|42|7|35|6|97|27|100|94|4|5|160|77|57|140|69|99|147|125|176|149|123|111|170|175|101|80|45|128,0.996|0.993|0.992|0.991|0.989|0.985|0.979|0.978|0.978|0.97|0.959|0.955|0.949|0.945|0.935|0.934|0.931|0.927|0.926|0.92|0.915|0.913|0.913|0.909|0.907|0.907|0.9|0.895|0.891|0.881,0.155,0.266,0.544,0.541,0.959,0.955,0.985,0.991,0.648,0.455,0.848,0.639,0.003,0.874,0.529,0.353,0.002,0.316,0.57,0.856,0.395,0.003,0.471,0.341,0.74,0.291,0.0,0.978,0.317,0.347,0.259,0.413,0.482,0.718,0.852,0.989,0.996,0.502,0.781,0.083,0.397,0.635,0.992,0.508,0.003,0.891,0.003,0.0,0.0,0.001,0.0,0.003,0.001,0.002,0.0,0.0,0.388,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.859,0.744,0.001,0.214,0.931,0.525,0.0,0.802,0.403,0.468,0.0,0.611,0.945,0.585,0.0,0.895,0.808,0.001,0.852,0.002,0.0,0.0,0.199,0.0,0.0,0.505,0.344,0.258,0.432,0.97,0.0,0.586,0.979,0.852,0.927,0.978,0.9,0.257,0.0,0.0,0.0,0.04,0.0,0.001,0.079,0.0,0.909,0.018,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.241,0.001,0.866,0.913,0.0,0.92,0.0,0.408,0.881,0.384,0.005,0.542,0.271,0.0,0.255,0.388,0.259,0.0,0.233,0.0,0.934,0.51,0.352,0.0,0.0,0.0,0.343,0.926,0.993,0.913,0.42,0.003,0.001,0.001,0.0,0.123,0.0,0.409,0.861,0.363,0.949,0.484,0.092,0.466,0.363,0.026,0.002,0.45,0.0,0.594,0.907,0.0,0.333,0.319,0.44,0.907,0.915,0.0,0.408,0.062,0.768,0.874,0.425,0.345,0.383,0.489,0.485,0.013,0.062,0.0,0.0,0.463,0.267,0.0,0.0,0.09,0.442,0.055,0.0,0.0
30,0.418,0.3746462,0.0093988,0.421,0.774,0.695,0.743,0.023,0.998,0.375,0.0,0.998,0.358,200,142,36|42|148|7|6|97|35|94|100|57|77|160|5|4|99|27|140|125|147|69|123|19|13|111|149|98|176|80|175|181,0.998|0.996|0.994|0.994|0.99|0.988|0.984|0.98|0.974|0.957|0.954|0.954|0.952|0.948|0.944|0.941|0.938|0.938|0.937|0.927|0.924|0.92|0.919|0.918|0.916|0.914|0.913|0.909|0.902|0.9,0.102,0.295,0.642,0.547,0.948,0.952,0.99,0.994,0.732,0.54,0.867,0.595,0.0,0.919,0.583,0.394,0.0,0.326,0.632,0.92,0.425,0.0,0.519,0.448,0.753,0.23,0.0,0.941,0.394,0.334,0.257,0.431,0.463,0.711,0.85,0.984,0.998,0.519,0.801,0.002,0.44,0.63,0.996,0.508,0.001,0.89,0.002,0.0,0.0,0.001,0.0,0.0,0.006,0.001,0.0,0.0,0.434,0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.895,0.741,0.001,0.001,0.927,0.514,0.0,0.668,0.421,0.464,0.0,0.555,0.954,0.65,0.0,0.909,0.837,0.001,0.851,0.0,0.0,0.0,0.248,0.0,0.0,0.481,0.397,0.237,0.453,0.98,0.0,0.62,0.988,0.914,0.944,0.974,0.855,0.261,0.0,0.0,0.0,0.042,0.0,0.001,0.11,0.0,0.918,0.004,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.893,0.924,0.0,0.938,0.0,0.464,0.886,0.399,0.0,0.551,0.276,0.0,0.327,0.342,0.301,0.0,0.041,0.0,0.938,0.546,0.387,0.0,0.0,0.0,0.32,0.937,0.994,0.916,0.421,0.001,0.0,0.0,0.0,0.137,0.0,0.37,0.869,0.413,0.954,0.467,0.025,0.346,0.045,0.003,0.0,0.435,0.0,0.599,0.893,0.0,0.366,0.35,0.456,0.902,0.913,0.001,0.249,0.065,0.675,0.9,0.37,0.403,0.42,0.386,0.508,0.005,0.003,0.0,0.0,0.504,0.065,0.0,0.0,0.038,0.375,0.002,0.0,0.0
40,0.334,0.3643995,0.0092127,0.338,0.77,0.683,0.738,0.012,0.997,0.364,0.0,0.997,0.349,200,143,36|42|148|7|97|6|35|100|94|99|77|57|4|27|160|5|125|123|19|147|80|111|140|98|149|65|176|69|181|128,0.997|0.994|0.993|0.991|0.981|0.98|0.975|0.971|0.971|0.948|0.94|0.938|0.932|0.932|0.931|0.927|0.925|0.917|0.916|0.912|0.909|0.909|0.906|0.902|0.893|0.891|0.889|0.888|0.879|0.874,0.126,0.344,0.588,0.478,0.932,0.927,0.98,0.991,0.696,0.514,0.829,0.516,0.0,0.867,0.588,0.388,0.002,0.306,0.583,0.916,0.426,0.001,0.558,0.506,0.743,0.229,0.0,0.932,0.294,0.347,0.268,0.389,0.466,0.657,0.791,0.975,0.997,0.493,0.786,0.001,0.47,0.64,0.994,0.531,0.001,0.842,0.003,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.413,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.891,0.715,0.0,0.001,0.888,0.506,0.0,0.607,0.46,0.365,0.0,0.529,0.94,0.631,0.0,0.909,0.762,0.001,0.702,0.0,0.0,0.0,0.272,0.0,0.0,0.457,0.51,0.314,0.459,0.971,0.0,0.701,0.981,0.902,0.948,0.971,0.769,0.253,0.001,0.0,0.0,0.034,0.0,0.0,0.064,0.0,0.909,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.87,0.917,0.0,0.925,0.0,0.495,0.874,0.431,0.001,0.558,0.284,0.0,0.301,0.289,0.328,0.0,0.055,0.0,0.906,0.505,0.38,0.0,0.0,0.0,0.39,0.912,0.993,0.893,0.221,0.045,0.003,0.0,0.0,0.148,0.0,0.399,0.837,0.42,0.931,0.444,0.04,0.302,0.04,0.002,0.0,0.381,0.0,0.597,0.854,0.0,0.393,0.358,0.469,0.853,0.889,0.0,0.188,0.062,0.585,0.879,0.361,0.41,0.401,0.37,0.481,0.0,0.002,0.0,0.0,0.523,0.041,0.0,0.0,0.045,0.394,0.003,0.0,0.001
50,0.322,0.3573851,0.0090303,0.325,0.77,0.683,0.738,0.016,0.996,0.357,0.0,0.996,0.341,200,165,36|42|148|7|97|94|6|35|100|99|57|77|160|98|80|4|5|65|176|147|123|19|69|125|111|27|181|149|128|140,0.996|0.993|0.99|0.986|0.982|0.971|0.96|0.958|0.946|0.931|0.928|0.924|0.914|0.909|0.902|0.9|0.898|0.894|0.892|0.891|0.886|0.886|0.878|0.877|0.877|0.87|0.861|0.852|0.838|0.838,0.089,0.321,0.597,0.547,0.9,0.898,0.96,0.986,0.678,0.522,0.795,0.444,0.0,0.816,0.608,0.368,0.009,0.322,0.593,0.886,0.28,0.003,0.555,0.484,0.671,0.229,0.0,0.87,0.259,0.352,0.23,0.387,0.45,0.725,0.774,0.958,0.996,0.505,0.772,0.01,0.495,0.654,0.993,0.549,0.003,0.829,0.002,0.001,0.0,0.004,0.0,0.003,0.002,0.002,0.0,0.0,0.42,0.928,0.001,0.001,0.001,0.002,0.0,0.001,0.514,0.894,0.73,0.001,0.002,0.878,0.496,0.001,0.555,0.47,0.345,0.0,0.51,0.924,0.629,0.0,0.902,0.738,0.001,0.662,0.003,0.0,0.0,0.292,0.0,0.002,0.464,0.553,0.312,0.421,0.971,0.0,0.65,0.982,0.909,0.931,0.946,0.704,0.258,0.003,0.0,0.002,0.041,0.0,0.004,0.078,0.0,0.877,0.002,0.001,0.002,0.003,0.0,0.0,0.0,0.0,0.013,0.001,0.819,0.886,0.0,0.877,0.0,0.516,0.838,0.446,0.002,0.532,0.289,0.0,0.267,0.14,0.338,0.0,0.012,0.0,0.838,0.505,0.366,0.0,0.002,0.002,0.413,0.891,0.99,0.852,0.222,0.165,0.002,0.0,0.0,0.138,0.0,0.445,0.821,0.44,0.914,0.479,0.02,0.054,0.02,0.002,0.0,0.179,0.0,0.583,0.813,0.0,0.454,0.366,0.479,0.82,0.892,0.004,0.178,0.05,0.481,0.861,0.384,0.431,0.44,0.365,0.469,0.0,0.003,0.0,0.0,0.558,0.063,0.002,0.001,0.017,0.392,0.002,0.001,0.003
60,0.369,0.3494751,0.0088515,0.372,0.764,0.682,0.732,0.006,0.998,0.349,0.0,0.998,0.337,200,140,36|42|148|7|97|94|6|35|100|99|77|57|19|98|80|123|160|125|5|4|176|69|65|111|147|13|128|181|122|140,0.998|0.994|0.989|0.987|0.983|0.97|0.965|0.964|0.941|0.931|0.931|0.92|0.919|0.918|0.918|0.902|0.895|0.892|0.89|0.889|0.886|0.885|0.882|0.88|0.867|0.852|0.851|0.847|0.839|0.838,0.094,0.352,0.595,0.581,0.889,0.89,0.965,0.987,0.669,0.579,0.801,0.423,0.0,0.852,0.66,0.446,0.0,0.282,0.594,0.919,0.269,0.004,0.525,0.453,0.656,0.226,0.0,0.815,0.229,0.323,0.238,0.346,0.404,0.72,0.773,0.964,0.998,0.496,0.754,0.002,0.497,0.668,0.994,0.545,0.0,0.794,0.004,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.37,0.92,0.0,0.0,0.0,0.0,0.001,0.0,0.578,0.882,0.718,0.0,0.002,0.885,0.472,0.0,0.473,0.424,0.338,0.0,0.487,0.931,0.648,0.0,0.918,0.69,0.0,0.64,0.0,0.0,0.0,0.301,0.0,0.0,0.461,0.568,0.336,0.47,0.97,0.0,0.626,0.983,0.918,0.931,0.941,0.713,0.242,0.0,0.0,0.0,0.037,0.0,0.0,0.07,0.0,0.88,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.839,0.902,0.0,0.892,0.0,0.491,0.851,0.408,0.0,0.562,0.302,0.0,0.335,0.009,0.356,0.0,0.005,0.0,0.838,0.522,0.38,0.0,0.0,0.0,0.208,0.867,0.989,0.835,0.188,0.16,0.001,0.0,0.0,0.121,0.0,0.453,0.82,0.409,0.895,0.437,0.023,0.007,0.028,0.001,0.0,0.085,0.0,0.564,0.795,0.0,0.44,0.404,0.471,0.806,0.886,0.002,0.159,0.056,0.45,0.847,0.389,0.443,0.462,0.397,0.435,0.0,0.013,0.0,0.0,0.541,0.044,0.001,0.0,0.031,0.448,0.0,0.0,0.0
70,0.268,0.3452478,0.0086762,0.271,0.764,0.678,0.732,0.007,0.997,0.345,0.0,0.997,0.333,200,142,36|42|148|97|7|94|35|6|100|77|57|98|99|19|69|80|160|123|125|65|176|111|4|147|5|149|128|158|181|122,0.997|0.99|0.985|0.982|0.979|0.965|0.959|0.934|0.929|0.929|0.928|0.927|0.918|0.899|0.888|0.886|0.882|0.879|0.872|0.87|0.864|0.863|0.855|0.852|0.847|0.832|0.821|0.804|0.802|0.797,0.109,0.39,0.592,0.558,0.855,0.847,0.934,0.979,0.688,0.564,0.764,0.432,0.0,0.763,0.637,0.392,0.002,0.287,0.604,0.899,0.301,0.008,0.52,0.466,0.611,0.235,0.0,0.781,0.232,0.331,0.258,0.343,0.441,0.708,0.757,0.959,0.997,0.47,0.731,0.001,0.48,0.641,0.99,0.506,0.0,0.77,0.006,0.0,0.0,0.001,0.0,0.003,0.002,0.002,0.0,0.0,0.399,0.928,0.0,0.0,0.0,0.0,0.002,0.0,0.573,0.87,0.704,0.0,0.0,0.888,0.45,0.0,0.445,0.433,0.331,0.0,0.471,0.929,0.616,0.0,0.886,0.635,0.0,0.589,0.001,0.0,0.0,0.301,0.0,0.0,0.432,0.578,0.334,0.475,0.965,0.0,0.647,0.982,0.927,0.918,0.929,0.665,0.284,0.001,0.0,0.0,0.054,0.0,0.0,0.084,0.0,0.863,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.797,0.879,0.0,0.872,0.0,0.531,0.821,0.409,0.0,0.555,0.302,0.0,0.323,0.011,0.355,0.0,0.001,0.0,0.796,0.499,0.371,0.0,0.0,0.0,0.242,0.852,0.985,0.832,0.199,0.176,0.003,0.0,0.0,0.145,0.0,0.453,0.804,0.431,0.882,0.453,0.026,0.003,0.025,0.0,0.0,0.069,0.0,0.527,0.762,0.0,0.469,0.392,0.482,0.766,0.864,0.002,0.197,0.06,0.416,0.802,0.401,0.446,0.465,0.398,0.479,0.0,0.006,0.0,0.0,0.531,0.078,0.0,0.0,0.034,0.437,0.0,0.0,0.001
80,0.257,0.3525037,0.0085044,0.26,0.763,0.678,0.73,0.004,0.996,0.353,0.0,0.996,0.341,200,193,36|42|148|97|7|94|35|98|100|6|57|77|99|19|80|160|69|123|125|4|111|176|5|147|65|149|128|140|181|122,0.996|0.986|0.981|0.978|0.974|0.955|0.951|0.927|0.926|0.924|0.921|0.915|0.91|0.892|0.878|0.875|0.868|0.862|0.86|0.857|0.855|0.855|0.846|0.843|0.837|0.824|0.818|0.801|0.785|0.78,0.142,0.447,0.673,0.608,0.857,0.846,0.924,0.974,0.707,0.614,0.768,0.454,0.001,0.755,0.672,0.464,0.002,0.351,0.659,0.892,0.358,0.029,0.564,0.526,0.62,0.28,0.001,0.777,0.269,0.391,0.257,0.418,0.441,0.663,0.704,0.951,0.996,0.469,0.676,0.002,0.478,0.598,0.986,0.468,0.002,0.718,0.013,0.001,0.001,0.002,0.001,0.004,0.011,0.002,0.001,0.001,0.369,0.921,0.002,0.001,0.001,0.001,0.006,0.001,0.578,0.837,0.658,0.001,0.002,0.868,0.435,0.002,0.399,0.437,0.337,0.001,0.476,0.915,0.611,0.001,0.878,0.612,0.001,0.606,0.002,0.001,0.001,0.31,0.001,0.002,0.467,0.57,0.333,0.443,0.955,0.001,0.591,0.978,0.927,0.91,0.926,0.646,0.309,0.002,0.001,0.002,0.059,0.001,0.002,0.106,0.0,0.855,0.006,0.001,0.004,0.003,0.0,0.0,0.001,0.001,0.001,0.001,0.78,0.862,0.001,0.86,0.001,0.559,0.818,0.438,0.001,0.599,0.347,0.001,0.373,0.012,0.404,0.001,0.014,0.001,0.801,0.558,0.422,0.001,0.001,0.001,0.244,0.843,0.981,0.824,0.206,0.197,0.005,0.001,0.0,0.177,0.001,0.508,0.78,0.483,0.875,0.498,0.007,0.026,0.04,0.001,0.0,0.099,0.001,0.52,0.732,0.001,0.491,0.443,0.525,0.753,0.855,0.004,0.225,0.077,0.438,0.785,0.434,0.51,0.527,0.448,0.533,0.001,0.017,0.001,0.0,0.589,0.104,0.001,0.0,0.069,0.502,0.001,0.001,0.002
90,0.274,0.3438457,0.008336,0.277,0.765,0.68,0.733,0.002,0.996,0.344,0.0,0.996,0.334,200,134,36|42|148|97|7|94|35|98|57|77|100|99|6|19|80|69|160|123|4|125|65|176|111|147|5|149|128|140|158|181,0.996|0.988|0.984|0.983|0.975|0.962|0.954|0.95|0.93|0.928|0.921|0.918|0.914|0.888|0.882|0.872|0.866|0.862|0.855|0.855|0.853|0.852|0.852|0.847|0.842|0.821|0.814|0.796|0.782|0.77,0.127,0.444,0.674,0.623,0.855,0.842,0.914,0.975,0.717,0.603,0.749,0.437,0.0,0.743,0.676,0.451,0.0,0.312,0.664,0.888,0.319,0.025,0.536,0.462,0.552,0.239,0.0,0.735,0.229,0.371,0.213,0.397,0.435,0.679,0.742,0.954,0.996,0.453,0.695,0.001,0.475,0.627,0.988,0.466,0.0,0.711,0.002,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.375,0.93,0.0,0.0,0.0,0.0,0.001,0.0,0.567,0.853,0.632,0.0,0.0,0.872,0.414,0.0,0.347,0.388,0.344,0.0,0.467,0.928,0.625,0.0,0.882,0.593,0.0,0.528,0.0,0.0,0.0,0.306,0.0,0.0,0.438,0.585,0.338,0.428,0.962,0.0,0.594,0.983,0.95,0.918,0.921,0.631,0.288,0.002,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.852,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.862,0.0,0.855,0.0,0.545,0.814,0.426,0.0,0.605,0.314,0.0,0.339,0.0,0.375,0.0,0.003,0.0,0.796,0.557,0.402,0.0,0.0,0.0,0.212,0.847,0.984,0.821,0.158,0.204,0.002,0.0,0.0,0.133,0.0,0.518,0.782,0.478,0.866,0.486,0.0,0.002,0.034,0.0,0.0,0.08,0.0,0.493,0.707,0.0,0.482,0.444,0.514,0.763,0.852,0.002,0.226,0.027,0.449,0.77,0.441,0.509,0.537,0.444,0.529,0.0,0.008,0.0,0.0,0.587,0.093,0.0,0.0,0.042,0.506,0.0,0.0,0.001
