epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.752,0.0003241,0.0001,0,0,2.752,0.047,0.062,0.0,0.047,0.062,0.0,0.774,0.779,0.742,-0.358,0.333,0.0,-0.358,0.333,0.0,200,96,181|0|153|16|137|65|190|28|76|5|132|189|52|101|53|92|143|133|37|97|11|102|183|73|4|109|169|194|196|43,-0.358|-0.351|-0.349|0.333|-0.307|0.288|-0.284|-0.27|0.269|0.266|0.266|0.249|0.245|0.241|-0.241|-0.24|-0.237|-0.234|-0.233|0.232|-0.227|0.212|0.209|0.205|0.204|0.198|0.194|0.192|0.188|-0.187,-0.351,0.0,-0.108,0.0,0.204,0.266,0.155,0.127,0.0,0.0,0.0,-0.227,-0.185,0.0,0.0,0.0,0.333,-0.102,0.151,0.0,0.0,0.0,0.0,0.0,0.0,-0.179,-0.147,0.0,-0.27,0.117,0.0,-0.156,0.0,0.0,-0.14,0.0,0.0,-0.233,-0.139,-0.118,0.1,0.0,0.106,-0.187,0.0,0.123,0.0,0.0,0.0,0.0,-0.113,-0.155,0.245,-0.241,0.168,-0.177,0.155,0.0,0.0,-0.108,0.0,-0.123,0.0,0.114,0.0,0.288,0.0,0.0,0.15,0.0,0.0,-0.14,0.0,0.205,0.135,-0.122,0.269,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.176,0.108,-0.154,0.18,0.0,0.0,-0.24,0.0,0.134,0.104,0.0,0.232,0.0,0.0,0.0,0.241,0.212,0.0,0.112,0.0,0.0,0.17,0.0,0.198,0.18,-0.177,-0.18,0.0,0.0,0.117,0.0,0.0,-0.107,-0.127,0.0,0.0,0.0,-0.113,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.266,-0.234,0.0,0.115,0.0,-0.307,0.0,0.0,0.0,-0.122,-0.101,-0.237,0.0,0.0,-0.117,0.0,0.0,0.0,0.0,0.0,0.145,-0.349,-0.143,0.101,0.101,0.0,0.0,0.151,0.0,0.0,0.0,-0.113,-0.144,0.0,-0.118,0.107,0.0,0.194,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,-0.159,0.0,0.0,-0.358,0.101,0.209,-0.106,0.0,0.0,0.0,0.0,0.249,-0.284,0.127,0.0,0.0,0.192,0.15,0.188,-0.135,0.127,0.0
10,0.829,-1.6515847,0.0001,0,0,0.829,0.698,0.648,0.644,0.687,0.531,0.63,0.804,0.78,0.776,-73.705,46.449,-1.652,-73.705,46.449,-1.651,200,190,6|19|28|24|33|56|5|180|25|38|34|7|2|148|54|3|8|189|182|178|39|196|74|23|26|197|4|60|129|127,-73.705|-62.066|-56.246|-49.163|-46.856|46.449|45.555|-44.962|-43.763|-43.36|42.286|-42.247|42.198|39.506|38.867|38.457|-37.915|37.822|37.585|-37.402|-36.996|36.447|36.181|-36.079|-35.895|35.032|34.999|-34.281|33.231|-32.809,-31.525,28.184,42.198,38.457,34.999,45.555,-73.705,-42.247,-37.915,-23.34,15.972,-3.036,-16.628,1.553,-1.228,-0.317,-13.058,1.659,-9.117,-62.066,19.45,21.745,-12.87,-36.079,-49.163,-43.763,-35.895,-17.895,-56.246,23.086,-4.513,9.229,19.494,-46.856,42.286,4.709,12.117,-31.131,-43.36,-36.996,2.547,28.621,-5.921,-26.367,-6.496,17.371,0.229,12.919,-8.877,-0.798,-10.465,-18.704,19.927,-0.1,38.867,-3.857,46.449,18.532,0.0,-11.688,-34.281,-30.723,2.39,0.971,-0.347,0.0,13.908,-14.496,3.111,-2.928,-18.939,0.0,-1.11,22.307,36.181,-26.182,-10.441,-0.534,0.865,17.019,1.371,0.175,0.0,0.226,-15.01,9.756,-32.426,24.805,-31.284,19.55,-14.421,-0.229,-0.795,14.592,-0.546,11.424,27.149,-0.588,-10.388,27.396,-19.289,0.0,7.08,0.0,2.167,1.027,0.0,15.966,-6.487,-6.024,2.096,7.194,2.958,-1.236,7.498,-4.824,5.177,5.19,22.969,-0.521,-21.186,0.218,-0.303,0.0,-6.397,-11.77,-9.425,-32.809,27.852,33.231,-13.005,-4.822,11.443,-19.427,0.0,6.646,-11.826,-8.627,-12.963,-16.04,-1.368,-9.909,1.415,-13.924,-8.833,-0.434,-19.88,17.133,39.506,-15.957,-16.288,-10.479,19.729,-17.639,-0.525,1.713,4.75,-5.057,1.793,25.266,-9.658,-20.746,-7.447,-30.912,0.198,-15.37,0.384,13.187,-3.765,10.765,1.577,0.714,-14.681,-4.783,-0.5,-9.059,-5.585,-1.371,-37.402,-11.606,-44.962,16.442,37.585,0.255,-15.667,9.24,1.065,-9.53,-31.619,37.822,21.131,24.616,0.0,-2.432,15.561,24.638,36.447,35.032,5.08,1.019
20,0.706,-2.0231543,0.0001,0,0,0.706,0.746,0.74,0.708,0.713,0.691,0.671,0.828,0.841,0.804,-103.133,65.241,-2.023,-103.133,65.241,-2.025,200,190,6|19|28|5|38|7|34|33|148|24|180|56|25|8|74|4|178|54|182|37|127|26|189|129|3|2|196|99|23|86,-103.133|-74.084|-69.786|65.241|-64.045|-62.379|61.899|-61.364|61.113|-60.685|-60.429|59.951|-57.687|-55.086|54.461|51.969|-51.862|50.075|49.769|-49.241|-49.12|-48.981|48.537|48.482|48.022|46.959|46.294|43.708|-43.009|-40.715,-35.955,37.826,46.959,48.022,51.969,65.241,-103.133,-62.379,-55.086,-28.393,20.167,-2.389,-12.762,-2.921,0.984,0.0,-17.236,2.772,-28.567,-74.084,28.351,31.208,-18.675,-43.009,-60.685,-57.687,-48.981,-30.712,-69.786,36.404,-8.865,21.778,32.954,-61.364,61.899,6.34,19.884,-49.241,-64.045,-39.67,1.578,40.254,-5.66,-35.162,-5.802,24.371,-1.965,13.941,-10.197,0.118,-8.27,-19.885,28.313,-0.812,50.075,-2.408,59.951,30.747,0.149,-21.505,-36.543,-32.16,1.405,-0.935,0.0,0.66,18.345,-21.866,1.809,-3.545,-30.412,-2.981,-3.623,24.048,54.461,-29.966,-18.263,-0.326,0.0,26.738,1.594,0.633,-1.116,-2.932,-22.96,16.338,-40.715,27.03,-36.472,24.412,-18.3,-0.312,0.0,22.291,0.0,21.383,39.091,0.861,-15.643,43.708,-34.934,1.122,13.728,0.0,2.916,0.0,0.594,16.149,-6.736,-5.622,0.504,5.405,0.224,-0.888,5.719,-2.796,5.137,1.493,30.183,-0.842,-28.773,0.0,-2.637,-0.119,-9.776,-17.921,-15.245,-49.12,39.853,48.482,-19.818,-5.515,14.69,-26.258,2.248,5.569,-14.585,-9.08,-17.677,-23.053,0.0,-10.677,0.523,-16.723,-11.062,-0.428,-28.933,29.669,61.113,-30.241,-22.397,-13.948,17.73,-17.793,0.192,-1.416,1.222,-2.061,0.352,32.079,-13.146,-25.331,-6.366,-39.927,-0.65,-12.498,0.196,13.078,-0.731,7.259,1.05,-1.476,-19.829,-4.425,-0.164,-11.543,-2.998,0.0,-51.862,-15.22,-60.429,30.319,49.769,0.529,-24.559,15.365,-0.723,-13.33,-37.578,48.537,25.03,31.641,1.262,-2.009,20.906,30.135,46.294,36.573,12.574,-1.162
30,0.735,-2.1491561,0.0001,0,0,0.735,0.779,0.772,0.746,0.733,0.646,0.692,0.825,0.843,0.8,-125.034,81.321,-2.149,-125.034,81.321,-2.15,200,195,6|19|38|34|5|7|148|28|33|74|56|180|8|24|25|4|37|127|178|129|26|182|54|189|99|3|196|41|128|23,-125.034|-88.528|-81.566|81.321|80.623|-78.253|77.904|-77.718|-76.007|74.219|71.667|-71.366|-70.485|-69.28|-67.263|65.826|-64.194|-62.891|-62.016|59.77|-58.32|58.176|56.345|56.094|54.85|52.355|51.271|50.184|50.109|-49.842,-32.434,42.789,48.983,52.355,65.826,80.623,-125.034,-78.253,-70.485,-34.543,22.829,0.924,-8.01,-0.739,-1.076,1.33,-21.915,9.668,-42.426,-88.528,37.645,39.432,-24.169,-49.842,-69.28,-67.263,-58.32,-42.389,-77.718,48.438,-18.428,31.064,45.353,-76.007,81.321,4.799,25.289,-64.194,-81.566,-45.317,-0.177,50.184,-2.66,-41.294,-4.685,29.794,1.834,13.453,-8.578,1.187,-7.253,-20.119,33.179,-0.681,56.345,-3.427,71.667,41.606,0.296,-28.412,-42.908,-31.953,-1.684,0.9,-0.876,0.622,21.842,-23.252,1.171,-0.706,-39.163,0.659,-4.779,28.142,74.219,-35.123,-25.521,-0.331,-0.441,34.74,1.087,0.988,0.856,2.697,-25.712,20.853,-49.288,27.467,-47.604,32.313,-22.972,2.557,0.0,26.661,-0.166,28.383,46.352,-3.285,-17.69,54.85,-45.962,0.158,18.014,-2.398,4.059,-0.191,0.0,17.975,-7.354,-6.842,1.659,5.136,0.508,-1.747,2.863,-1.383,4.456,0.0,35.608,0.584,-34.79,0.104,0.0,3.001,-12.903,-22.715,-20.685,-62.891,50.109,59.77,-24.759,-4.101,17.784,-33.456,0.135,3.972,-15.319,-7.128,-20.639,-29.196,0.756,-12.572,0.449,-19.648,-9.39,3.443,-36.339,40.329,77.904,-42.559,-26.155,-15.558,16.251,-17.54,-0.647,1.818,1.34,-2.106,2.003,38.292,-14.782,-30.511,-4.223,-47.401,-2.58,-11.322,0.255,12.881,-2.756,3.255,-2.67,0.75,-25.233,-2.54,2.632,-11.941,-1.729,-1.402,-62.016,-16.96,-71.366,40.259,58.176,0.868,-31.182,19.11,0.314,-15.953,-40.84,56.094,27.813,35.612,-0.318,0.0,22.876,32.132,51.271,36.946,18.192,-0.163
40,0.443,-2.2240095,0.0001,0,0,0.443,0.828,0.835,0.802,0.79,0.743,0.757,0.828,0.847,0.803,-131.302,93.83,-2.224,-131.302,93.83,-2.223,200,194,6|34|38|19|5|7|148|74|33|8|28|56|180|37|4|24|127|25|178|129|182|99|26|54|189|41|128|88|86|196,-131.302|93.83|-92.863|-90.332|85.17|-84.925|84.549|83.786|-82.865|-76.777|-76.4|75.0|-74.143|-73.529|71.299|-70.119|-69.122|-68.095|-66.522|64.706|59.623|58.682|-58.316|57.44|57.312|55.82|54.129|-53.313|-52.207|52.004,-34.987,42.841,47.07,50.451,71.299,85.17,-131.302,-84.925,-76.777,-36.601,21.161,-0.497,-2.703,-0.589,0.614,-0.664,-21.71,15.243,-43.134,-90.332,37.478,41.293,-24.9,-47.733,-70.119,-68.095,-58.316,-46.0,-76.4,49.141,-20.114,35.401,48.669,-82.865,93.83,4.337,29.475,-73.529,-92.863,-47.094,0.228,55.82,-2.427,-42.464,-4.146,33.047,-3.04,11.679,-8.33,-0.214,-4.549,-19.547,34.233,1.598,57.44,1.079,75.0,48.629,-3.301,-32.1,-40.787,-30.858,-1.171,0.505,-1.62,0.87,22.518,-23.733,0.612,-1.015,-40.839,0.623,-4.925,32.738,83.786,-36.822,-31.992,-1.219,0.647,39.899,0.653,-0.524,0.941,-0.746,-26.821,22.617,-52.207,25.32,-53.313,36.426,-25.673,-1.667,0.295,28.158,-1.031,31.969,48.341,-0.435,-17.11,58.682,-49.701,-1.96,16.708,1.318,-1.014,0.0,0.992,17.135,-5.374,-4.78,-0.69,3.871,0.0,-1.209,0.199,-0.693,1.962,-0.569,34.886,-1.387,-35.75,0.0,2.109,-1.176,-12.923,-24.445,-22.051,-69.122,54.129,64.706,-27.473,-2.868,17.399,-36.555,-1.659,2.673,-14.111,-5.057,-21.635,-31.232,2.212,-11.256,-1.735,-17.148,-9.99,-2.178,-38.019,46.406,84.549,-48.567,-26.752,-13.762,12.33,-14.926,0.171,0.0,0.754,-0.132,0.0,41.85,-14.328,-33.579,-1.698,-49.77,0.125,-8.738,-2.113,10.979,0.611,-0.225,0.126,-2.403,-27.297,0.0,-0.718,-9.636,0.882,2.36,-66.522,-17.179,-74.143,45.268,59.623,1.363,-35.364,20.732,1.638,-17.375,-38.798,57.312,29.52,35.83,-1.295,-1.14,23.776,30.975,52.004,35.903,18.846,0.422
50,0.476,-2.2006557,0.0001,0,0,0.476,0.809,0.836,0.781,0.786,0.749,0.754,0.834,0.855,0.811,-144.346,109.073,-2.201,-144.346,109.073,-2.2,200,197,6|34|38|19|7|5|148|33|74|8|37|4|56|180|127|28|24|178|129|25|99|182|41|128|88|189|26|54|57|100,-144.346|109.073|-108.934|-96.856|-96.751|94.9|94.237|-93.129|91.743|-87.968|-84.153|81.765|81.545|-80.566|-80.048|-79.195|-75.204|-73.598|73.147|-72.776|65.822|64.08|62.856|61.289|-60.988|60.982|-60.432|59.765|57.866|-57.147,-39.846,44.448,52.361,53.083,81.765,94.9,-144.346,-96.751,-87.968,-41.182,21.465,-1.526,-3.171,2.448,1.348,-0.117,-27.734,18.677,-44.961,-96.856,39.299,43.213,-29.846,-49.905,-75.204,-72.776,-60.432,-52.025,-79.195,53.307,-24.983,40.139,52.397,-93.129,109.073,3.116,34.43,-84.153,-108.934,-45.722,1.463,62.856,-1.375,-45.305,-1.723,36.357,-0.982,8.915,-5.976,-1.061,0.401,-17.942,36.345,-2.33,59.765,2.106,81.545,57.866,0.863,-36.643,-41.555,-31.856,3.387,1.961,-0.756,2.673,22.692,-24.914,-1.452,1.407,-45.144,0.332,-2.641,38.119,91.743,-40.699,-37.794,2.699,-2.108,46.277,-1.281,0.326,1.286,1.831,-30.73,26.615,-54.228,25.59,-60.988,40.249,-29.759,0.533,-1.538,31.645,0.927,37.594,51.542,0.172,-18.334,65.822,-57.147,2.707,19.976,3.18,-0.238,0.481,-0.518,18.759,-4.155,-4.289,2.737,3.77,-0.597,0.0,-0.378,0.0,0.661,0.743,37.235,-1.082,-39.046,-0.627,1.626,2.537,-14.22,-27.844,-26.646,-80.048,61.289,73.147,-31.749,-1.723,19.314,-42.969,-3.125,1.126,-14.26,-5.48,-23.646,-36.316,-2.159,-11.388,0.713,-20.039,-9.081,1.233,-40.463,54.13,94.237,-55.284,-27.315,-14.033,9.952,-12.113,1.59,-1.631,2.344,1.952,-1.159,47.158,-16.275,-38.725,-1.51,-54.587,-1.599,-5.642,-0.391,10.711,0.214,1.746,1.735,-2.172,-31.1,0.0,-1.492,-8.09,-2.334,0.834,-73.598,-18.777,-80.566,52.002,64.08,0.549,-41.732,23.551,-0.143,-20.035,-39.78,60.982,31.255,37.957,-2.538,4.208,25.264,32.901,53.469,37.948,21.957,-1.659
60,0.404,-2.4386685,0.0001,0,0,0.404,0.831,0.835,0.804,0.791,0.684,0.758,0.839,0.856,0.816,-147.825,118.337,-2.439,-147.825,118.337,-2.438,200,196,6|34|38|7|33|148|19|74|5|8|37|4|127|180|56|28|24|129|178|25|99|41|182|128|57|88|189|100|54|149,-147.825|118.337|-117.319|-101.586|-99.759|99.385|-98.772|97.704|97.322|-93.446|-90.881|85.197|-85.106|-81.675|81.113|-79.508|-77.704|76.883|-76.234|-74.872|69.165|65.521|64.49|64.38|64.176|-63.975|61.943|-60.519|60.168|-59.014,-40.851,42.767,51.832,50.293,85.197,97.322,-147.825,-101.586,-93.446,-43.06,19.546,-1.524,0.0,0.502,0.133,-2.653,-29.248,17.406,-50.419,-98.772,39.262,45.329,-32.746,-50.998,-77.704,-74.872,-58.774,-53.85,-79.508,55.275,-29.582,45.439,54.03,-99.759,118.337,2.841,36.953,-90.881,-117.319,-49.097,0.0,65.521,-0.751,-45.038,-2.535,38.68,-0.466,8.367,-3.86,1.344,-0.835,-15.374,35.409,1.041,60.168,0.276,81.113,64.176,-0.854,-39.951,-44.424,-26.673,1.839,1.083,-0.764,-2.46,22.167,-22.852,2.303,-1.488,-44.77,-1.398,1.147,39.129,97.704,-40.0,-42.645,0.168,0.9,50.458,1.362,-1.513,0.254,-1.179,-31.527,25.616,-54.229,27.956,-63.975,40.967,-34.279,0.713,0.233,32.335,-2.265,39.797,52.356,0.197,-17.399,69.165,-60.519,0.626,20.055,3.211,0.983,-2.241,-0.866,19.806,-4.653,-2.377,1.565,2.199,-0.466,0.925,0.724,-0.658,2.169,-0.128,36.633,-2.322,-40.079,2.575,0.381,-1.293,-14.54,-29.198,-28.006,-85.106,64.38,76.883,-33.847,-2.076,19.499,-45.341,0.763,2.178,-13.473,-2.767,-23.6,-38.184,-0.949,-9.678,-0.522,-21.314,-8.79,-1.006,-40.53,58.809,99.385,-59.014,-26.611,-14.085,7.524,-10.871,-1.564,1.433,0.26,0.701,-0.893,50.422,-16.43,-42.1,-0.46,-55.743,0.0,-4.336,-1.704,8.333,-0.682,-1.366,-0.201,0.357,-33.08,-3.474,0.0,-7.261,-1.154,0.172,-76.234,-18.759,-81.675,55.519,64.49,-1.678,-43.853,24.049,-3.347,-21.748,-38.463,61.943,32.603,38.458,1.852,1.03,24.06,32.334,53.61,39.604,20.481,2.273
70,0.493,-2.4152057,0.0001,0,0,0.492,0.817,0.845,0.791,0.798,0.761,0.769,0.838,0.858,0.815,-155.633,130.974,-2.415,-155.633,130.974,-2.415,200,197,6|34|38|7|33|148|5|19|74|8|37|127|4|56|180|129|24|28|178|25|99|41|57|128|88|100|182|149|189|147,-155.633|130.974|-128.248|-109.566|-108.189|106.26|104.942|-103.508|103.48|-102.161|-98.977|-92.991|92.206|84.618|-84.085|83.513|-81.842|-81.387|-80.09|-77.46|74.901|71.65|71.583|69.441|-68.617|-66.636|65.927|-63.726|63.719|63.718,-45.314,43.882,55.034,52.521,92.206,104.942,-155.633,-109.566,-102.161,-47.32,20.237,1.278,-1.859,0.231,-2.535,1.659,-30.914,28.361,-54.067,-103.508,43.043,48.171,-35.358,-52.126,-81.842,-77.46,-61.66,-58.587,-81.387,57.203,-33.263,52.26,55.844,-108.189,130.974,2.375,41.993,-98.977,-128.248,-52.563,2.502,71.65,-0.553,-46.09,-1.814,41.367,0.659,7.075,-3.113,0.0,-1.571,-13.032,36.226,0.76,60.08,-1.083,84.618,71.583,0.45,-45.148,-44.352,-26.012,2.33,-0.595,4.191,1.324,21.101,-23.098,1.594,-1.186,-47.03,-0.694,-1.076,43.458,103.48,-41.099,-48.329,1.057,0.658,54.676,1.002,-0.3,-0.48,0.991,-32.215,27.573,-55.152,31.761,-68.617,41.813,-36.91,1.3,-1.669,34.491,0.815,40.912,53.546,-2.894,-17.596,74.901,-66.636,-0.133,21.57,-1.227,-2.106,1.985,2.334,19.677,-1.846,1.959,1.488,1.064,-0.25,-0.525,0.727,2.028,-3.084,1.365,36.746,0.922,-42.193,-0.171,-2.548,1.391,-15.303,-31.827,-30.787,-92.991,69.441,83.513,-37.02,0.558,20.795,-49.597,-1.719,1.029,-13.602,-2.728,-25.259,-41.978,-0.609,-8.856,-0.151,-22.539,-9.518,-0.511,-40.579,63.718,106.26,-63.726,-26.654,-12.312,5.776,-8.585,-0.532,-0.84,0.703,0.414,0.219,54.988,-17.489,-47.349,0.587,-58.28,-3.39,-3.807,-2.406,5.78,2.045,-0.373,-0.979,-0.146,-35.832,1.328,-1.268,-5.482,0.0,0.0,-80.09,-19.303,-84.085,59.433,65.927,2.433,-48.116,25.898,-0.112,-23.05,-37.808,63.719,34.849,38.946,-0.337,2.102,23.725,32.318,55.871,41.021,23.808,-2.812
80,0.409,-2.3508182,0.0001,0,0,0.408,0.835,0.861,0.812,0.797,0.763,0.769,0.838,0.858,0.815,-150.613,130.328,-2.351,-150.613,130.328,-2.351,200,192,6|34|38|7|33|148|5|8|74|19|37|127|4|129|180|56|28|178|24|99|25|57|41|128|88|100|182|149|147|189,-150.613|130.328|-127.24|-107.563|-106.482|105.043|102.503|-101.608|99.108|-98.597|-96.488|-94.0|90.583|83.387|-81.913|80.364|-79.724|-79.315|-78.654|75.34|-74.994|73.396|69.756|69.686|-67.373|-66.825|64.396|-63.447|63.419|62.024,-43.077,42.396,53.718,50.504,90.583,102.503,-150.613,-107.563,-101.608,-47.958,19.272,-0.239,-0.224,-3.593,3.862,-1.491,-28.389,23.44,-52.206,-98.597,40.374,45.012,-33.338,-47.825,-78.654,-74.994,-58.812,-60.693,-79.724,58.744,-35.932,57.615,55.282,-106.482,130.328,-0.769,39.308,-96.488,-127.24,-52.577,-2.001,69.756,0.258,-41.685,-1.459,39.701,0.0,4.15,-1.488,-3.43,0.185,-9.156,33.005,-0.943,54.985,1.876,80.364,73.396,-1.263,-46.112,-43.557,-22.072,-2.457,1.765,-0.275,-2.68,18.847,-19.218,0.422,0.258,-44.415,0.379,0.0,43.258,99.108,-38.697,-48.121,-1.109,-1.733,54.067,-2.438,1.392,0.105,0.259,-30.197,27.5,-52.252,34.284,-67.373,39.76,-36.864,2.25,-1.747,33.839,4.327,39.451,50.063,-1.922,-16.655,75.34,-66.825,1.769,22.11,2.545,0.0,0.0,-3.824,19.236,-0.176,-1.603,0.533,3.114,-0.178,0.339,2.409,-2.606,2.188,-0.158,33.682,0.963,-41.942,-1.133,2.053,1.922,-15.125,-32.236,-31.041,-94.0,69.686,83.387,-37.126,-0.219,20.199,-49.673,3.416,-1.182,-12.652,-0.299,-24.603,-41.883,-0.272,-8.051,0.107,-21.432,-10.513,-2.833,-39.307,63.419,105.043,-63.447,-24.554,-12.687,4.521,-7.475,3.324,1.971,1.263,0.0,-0.111,56.756,-18.755,-49.682,-1.384,-57.876,2.43,-2.17,1.876,4.984,0.253,0.141,2.37,-0.779,-35.172,0.0,-2.026,-4.283,0.0,-2.403,-79.315,-19.369,-81.913,60.07,64.396,0.105,-49.034,26.018,0.0,-24.359,-34.847,62.024,34.087,37.205,-1.432,1.002,23.551,32.331,54.272,40.959,24.886,-1.988
90,0.404,-2.4284821,0.0001,0,0,0.404,0.864,0.886,0.844,0.826,0.752,0.799,0.838,0.856,0.815,-157.43,139.905,-2.428,-157.43,139.905,-2.43,200,191,6|34|38|7|33|148|8|5|74|37|19|127|4|129|180|178|28|56|24|99|57|25|41|128|100|88|147|31|149|182,-157.43|139.905|-135.607|-114.409|-113.097|111.784|-109.052|108.481|105.621|-102.809|-100.852|-99.589|96.102|88.014|-83.845|-83.25|-82.543|82.332|-82.089|80.195|79.42|-77.377|74.573|73.37|-71.988|-71.729|68.352|68.013|-67.646|66.156,-52.196,43.668,60.047,56.008,96.102,108.481,-157.43,-114.409,-109.052,-50.336,17.519,-2.866,-1.407,5.144,2.054,-2.166,-29.811,24.939,-58.277,-100.852,42.183,47.064,-35.665,-48.233,-82.089,-77.377,-59.96,-63.667,-82.543,59.308,-38.62,68.013,55.654,-113.097,139.905,2.103,41.897,-102.809,-135.607,-55.117,-1.493,74.573,0.0,-41.352,0.707,41.934,0.867,3.676,-1.89,0.0,0.0,-8.433,33.685,1.217,56.473,0.533,82.332,79.42,-5.915,-49.872,-46.936,-20.01,2.583,-0.248,-0.863,-3.186,16.845,-18.996,2.336,0.211,-46.323,-0.148,-0.141,46.669,105.621,-39.909,-51.74,0.0,-1.313,56.74,-2.301,-1.356,-1.687,3.594,-30.717,28.274,-51.798,38.293,-71.729,40.841,-41.992,1.386,-0.114,34.416,-1.598,39.224,51.132,5.389,-16.285,80.195,-71.988,0.278,22.38,-3.093,0.835,3.377,1.481,18.809,-0.876,-1.691,-2.837,0.128,-0.647,0.0,1.936,2.397,-1.183,0.0,32.719,-0.813,-43.37,0.971,-1.919,2.456,-14.539,-33.469,-32.273,-99.589,73.37,88.014,-39.975,0.0,20.609,-51.55,5.195,-0.448,-11.792,-0.659,-24.991,-43.965,-4.653,-6.147,-1.784,-23.924,-11.109,2.262,-39.964,68.352,111.784,-67.646,-24.579,-13.41,2.078,-5.133,1.334,4.53,0.611,-0.421,4.441,61.765,-20.048,-55.384,0.284,-60.113,3.18,-2.34,-0.5,3.752,0.829,-1.614,1.944,-0.249,-37.873,-2.054,0.0,-3.822,0.0,-1.009,-83.25,-20.748,-83.845,64.23,66.156,0.544,-52.292,27.46,1.234,-28.01,-33.734,63.348,35.649,37.956,-3.616,-3.598,24.111,32.475,55.839,43.922,26.611,-0.394
