dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,zhang,209.7,0.816,0.808,0.791,3|4|6|8|10|13|16|18|19|20|29|30|44|46|63|72|116|122|132|134|139|151|153|159|165|167|175|179|189|191||2|5|6|8|10|16|19|23|26|30|41|46|60|61|65|109|120|122|125|127|134|151|159|163|169|170|178|186|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|119|122|125|132|134|139|155|159|160|162|166|169|174|178|187|189||5|6|7|8|10|14|16|18|19|23|24|26|29|30|41|46|54|57|65|122|134|160|162|165|168|172|183|186|189|197||4|5|6|8|10|14|16|19|23|24|26|29|40|44|46|61|63|65|68|109|117|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|46|48|49|54|68|111|113|122|125|134|139|157|159|165|168|174|181|189|197||4|6|7|8|9|10|13|16|19|24|27|29|32|56|63|65|73|111|120|122|125|132|136|140|148|160|169|179|183|189||0|3|6|9|10|16|19|24|26|29|30|46|61|68|120|122|125|132|134|139|145|155|159|162|166|168|169|174|175|181||3|4|6|7|8|10|15|16|19|23|24|26|29|30|59|65|76|104|113|120|122|129|136|155|159|169|174|176|181|186||4|6|7|8|13|16|26|28|29|33|43|46|115|120|122|125|127|134|139|148|159|162|164|167|168|169|174|183|187|189
indian_pines,29,zhang,0.0,0.812,0.802,0.786,3|4|6|8|10|13|16|18|19|20|29|30|44|46|63|72|122|132|134|139|151|153|159|165|167|175|179|189|191||2|5|6|8|10|16|19|23|26|30|41|46|60|61|65|109|120|122|125|127|151|159|163|169|170|178|186|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|119|122|125|132|134|139|155|159|160|162|166|174|178|187|189||5|6|7|8|10|14|16|18|19|23|24|29|30|41|46|54|57|65|122|134|160|162|165|168|172|183|186|189|197||4|5|6|8|10|14|16|19|23|24|26|29|40|44|46|61|63|65|68|109|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|139|157|159|165|168|174|181|189|197||4|6|7|8|9|10|13|16|19|24|27|29|32|56|63|65|73|111|120|122|125|132|136|140|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|125|132|134|139|145|155|159|162|166|168|169|174|175|181||3|4|6|7|8|10|15|16|19|23|24|26|29|30|59|65|76|104|113|120|122|129|155|159|169|174|176|181|186||4|6|7|8|13|16|26|28|29|33|43|46|115|120|122|125|127|134|139|148|159|162|164|167|169|174|183|187|189
indian_pines,28,zhang,0.0,0.813,0.799,0.787,3|4|6|8|10|13|18|19|20|29|30|44|46|63|72|122|132|134|139|151|153|159|165|167|175|179|189|191||2|5|6|8|10|16|19|23|26|30|41|60|61|65|109|120|122|125|127|151|159|163|169|170|178|186|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|122|125|132|134|139|155|159|160|162|166|174|178|187|189||5|6|7|8|10|14|16|18|19|23|24|29|30|41|46|57|65|122|134|160|162|165|168|172|183|186|189|197||4|5|6|8|10|14|16|19|23|24|26|29|44|46|61|63|65|68|109|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|157|159|165|168|174|181|189|197||4|6|7|8|9|10|13|16|19|24|27|29|32|56|63|65|73|111|120|122|125|132|140|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|125|132|134|139|145|159|162|166|168|169|174|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|59|65|76|104|113|120|122|129|155|159|169|174|176|181|186||4|6|7|8|13|16|26|28|29|33|43|46|115|120|122|125|127|134|139|148|159|162|167|169|174|183|187|189
indian_pines,27,zhang,0.0,0.812,0.804,0.786,3|4|6|8|10|13|18|19|20|29|30|44|46|63|72|122|132|134|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|60|61|65|109|120|122|125|127|151|159|163|169|170|178|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|122|125|132|139|155|159|160|162|166|174|178|187|189||5|6|7|8|10|14|16|18|19|23|24|29|30|41|46|57|65|122|134|160|162|165|168|172|183|189|197||4|5|6|8|10|14|16|19|23|24|26|29|44|61|63|65|68|109|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|157|159|168|174|181|189|197||4|6|7|8|9|10|13|16|19|24|29|32|56|63|65|73|111|120|122|125|132|140|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|125|132|134|139|159|162|166|168|169|174|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|59|65|76|104|113|120|122|155|159|169|174|176|181|186||4|6|7|8|13|16|26|28|29|33|43|46|115|120|122|125|127|134|139|148|159|162|167|169|174|187|189
indian_pines,26,zhang,0.0,0.81,0.798,0.783,3|4|6|8|10|13|19|20|29|30|44|46|63|72|122|132|134|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|60|61|65|109|120|122|125|127|159|163|169|170|178|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|122|125|132|139|155|159|160|162|174|178|187|189||5|6|7|8|10|14|16|18|23|24|29|30|41|46|57|65|122|134|160|162|165|168|172|183|189|197||4|5|6|8|10|14|16|19|23|24|26|29|44|61|63|65|68|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|157|159|168|174|189|197||4|6|7|8|9|10|13|16|19|29|32|56|63|65|73|111|120|122|125|132|140|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|132|134|139|159|162|166|168|169|174|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|59|65|76|104|113|120|122|159|169|174|176|181|186||4|6|7|8|13|16|26|28|33|43|46|115|120|122|125|127|134|139|148|159|162|167|169|174|187|189
indian_pines,25,zhang,0.0,0.807,0.792,0.78,3|4|6|8|10|13|19|20|29|30|44|46|63|72|122|132|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|60|61|65|109|120|122|125|127|159|169|170|178|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|122|125|132|155|159|160|162|174|178|187|189||5|6|7|8|10|14|16|18|23|24|29|30|41|46|57|65|122|134|160|162|168|172|183|189|197||4|5|6|8|10|14|16|19|23|24|26|29|61|63|65|68|122|151|159|162|176|183|186|187|189||5|6|8|10|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|157|159|168|189|197||4|6|7|8|9|10|13|16|19|29|32|56|63|73|111|120|122|125|132|140|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|132|134|139|159|162|166|168|169|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|59|65|76|104|113|120|122|159|169|174|181|186||4|6|7|8|13|16|26|28|33|43|46|115|120|122|125|127|134|148|159|162|167|169|174|187|189
indian_pines,24,zhang,0.0,0.804,0.795,0.776,3|4|6|8|13|19|20|29|30|44|46|63|72|122|132|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|61|65|109|120|122|125|127|159|169|170|178|189|193||5|6|7|8|13|16|19|26|29|30|38|41|46|113|122|125|132|155|159|160|162|178|187|189||5|6|7|8|10|14|16|18|23|24|29|30|41|46|57|65|122|134|160|162|168|172|189|197||4|5|6|8|10|14|16|19|23|24|26|29|61|65|68|122|151|159|162|176|183|186|187|189||5|6|8|16|18|19|23|25|28|30|48|49|54|68|111|113|122|125|134|157|159|168|189|197||4|6|7|8|9|10|13|16|19|29|32|56|63|73|111|120|122|125|132|148|160|169|179|189||0|3|6|9|10|16|19|24|26|29|30|46|61|120|122|132|134|139|159|166|168|169|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|65|76|104|113|120|122|159|169|174|181|186||4|6|7|8|13|26|28|33|43|46|115|120|122|125|127|134|148|159|162|167|169|174|187|189
indian_pines,23,zhang,0.0,0.801,0.79,0.773,3|4|6|8|13|19|20|29|30|44|46|72|122|132|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|61|65|109|122|125|127|159|169|170|178|189|193||5|6|7|8|16|19|26|29|30|38|41|46|113|122|125|132|155|159|160|162|178|187|189||5|6|7|8|10|14|16|18|24|29|30|41|46|57|65|122|134|160|162|168|172|189|197||4|5|6|8|10|14|16|19|23|24|26|29|61|65|68|122|151|162|176|183|186|187|189||5|6|8|16|18|19|23|25|28|30|48|54|68|111|113|122|125|134|157|159|168|189|197||4|6|7|8|9|10|13|16|19|29|32|56|73|111|120|122|125|132|148|160|169|179|189||0|3|6|10|16|19|24|26|29|30|46|61|120|122|132|134|139|159|166|168|169|175|181||3|4|6|7|8|10|16|19|23|24|26|29|30|65|76|104|120|122|159|169|174|181|186||4|6|7|8|13|26|28|33|43|46|115|120|122|125|127|134|148|159|162|167|169|174|189
indian_pines,22,zhang,0.0,0.797,0.782,0.768,3|4|6|8|13|19|29|30|44|46|72|122|132|139|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|61|65|109|122|125|127|159|169|170|178|189||5|6|7|8|16|19|26|29|30|38|41|46|122|125|132|155|159|160|162|178|187|189||5|6|7|8|14|16|18|24|29|30|41|46|57|65|122|134|160|162|168|172|189|197||4|5|6|8|10|14|16|19|24|26|29|61|65|68|122|151|162|176|183|186|187|189||5|6|8|16|18|19|23|25|28|30|48|54|68|111|113|122|134|157|159|168|189|197||4|6|7|8|9|10|13|16|19|29|32|56|73|111|120|122|125|132|160|169|179|189||0|3|6|10|16|19|24|26|29|30|61|120|122|132|134|139|159|166|168|169|175|181||3|4|6|7|8|10|16|19|23|24|29|30|65|76|104|120|122|159|169|174|181|186||4|6|7|8|13|26|28|33|43|46|115|120|122|125|127|148|159|162|167|169|174|189
indian_pines,21,zhang,0.0,0.797,0.783,0.768,3|4|6|8|13|19|29|30|44|46|72|122|132|151|153|159|165|167|175|179|189||2|5|6|8|10|16|19|23|26|30|41|61|65|109|122|127|159|169|170|178|189||5|6|7|8|16|19|26|29|30|38|41|46|122|125|155|159|160|162|178|187|189||5|6|7|8|14|16|18|24|29|30|41|46|57|65|134|160|162|168|172|189|197||4|5|6|8|10|14|16|19|24|26|29|65|68|122|151|162|176|183|186|187|189||5|6|8|16|18|19|23|25|28|30|48|54|68|111|122|134|157|159|168|189|197||4|6|7|8|9|10|13|16|19|29|32|56|73|111|122|125|132|160|169|179|189||0|3|6|10|16|19|24|26|29|30|61|120|122|132|134|139|159|166|169|175|181||4|6|7|8|10|16|19|23|24|29|30|65|76|104|120|122|159|169|174|181|186||4|6|7|8|13|28|33|43|46|115|120|122|125|127|148|159|162|167|169|174|189
