epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.754,0.0002835,9.98e-05,0,0,2.754,0.047,0.062,0.0,0.047,0.062,0.0,0.748,0.716,0.712,-0.353,0.329,0.0,-0.353,0.329,-0.0,200,91,181|153|0|16|137|65|190|28|76|5|132|189|52|92|101|143|53|37|133|97|11|102|183|73|4|109|169|196|194|12,-0.353|-0.343|-0.341|0.329|-0.302|0.28|-0.276|-0.271|0.265|0.26|0.256|0.245|0.24|-0.238|0.237|-0.235|-0.235|-0.232|-0.228|0.226|-0.225|0.208|0.203|0.196|0.195|0.192|0.192|0.187|0.185|-0.184,-0.341,0.0,-0.105,0.0,0.195,0.26,0.154,0.128,0.0,0.0,0.0,-0.225,-0.184,0.0,0.0,0.0,0.329,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,-0.176,-0.142,0.0,-0.271,0.113,0.0,-0.154,0.0,0.0,-0.136,0.0,0.0,-0.232,-0.136,-0.118,0.0,0.0,0.106,-0.182,0.0,0.12,0.0,0.0,0.0,0.0,-0.109,-0.157,0.24,-0.235,0.164,-0.176,0.155,0.0,0.0,-0.109,0.0,-0.124,0.0,0.107,0.0,0.28,0.0,0.0,0.145,0.0,0.0,-0.141,0.0,0.196,0.132,-0.113,0.265,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.172,0.107,-0.153,0.177,0.0,0.0,-0.238,0.0,0.132,0.102,0.0,0.226,0.0,0.0,0.0,0.237,0.208,0.0,0.113,0.0,0.0,0.167,0.0,0.192,0.175,-0.177,-0.18,0.0,0.0,0.116,0.0,0.0,-0.109,-0.129,0.0,0.0,0.0,-0.112,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.256,-0.228,0.0,0.113,0.0,-0.302,0.0,0.0,0.0,-0.121,0.0,-0.235,0.0,0.0,-0.114,0.0,0.0,0.0,0.0,0.0,0.148,-0.343,-0.134,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,-0.112,-0.137,0.0,-0.115,0.105,0.0,0.192,0.0,0.0,-0.111,0.0,0.0,0.0,0.0,0.0,-0.159,0.0,0.0,-0.353,0.101,0.203,-0.102,0.0,0.0,0.0,0.0,0.245,-0.276,0.124,0.0,0.0,0.185,0.151,0.187,-0.136,0.126,0.0
10,2.163,-0.188474,9.78e-05,0,0,2.163,0.361,0.124,0.182,0.364,0.125,0.185,0.748,0.747,0.712,-3.102,3.106,-0.188,-3.102,3.106,-0.188,200,180,107|92|37|132|137|54|59|159|56|87|61|68|152|51|153|141|73|129|196|184|52|4|163|102|38|71|50|189|180|191,3.106|-3.102|-3.007|2.958|-2.86|2.809|-2.702|2.694|2.688|2.682|-2.678|2.658|2.652|-2.568|-2.541|-2.535|2.495|2.472|2.46|-2.45|2.448|2.442|-2.429|2.428|-2.368|-2.314|-2.308|2.278|-2.155|2.148,-1.705,0.84,1.782,-1.451,2.442,1.95,-0.605,-0.439,0.0,0.579,0.442,-2.147,0.514,0.555,0.245,-1.196,0.516,-1.543,0.171,0.0,-1.297,-0.351,-1.291,-1.484,-1.968,-1.598,-0.132,0.566,-2.115,1.994,0.0,1.397,-1.007,0.652,0.0,-0.17,-1.148,-3.007,-2.368,-2.037,0.0,0.286,-1.119,-2.073,-1.173,0.102,-0.646,0.224,-1.922,-0.765,-2.308,-2.568,2.448,-1.974,2.809,1.547,2.688,0.253,0.0,-2.702,0.0,-2.678,0.109,-0.651,0.102,-0.649,0.384,-1.938,2.658,-1.673,-1.428,-2.314,-1.62,2.495,0.265,-1.44,-0.84,1.835,-1.059,0.348,-0.276,0.421,-1.715,0.285,-0.444,-1.03,-0.492,2.682,-1.901,0.0,-1.8,-1.228,-3.102,0.357,-0.391,1.941,-1.114,-0.354,-1.509,0.221,-1.557,0.139,2.428,0.0,1.278,-0.789,0.613,3.106,-1.228,1.117,0.0,1.687,0.0,0.0,0.864,-0.283,-0.35,0.789,1.736,0.479,-0.989,0.0,0.0,-0.212,-1.858,-0.994,-0.807,-1.593,1.127,2.472,-1.291,-1.572,2.958,-1.701,0.0,1.946,-1.632,-2.86,-0.266,-0.605,0.429,-2.535,0.889,1.055,-1.277,0.506,-2.005,0.136,0.532,-1.55,0.159,-0.921,2.652,-2.541,0.354,0.358,0.191,-1.143,0.415,2.694,-0.82,-1.492,-1.602,-2.429,0.0,-1.863,1.773,2.142,0.0,1.894,0.996,0.0,-1.79,-0.565,0.405,-1.032,0.247,0.12,-0.889,0.0,-2.155,0.315,1.627,0.182,-2.45,1.093,0.547,-1.428,-1.968,2.278,0.0,2.148,-0.178,0.285,0.153,-0.798,2.46,1.034,2.055,0.354
20,1.763,-0.2165509,9.59e-05,0,0,1.763,0.375,0.137,0.215,0.38,0.141,0.221,0.763,0.739,0.73,-5.951,6.959,-0.217,-5.951,6.959,-0.218,200,192,54|37|52|38|152|107|56|51|153|159|24|163|189|165|67|184|188|59|180|28|196|166|61|71|43|2|191|25|50|127,6.959|-5.951|5.88|-5.834|5.758|5.556|5.514|-5.347|-5.289|5.244|-5.185|-5.124|4.936|-4.936|-4.922|-4.887|-4.854|-4.832|-4.825|-4.805|4.737|4.664|-4.539|-4.483|-4.453|4.311|4.282|-4.253|-4.235|-4.209,-1.198,2.205,4.311,-1.189,3.16,3.068,-2.616,0.0,-0.113,1.174,1.272,-2.251,0.0,0.895,-0.491,-1.223,-0.411,-1.033,-0.223,-1.177,-0.322,0.81,-2.757,-1.797,-5.185,-4.253,0.0,1.153,-4.805,4.014,-0.72,1.878,0.278,-0.498,-0.182,1.524,0.0,-5.951,-5.834,-3.658,-0.699,0.478,-3.096,-4.453,-4.062,1.71,0.676,1.639,-4.058,-3.377,-4.235,-5.347,5.88,-2.085,6.959,1.373,5.514,1.545,0.0,-4.832,-0.559,-4.539,0.171,0.747,1.938,-1.763,2.074,-4.922,3.484,-2.201,-3.672,-4.483,-1.735,3.905,2.599,-2.445,-2.558,1.687,-1.181,1.426,-0.758,2.367,-2.084,0.727,-1.345,-0.413,-1.609,3.646,-1.71,1.607,-2.535,-0.623,-3.76,-0.174,0.712,3.247,-0.938,-1.958,-3.919,1.269,-2.582,-1.035,2.188,-0.136,2.104,0.491,2.567,5.556,-1.511,0.984,2.017,3.286,-0.62,-0.822,3.777,-0.383,0.984,2.739,4.088,1.325,-3.217,0.817,-1.31,0.0,-2.839,-1.975,0.308,-4.209,3.54,2.958,-1.673,-1.944,3.798,-1.708,0.0,2.484,-2.592,-3.344,-2.292,-0.731,-0.383,-3.077,2.759,1.678,-3.056,0.767,-4.036,1.133,2.872,-2.11,-1.432,-2.476,5.758,-5.289,-1.118,2.362,-0.942,-1.957,2.026,5.244,-1.44,-4.055,-3.619,-5.124,0.359,-4.936,4.664,3.657,-0.794,4.173,2.809,0.3,-2.354,-1.395,0.371,-4.037,1.536,0.43,-3.754,-2.109,-4.825,0.0,2.63,2.074,-4.887,1.828,1.581,-2.437,-4.854,4.936,0.335,4.282,-1.444,2.222,1.904,0.178,4.737,3.205,2.426,0.989
30,1.514,-0.2532229,9.4e-05,0,0,1.514,0.48,0.243,0.366,0.492,0.25,0.379,0.761,0.731,0.727,-11.337,13.13,-0.253,-11.337,13.13,-0.254,200,198,54|37|24|152|38|52|175|188|153|51|165|189|56|28|163|67|159|180|166|25|107|184|196|43|2|191|59|71|197|127,13.13|-11.337|-10.187|10.144|-9.987|9.557|-9.202|-9.198|-9.178|-9.137|-9.137|9.122|9.034|-9.023|-8.907|-8.873|8.743|-8.583|8.526|-8.512|8.477|-8.445|8.395|-8.389|8.385|7.714|-7.541|-7.533|7.414|-7.39,-2.903,4.523,8.385,-0.438,4.214,4.65,-6.067,-1.232,-0.208,3.16,2.515,-2.65,-0.959,1.67,-1.006,-0.865,-1.261,0.0,-1.026,-3.783,0.586,3.627,-5.099,-3.901,-10.187,-8.512,-0.339,1.953,-9.023,7.312,-3.226,3.152,2.001,-1.444,0.743,4.064,1.679,-11.337,-9.987,-6.036,-2.352,0.164,-5.516,-8.389,-7.371,4.695,2.348,4.552,-6.743,-6.965,-7.2,-9.137,9.557,-2.093,13.13,2.408,9.034,4.736,0.268,-7.541,-1.816,-6.368,1.022,2.527,5.144,-4.182,4.099,-8.873,4.2,-2.013,-6.931,-7.533,-1.971,6.58,7.155,-4.543,-5.377,1.423,0.412,2.122,-1.82,4.621,-2.53,3.026,-2.899,-2.07,-3.934,3.666,-2.447,4.335,-3.512,-0.953,-4.565,0.676,-0.104,5.031,-1.489,-4.992,-5.569,3.867,-4.999,-2.327,1.571,0.556,2.395,2.484,4.752,8.477,-1.988,1.27,4.636,4.763,0.649,-2.356,7.178,-0.815,2.874,5.662,6.681,2.847,-6.877,2.114,-2.411,0.824,-2.874,-3.275,1.358,-7.39,6.305,3.99,-3.632,-1.502,4.646,-1.763,-0.421,3.323,-3.604,-4.08,-6.102,-1.403,0.0,-3.65,4.759,1.852,-5.136,1.237,-6.479,3.484,6.403,-3.518,-4.003,-4.278,10.144,-9.178,-2.48,4.8,-4.041,-3.502,5.053,8.743,-3.885,-7.279,-6.573,-8.907,1.853,-9.137,8.526,5.546,-0.821,7.276,5.533,2.046,-3.842,-3.172,1.219,-9.202,3.802,1.672,-7.044,-5.962,-8.583,0.132,4.775,4.52,-8.445,3.114,3.233,-3.981,-9.198,9.122,2.763,7.714,-2.719,4.744,4.215,-0.279,8.395,7.414,3.328,1.851
40,1.342,-0.350561,9.21e-05,0,0,1.342,0.513,0.279,0.411,0.529,0.3,0.432,0.733,0.706,0.695,-16.532,19.062,-0.351,-16.532,19.062,-0.35,200,199,54|24|37|175|74|38|152|188|25|165|189|28|2|52|56|51|43|153|163|180|67|184|196|197|159|166|191|107|169|29,19.062|-16.532|-16.438|-15.393|14.647|-14.609|14.543|-14.266|-13.858|-13.797|13.787|-13.782|13.304|13.193|13.132|-13.094|-13.027|-12.996|-12.893|-12.81|-12.71|-12.329|12.263|12.261|12.096|12.036|11.921|11.582|11.484|11.295,-8.488,7.102,13.304,0.42,5.861,6.919,-11.035,-4.468,-3.142,6.609,3.842,-3.513,-1.552,2.975,-3.09,-0.283,-2.467,1.711,-1.574,-8.589,1.426,8.267,-8.001,-7.734,-16.532,-13.858,-2.096,3.643,-13.782,11.295,-6.778,4.583,4.165,-3.033,2.277,7.369,4.118,-16.438,-14.609,-9.251,-3.45,2.345,-7.751,-13.027,-9.541,7.837,3.937,8.806,-10.09,-10.418,-9.849,-13.094,13.193,-2.176,19.062,3.233,13.132,8.832,0.0,-10.198,-4.727,-8.634,0.706,4.465,8.138,-6.139,6.605,-12.71,6.166,-1.998,-10.376,-9.896,-3.186,9.611,14.647,-8.998,-8.467,1.742,1.793,3.806,-2.477,5.951,-3.236,4.998,-5.13,-5.477,-6.714,3.772,-3.891,9.419,-4.865,-0.719,-5.656,2.449,-0.344,7.475,-2.322,-7.497,-7.196,8.395,-7.74,-4.185,1.865,0.906,2.5,5.707,6.668,11.582,-2.615,2.007,7.386,6.329,2.057,-3.576,10.836,-2.759,4.41,9.191,9.834,3.92,-10.648,3.615,-3.851,1.931,-3.544,-4.702,1.862,-11.212,8.273,5.772,-5.976,-1.383,6.09,-2.787,-0.906,4.121,-4.467,-6.192,-9.704,-2.225,0.547,-4.649,6.567,2.454,-7.166,2.224,-8.777,6.548,10.697,-5.664,-6.383,-6.961,14.543,-12.996,-3.922,7.625,-7.689,-5.704,7.659,12.096,-6.221,-10.75,-9.993,-12.893,2.883,-13.797,12.036,7.698,-1.527,11.484,8.289,2.525,-6.855,-4.862,2.805,-15.393,6.101,4.559,-10.869,-10.512,-12.81,1.285,7.516,6.194,-12.329,5.253,3.801,-6.597,-14.266,13.787,5.333,11.921,-4.614,8.427,6.233,-0.833,12.263,12.261,4.005,3.175
50,1.225,-0.5358452,9.03e-05,0,0,1.225,0.53,0.334,0.437,0.54,0.353,0.451,0.759,0.704,0.724,-22.999,23.42,-0.536,-22.999,23.42,-0.536,200,200,54|24|74|37|175|38|25|28|188|152|2|189|165|197|153|180|51|43|6|52|163|0|67|184|56|127|191|166|196|29,23.42|-22.999|21.807|-20.712|-20.422|-18.781|-18.748|-18.746|-18.405|18.202|18.183|17.999|-17.784|17.264|-16.729|-16.545|-16.539|-16.509|-16.458|16.401|-16.398|-16.378|-15.895|-15.617|15.532|-15.403|15.338|15.104|15.008|14.948,-16.378,9.853,18.183,1.128,8.198,10.033,-16.458,-7.388,-5.754,10.529,6.844,-4.829,-1.933,4.604,-6.26,0.293,-3.279,3.416,-2.006,-13.1,2.774,14.245,-10.312,-12.626,-22.999,-18.748,-3.721,6.658,-18.746,14.948,-10.336,5.122,6.424,-6.269,5.268,9.202,5.82,-20.712,-18.781,-13.397,-6.193,4.578,-9.742,-16.509,-11.673,10.91,4.901,11.594,-13.657,-12.926,-12.032,-16.539,16.401,-2.724,23.42,2.769,15.532,11.62,-0.271,-12.475,-8.237,-11.487,0.471,5.658,9.834,-8.286,9.132,-15.895,8.118,-2.345,-13.66,-11.373,-3.925,13.154,21.807,-13.755,-11.148,1.957,3.421,5.319,-2.926,6.413,-4.156,6.202,-6.769,-8.786,-9.774,6.245,-7.786,14.745,-6.611,-0.951,-6.912,5.16,-0.29,9.745,-2.095,-9.792,-7.941,12.698,-9.759,-5.356,3.201,0.813,2.611,8.053,8.387,14.36,-3.067,3.118,9.249,7.728,2.476,-5.227,13.86,-5.1,5.646,12.382,12.687,4.215,-14.044,4.846,-5.11,3.736,-4.614,-5.828,2.267,-15.403,10.014,7.926,-8.338,-2.472,8.003,-4.02,-0.338,5.514,-5.604,-8.852,-12.551,-3.023,0.459,-5.75,7.612,2.037,-8.74,2.805,-11.309,8.738,13.912,-7.229,-8.075,-8.888,18.202,-16.729,-4.914,9.78,-9.584,-7.822,9.571,14.848,-8.196,-13.47,-13.172,-16.398,3.023,-17.784,15.104,9.828,-2.833,14.784,10.317,2.06,-9.613,-6.301,3.735,-20.422,8.065,6.749,-13.904,-13.582,-16.545,2.419,10.354,6.637,-15.617,7.05,4.706,-10.202,-18.405,17.999,7.309,15.338,-6.301,11.128,7.785,-2.299,15.008,17.264,4.453,3.778
60,1.137,-0.7028638,8.85e-05,0,0,1.137,0.586,0.426,0.511,0.597,0.445,0.524,0.763,0.695,0.729,-28.602,27.214,-0.703,-28.602,27.214,-0.703,200,199,24|74|54|0|37|175|28|25|2|38|197|189|152|188|165|6|21|180|153|127|163|89|29|43|51|52|67|184|191|39,-28.602|27.214|26.34|-24.43|-24.213|-24.181|-23.973|-23.147|22.526|-22.044|22.024|21.373|21.332|-21.309|-20.933|-20.888|20.541|-19.668|-19.581|-19.397|-19.37|19.289|19.201|-19.014|-18.751|18.565|-18.426|-18.188|17.935|-17.615,-24.43,13.45,22.526,1.519,10.183,12.743,-20.888,-9.605,-8.167,13.459,9.962,-6.128,-2.333,5.652,-8.498,0.245,-3.957,4.958,-2.541,-16.843,4.258,20.541,-11.969,-17.46,-28.602,-23.147,-6.118,9.793,-23.973,19.201,-13.266,5.202,8.86,-11.914,9.37,10.285,7.749,-24.213,-22.044,-17.615,-9.028,5.338,-11.594,-19.014,-13.371,13.274,5.437,13.867,-15.558,-14.899,-13.62,-18.751,18.565,-3.524,26.34,2.367,17.602,13.673,0.0,-14.036,-11.335,-15.065,0.346,6.381,11.392,-9.661,10.863,-18.426,9.081,-2.312,-16.92,-13.231,-4.501,16.428,27.214,-17.112,-12.851,1.979,5.267,6.419,-3.153,7.043,-4.613,6.664,-7.882,-11.016,-12.748,9.669,-11.949,19.289,-8.189,-1.183,-8.653,7.407,1.837,11.631,-0.866,-11.603,-9.339,17.042,-11.835,-6.79,4.607,1.012,2.53,10.029,9.522,16.604,-3.595,3.632,11.373,9.239,2.285,-6.27,16.106,-8.115,6.791,15.042,14.547,4.897,-16.894,5.712,-5.967,5.635,-6.39,-7.054,2.826,-19.397,11.821,10.157,-11.122,-3.644,10.366,-5.496,0.469,7.067,-6.575,-11.29,-15.332,-3.844,0.836,-6.685,7.937,1.559,-9.984,3.304,-13.813,10.091,16.829,-8.459,-9.727,-9.94,21.332,-19.581,-5.733,11.182,-11.014,-9.369,10.785,17.024,-10.286,-15.632,-15.464,-19.37,3.01,-20.933,17.506,11.75,-4.392,17.215,11.725,1.628,-11.764,-7.478,4.266,-24.181,9.816,8.23,-16.706,-15.579,-19.668,4.069,12.888,6.071,-18.188,8.32,6.211,-13.404,-21.309,21.373,9.299,17.935,-6.989,12.778,9.101,-2.968,16.91,22.024,4.822,4.95
70,1.089,-0.8211,8.68e-05,0,0,1.089,0.611,0.463,0.54,0.609,0.468,0.537,0.769,0.715,0.735,-33.626,31.897,-0.821,-33.626,31.897,-0.821,200,199,24|74|0|28|54|175|37|25|2|197|21|6|38|189|188|165|152|29|89|180|127|163|153|23|39|43|99|19|51|191,-33.626|31.897|-29.732|-29.514|28.609|-27.941|-27.543|-27.216|27.123|26.797|26.015|-25.386|-25.026|24.828|-24.246|-23.795|23.774|23.184|23.157|-22.934|-22.934|-22.282|-22.041|-21.82|-21.793|-21.475|21.041|-20.934|-20.598|20.461,-29.732,16.818,27.123,1.867,12.14,15.52,-25.386,-12.192,-10.742,16.166,13.261,-7.344,-2.71,6.613,-10.571,0.54,-4.474,6.781,-3.2,-20.934,5.711,26.015,-13.361,-21.82,-33.626,-27.216,-9.305,12.394,-29.514,23.184,-16.149,5.069,11.543,-18.643,13.322,11.621,10.885,-27.543,-25.026,-21.793,-11.233,5.758,-13.263,-21.475,-15.023,15.128,6.287,16.062,-17.088,-16.545,-14.724,-20.598,20.396,-4.27,28.609,2.606,19.786,16.002,0.841,-14.982,-14.272,-18.429,0.0,6.914,13.298,-10.847,12.678,-20.346,9.972,-2.293,-19.9,-14.207,-5.16,19.245,31.897,-19.111,-14.656,2.17,7.155,8.051,-3.421,7.638,-5.093,6.946,-8.831,-12.982,-15.151,13.149,-15.758,23.157,-9.217,-1.435,-10.151,9.467,3.252,13.355,-0.551,-13.813,-11.005,21.041,-13.846,-8.616,6.234,1.607,2.392,11.579,10.657,18.693,-4.061,3.74,13.45,10.614,1.951,-7.197,18.034,-10.593,8.088,17.093,16.277,5.002,-19.508,6.859,-7.035,7.334,-8.125,-8.399,3.687,-22.934,13.691,12.302,-13.704,-4.911,12.458,-7.05,0.763,8.753,-7.416,-13.614,-17.816,-4.585,1.078,-7.571,7.954,0.941,-11.061,3.706,-15.971,11.455,19.765,-9.565,-11.37,-10.74,23.774,-22.041,-6.304,12.831,-12.377,-10.877,11.699,19.142,-12.345,-17.657,-16.768,-22.282,2.806,-23.795,19.642,13.459,-5.762,19.298,12.757,1.093,-13.55,-8.786,4.484,-27.941,12.118,10.409,-19.725,-17.575,-22.934,5.991,15.528,5.868,-20.073,9.615,7.995,-15.888,-24.246,24.828,11.384,20.461,-7.714,14.434,10.665,-4.022,18.985,26.797,5.142,6.532
80,1.023,-0.9244276,8.5e-05,0,0,1.022,0.614,0.467,0.548,0.593,0.466,0.524,0.783,0.748,0.752,-37.307,35.068,-0.924,-37.307,35.068,-0.925,200,199,24|74|28|2|0|37|25|175|54|197|6|21|38|189|29|188|127|165|89|152|180|23|19|39|99|163|153|33|43|191,-37.307|35.068|-33.319|31.437|-31.207|-30.986|-30.898|-30.427|30.309|30.032|-29.643|29.401|-27.826|26.822|26.212|-26.155|-25.769|-25.351|25.282|25.229|-25.157|-25.054|-24.838|-24.605|24.313|-24.066|-23.955|-23.877|-23.622|22.32,-31.207,19.607,31.437,2.418,14.235,18.068,-29.643,-14.897,-13.166,18.643,15.95,-8.591,-3.406,7.501,-11.955,0.822,-4.989,8.64,-4.165,-24.838,6.828,29.401,-14.294,-25.054,-37.307,-30.898,-12.319,14.296,-33.319,26.212,-18.145,5.159,13.848,-23.877,16.444,12.442,13.31,-30.986,-27.826,-24.605,-12.85,6.113,-14.461,-23.622,-16.143,16.532,6.92,17.356,-18.177,-17.565,-15.58,-22.091,21.983,-4.491,30.309,2.718,22.218,17.728,1.672,-15.748,-16.243,-20.848,-1.085,7.241,14.233,-11.566,13.826,-21.67,10.804,-2.181,-21.678,-14.509,-5.466,21.073,35.068,-19.273,-16.402,2.11,8.696,9.347,-3.554,8.096,-5.242,7.026,-9.378,-14.472,-16.986,16.31,-17.744,25.282,-9.746,-2.065,-11.517,10.899,4.256,14.599,-0.414,-16.102,-12.647,24.313,-15.516,-10.487,7.939,2.109,1.547,12.776,11.504,20.013,-4.369,3.846,15.017,11.69,1.38,-8.052,19.093,-12.692,9.129,18.54,17.499,5.359,-21.662,7.795,-7.874,8.895,-9.414,-9.561,4.44,-25.769,15.239,14.22,-15.763,-6.176,14.229,-8.321,0.479,10.296,-8.044,-15.331,-19.874,-5.023,0.918,-8.209,7.751,0.0,-11.839,3.912,-17.968,12.567,22.174,-10.477,-12.609,-11.408,25.229,-23.955,-6.532,13.587,-13.111,-11.543,11.936,20.498,-13.489,-18.897,-17.69,-24.066,2.262,-25.351,21.043,14.654,-6.774,20.842,13.137,0.199,-14.986,-9.64,4.667,-30.427,13.377,11.795,-21.95,-19.04,-25.157,7.277,17.296,5.766,-21.018,10.412,9.044,-17.303,-26.155,26.822,12.871,22.32,-8.263,15.452,11.902,-4.321,20.563,30.032,5.106,7.743
90,0.966,-0.9624842,8.34e-05,0,0,0.966,0.637,0.497,0.576,0.62,0.493,0.557,0.781,0.744,0.749,-39.388,36.565,-0.962,-39.388,36.565,-0.962,200,200,24|74|28|2|25|37|6|197|175|21|54|0|38|33|189|29|188|127|19|23|180|39|99|165|89|152|163|43|153|56,-39.388|36.565|-35.657|33.906|-33.149|-32.8|-32.194|32.191|-31.857|31.091|31.081|-30.863|-29.284|-28.023|28.007|27.717|-27.327|-27.232|-27.211|-26.853|-26.691|-26.452|26.112|-25.932|25.903|25.254|-25.074|-24.684|-24.657|24.104,-30.863,21.132,33.906,3.088,15.522,19.756,-32.194,-16.665,-14.587,20.196,17.298,-9.24,-3.83,7.682,-12.844,1.004,-5.304,9.744,-4.705,-27.211,7.073,31.091,-14.655,-26.853,-39.388,-33.149,-13.929,15.449,-35.657,27.717,-19.273,5.175,15.362,-28.023,18.921,13.031,15.221,-32.8,-29.284,-26.452,-13.558,6.269,-14.819,-24.684,-16.57,17.021,7.29,17.954,-18.773,-18.054,-15.796,-22.69,22.969,-4.213,31.081,2.695,24.104,18.854,2.374,-15.499,-17.131,-22.048,-0.683,7.175,14.422,-12.058,14.43,-22.1,10.906,-1.932,-22.48,-14.093,-5.396,22.035,36.565,-18.284,-17.19,2.055,9.626,10.398,-3.82,8.332,-5.369,7.0,-9.699,-15.323,-17.924,18.64,-18.37,25.903,-9.719,-2.146,-12.039,11.689,4.542,15.31,-0.59,-17.066,-13.554,26.112,-16.322,-11.611,8.924,2.363,0.571,13.402,11.613,20.553,-4.277,3.554,15.853,12.042,0.86,-8.2,19.414,-13.423,9.619,19.112,17.565,5.313,-22.662,8.209,-8.269,9.387,-10.08,-10.099,4.851,-27.232,16.065,15.311,-16.847,-6.749,15.065,-8.898,0.155,11.118,-8.3,-16.202,-20.575,-4.93,-0.142,-8.341,6.997,-1.067,-12.154,3.828,-18.803,13.253,23.559,-10.991,-13.371,-11.684,25.254,-24.657,-6.623,13.807,-13.469,-11.618,11.579,21.224,-14.144,-19.567,-17.471,-25.074,1.462,-25.932,21.242,15.027,-7.027,21.398,13.129,-0.606,-15.382,-10.143,4.295,-31.857,14.244,12.857,-23.304,-19.842,-26.691,8.47,18.438,5.61,-21.193,10.903,9.855,-18.044,-27.327,28.007,13.845,23.333,-8.433,16.143,12.758,-4.817,21.561,32.191,4.931,8.292
