dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,mcuve,1.592,0.735,0.724,0.698,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|170,0
indian_pines,29,mcuve,1.662,0.728,0.729,0.69,35|56|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|148|149|152|170,0
indian_pines,28,mcuve,1.697,0.713,0.707,0.674,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|151|152|153,0
indian_pines,27,mcuve,1.7,0.717,0.711,0.678,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|148|149|151|152|153,0
indian_pines,26,mcuve,1.753,0.707,0.735,0.666,35|56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|151|152|153,0
indian_pines,25,mcuve,1.658,0.661,0.643,0.612,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|149|152,0
indian_pines,24,mcuve,1.824,0.729,0.747,0.69,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|152,0
indian_pines,23,mcuve,1.75,0.648,0.62,0.598,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|149|152,0
indian_pines,22,mcuve,1.603,0.647,0.61,0.596,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|152,0
indian_pines,21,mcuve,1.587,0.65,0.612,0.599,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152,0
indian_pines,20,mcuve,1.5,0.691,0.703,0.646,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|148|152,0
indian_pines,19,mcuve,1.499,0.627,0.546,0.569,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94,0
