dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,mcuve,1.5,0.718,0.716,0.679,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|170||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|147|148|149|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|99|100|147|148|149|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|153|170||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|99|147|148|149|151|152|153|155||35|62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94|97|98|99|100|101|148|149|152|153|154|155||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|146|147|148|149|151|152|153|155||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|151|152|153|155|170|171||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|147|148|149|152|153|155|170
indian_pines,29,mcuve,1.51,0.714,0.704,0.674,35|56|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|148|149|152|170||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|147|148|149|151|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|99|148|149|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|150|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|151|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|147|148|149|152|153|170||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|92|94|97|98|99|148|152|153|170||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|151|152||35|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|146|147|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|149|152|153|170
indian_pines,28,mcuve,1.52,0.7,0.684,0.658,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|150|151|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|148|149|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|150|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|147|148|149|151|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|99|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|149|151|152|153||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|148|149|151|152||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|150|151|152|153||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|147|148|149|150|152|153
indian_pines,27,mcuve,1.54,0.708,0.687,0.667,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|147|148|149|150|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|97|98|148|149|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|147|148|149|152|153||35|62|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|148|149|152|171||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|148|149|152||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|148|149|150|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|99|148|149|151
indian_pines,26,mcuve,1.52,0.702,0.696,0.66,35|56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|97|98|99|148|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|99|148|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|147|148|149|152|153|170||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|152|153|171||56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|151|152||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|148|149|150|151|152|153||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|151|152
indian_pines,25,mcuve,1.5,0.702,0.679,0.66,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|148|149|152|153||35|62|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|101|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|148|152||35|62|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|148|149|152|153|155||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|148|149|150|151|152||35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|149|151||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|148|149|151|152||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|152
indian_pines,24,mcuve,1.53,0.701,0.689,0.659,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|147|148|149|151|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|77|78|79|80|91|94|97|98|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|150|152||35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152|170||35|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|148|152
indian_pines,23,mcuve,1.51,0.686,0.66,0.642,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|148|149|152||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|98|149||35|62|65|67|68|69|70|71|72|77|78|79|80|91|94|97|98|99|147|148|149|152|153||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|151|152||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|149|152
indian_pines,22,mcuve,1.5,0.673,0.637,0.625,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|152||62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|152||35|62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|148|152||35|56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|152||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152
indian_pines,21,mcuve,1.52,0.651,0.614,0.6,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152||35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|152||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|148|152||62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97
