dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,v2,78.669,0.821,0.811,0.795,0|6|8|10|11|16|19|29|30|63|68|72|73|107|109|120|122|127|135|152|161|164|169|174|175|179|181|186|189|191,0
indian_pines,29,v2,0.0,0.817,0.82,0.79,0|6|8|10|11|16|19|29|30|63|68|72|73|107|109|120|122|127|135|152|161|164|169|174|175|179|181|186|189,0
indian_pines,28,v2,0.0,0.813,0.825,0.787,0|6|8|10|11|16|19|29|30|63|68|72|73|107|109|120|122|127|135|152|161|169|174|175|179|181|186|189,0
indian_pines,27,v2,0.0,0.805,0.814,0.777,0|6|8|10|11|16|19|29|30|63|68|72|107|109|120|122|127|135|152|161|169|174|175|179|181|186|189,0
indian_pines,26,v2,0.0,0.808,0.83,0.781,0|6|8|10|11|16|19|29|63|68|72|107|109|120|122|127|135|152|161|169|174|175|179|181|186|189,0
indian_pines,25,v2,0.0,0.802,0.815,0.774,0|6|8|10|11|16|19|29|63|68|107|109|120|122|127|135|152|161|169|174|175|179|181|186|189,0
indian_pines,24,v2,0.0,0.808,0.817,0.782,6|8|10|11|16|19|29|63|68|107|109|120|122|127|135|152|161|169|174|175|179|181|186|189,0
indian_pines,23,v2,0.0,0.808,0.816,0.781,6|8|10|11|16|19|29|63|68|107|109|120|122|127|152|161|169|174|175|179|181|186|189,0
indian_pines,22,v2,0.0,0.806,0.814,0.779,6|8|10|11|16|19|29|63|68|107|109|120|122|127|152|161|169|174|175|179|181|186,0
indian_pines,21,v2,0.0,0.802,0.822,0.774,6|8|10|11|16|19|29|63|68|107|109|120|127|152|161|169|174|175|179|181|186,0
indian_pines,20,v2,0.0,0.814,0.853,0.788,6|8|10|11|16|19|29|63|68|109|120|127|152|161|169|174|175|179|181|186,0
indian_pines,19,v2,0.0,0.82,0.849,0.795,6|8|10|11|16|19|29|63|68|109|120|127|152|161|169|174|175|181|186,0
indian_pines,18,v2,0.0,0.799,0.824,0.771,6|8|10|11|16|19|29|68|109|120|127|152|161|169|174|175|181|186,0
indian_pines,17,v2,0.0,0.757,0.767,0.723,6|8|10|11|16|19|29|109|120|127|152|161|169|174|175|181|186,0
indian_pines,16,v2,0.0,0.767,0.773,0.734,6|8|10|11|16|19|29|120|127|152|161|169|174|175|181|186,0
