epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.714,0.1033456,0.00998,0,0,2.715,0.075,0.055,0.004,0.068,0.055,0.002,0.769,0.727,0.736,-0.353,0.33,0.0,-0.353,0.33,-0.0,200,91,181|153|0|16|137|65|190|28|76|5|132|189|52|92|101|53|143|37|133|97|11|102|183|73|4|109|169|196|194|12,-0.353|-0.343|-0.341|0.33|-0.302|0.28|-0.276|-0.271|0.265|0.261|0.256|0.245|0.241|-0.239|0.238|-0.235|-0.234|-0.232|-0.228|0.225|-0.225|0.208|0.203|0.196|0.195|0.193|0.192|0.188|0.185|-0.184,-0.341,0.0,-0.105,0.0,0.195,0.261,0.154,0.128,0.0,0.0,0.0,-0.225,-0.184,0.0,0.0,0.0,0.33,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,-0.176,-0.142,0.0,-0.271,0.113,0.0,-0.154,0.0,0.0,-0.136,0.0,0.0,-0.232,-0.136,-0.118,0.0,0.0,0.105,-0.182,0.0,0.12,0.0,0.0,0.0,0.0,-0.109,-0.157,0.241,-0.235,0.164,-0.176,0.155,0.0,0.0,-0.109,0.0,-0.124,0.0,0.108,0.0,0.28,0.0,0.0,0.145,0.0,0.0,-0.141,0.0,0.196,0.132,-0.113,0.265,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.172,0.107,-0.153,0.177,0.0,0.0,-0.239,0.0,0.132,0.102,0.0,0.225,0.0,0.0,0.0,0.238,0.208,0.0,0.113,0.0,0.0,0.167,0.0,0.193,0.175,-0.177,-0.18,0.0,0.0,0.116,0.0,0.0,-0.109,-0.129,0.0,0.0,0.0,-0.112,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.256,-0.228,0.0,0.113,0.0,-0.302,0.0,0.0,0.0,-0.121,0.0,-0.234,0.0,0.0,-0.114,0.0,0.0,0.0,0.0,0.0,0.148,-0.343,-0.134,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,-0.112,-0.137,0.0,-0.115,0.105,0.0,0.192,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,-0.159,0.0,0.0,-0.353,0.101,0.203,-0.102,0.0,0.0,0.0,0.0,0.245,-0.276,0.125,0.0,0.0,0.185,0.151,0.188,-0.136,0.125,0.0
10,1.205,0.199283,0.0097824,0,0,1.207,0.599,0.41,0.525,0.618,0.424,0.547,0.83,0.858,0.806,-0.921,1.102,0.015,-0.921,1.102,0.015,200,86,16|109|7|38|137|61|76|141|11|130|18|194|59|154|152|97|77|53|94|178|119|169|73|25|182|132|115|125|118|166,1.102|1.045|0.994|-0.921|-0.844|-0.818|0.808|-0.804|-0.794|-0.772|0.753|0.747|-0.738|-0.728|0.708|0.683|0.665|-0.639|0.63|-0.62|-0.601|0.555|0.536|-0.53|0.527|0.525|-0.498|0.495|-0.489|-0.472,0.0,0.0,0.379,0.0,0.0,0.164,-0.395,0.994,0.0,0.0,0.0,-0.794,0.146,0.0,0.0,0.0,1.102,0.0,0.753,0.0,0.0,0.0,0.0,0.115,0.0,-0.53,0.0,0.0,0.0,-0.125,0.0,0.276,0.0,0.0,0.167,0.0,0.0,0.231,-0.921,0.0,-0.227,0.0,0.236,0.166,0.0,-0.131,0.0,0.0,0.0,0.0,0.398,-0.36,0.191,-0.639,0.0,0.177,-0.237,0.0,0.0,-0.738,0.109,-0.818,0.0,0.0,0.0,0.381,-0.245,0.0,-0.189,-0.464,0.0,0.119,0.0,0.536,-0.298,0.0,0.808,0.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0.238,0.0,0.0,0.0,0.0,-0.278,0.0,0.63,-0.215,0.0,0.683,0.0,0.0,0.0,0.436,0.332,0.0,0.0,0.0,0.0,0.332,0.0,1.045,0.0,-0.393,0.0,0.0,0.0,-0.498,0.0,0.0,-0.489,-0.601,0.0,0.0,0.0,-0.383,0.0,0.495,0.0,-0.213,0.0,0.304,-0.772,0.0,0.525,0.371,0.0,-0.419,0.0,-0.844,0.0,0.0,0.0,-0.804,0.0,0.0,0.0,0.0,-0.283,0.0,0.0,0.0,0.0,0.0,0.708,-0.394,-0.728,0.0,0.0,0.0,0.0,0.413,0.0,0.345,0.102,0.171,-0.261,-0.204,-0.472,0.341,0.0,0.555,0.0,0.0,0.337,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,-0.415,0.527,0.453,-0.455,0.0,0.0,0.0,0.0,0.465,0.29,0.368,0.0,0.0,0.747,-0.137,0.0,0.0,0.451,0.0
20,0.92,0.2388717,0.0095887,0,0,0.923,0.702,0.545,0.656,0.72,0.559,0.676,0.818,0.849,0.792,-1.207,1.35,0.017,-1.207,1.35,0.018,200,83,109|7|38|16|137|141|154|130|18|11|97|76|59|194|178|77|152|94|53|182|61|132|119|159|169|25|125|184|6|115,1.35|1.282|-1.207|1.151|-1.098|-1.001|-0.995|-0.994|0.986|-0.982|0.965|0.897|-0.888|0.86|-0.834|0.828|0.823|0.784|-0.781|0.778|-0.77|0.767|-0.714|0.697|0.644|-0.642|0.639|-0.639|-0.638|-0.636,0.0,0.0,0.536,0.0,0.0,0.103,-0.638,1.282,0.0,0.0,0.0,-0.982,0.123,0.0,0.0,0.0,1.151,0.0,0.986,0.0,0.0,0.0,0.0,0.161,0.0,-0.642,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.401,0.0,0.0,0.277,-1.207,0.0,-0.277,0.0,0.281,0.296,0.0,-0.141,0.0,0.0,0.0,0.0,0.437,-0.291,0.0,-0.781,0.102,0.384,-0.192,0.0,0.0,-0.888,0.0,-0.77,0.0,0.139,0.0,0.411,-0.365,0.0,-0.485,-0.542,0.0,0.151,0.0,0.615,-0.407,0.0,0.897,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.228,0.0,0.0,0.0,0.0,-0.347,0.0,0.784,-0.168,0.0,0.965,0.0,0.0,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.364,0.0,1.35,0.0,-0.431,0.0,0.0,0.0,-0.636,0.0,0.0,-0.605,-0.714,0.0,0.0,0.0,-0.324,0.0,0.639,0.0,0.0,0.0,0.306,-0.994,0.0,0.767,0.462,0.0,-0.572,0.0,-1.098,0.0,0.0,0.0,-1.001,0.0,0.0,0.0,0.0,-0.313,0.0,0.0,0.0,0.0,0.0,0.823,-0.397,-0.995,0.0,0.0,-0.186,0.0,0.697,0.0,0.425,0.226,0.0,-0.227,-0.456,-0.553,0.505,0.0,0.644,0.0,0.0,0.372,0.0,0.0,0.0,0.0,0.0,-0.834,0.0,0.0,-0.555,0.778,0.578,-0.639,0.0,0.0,0.0,0.0,0.48,0.4,0.552,0.0,0.0,0.86,-0.111,0.0,0.0,0.177,0.0
30,0.75,0.2547692,0.0093988,0,0,0.753,0.755,0.605,0.718,0.766,0.619,0.73,0.824,0.861,0.8,-1.5,1.475,0.017,-1.5,1.475,0.015,200,83,38|7|109|137|16|11|18|97|130|154|59|141|178|76|182|152|194|77|159|6|25|132|94|125|119|135|115|118|69|53,-1.5|1.475|1.466|-1.207|1.096|-1.059|1.054|1.038|-1.035|-1.033|-1.021|-1.016|-0.983|0.944|0.941|0.907|0.888|0.865|0.858|-0.834|-0.826|0.817|0.797|0.754|-0.753|-0.746|-0.736|-0.729|-0.718|-0.712,0.0,0.0,0.475,0.0,0.0,0.225,-0.834,1.475,0.0,0.0,0.0,-1.059,0.143,0.0,0.0,0.0,1.096,0.0,1.054,0.0,0.0,0.0,0.0,0.133,0.0,-0.826,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.0,0.584,0.0,0.0,0.349,-1.5,0.0,-0.27,0.0,0.254,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.479,-0.309,0.0,-0.712,0.0,0.371,-0.273,0.0,0.0,-1.021,0.0,-0.697,0.0,0.196,0.0,0.397,-0.331,0.0,-0.453,-0.718,0.0,0.162,0.0,0.625,-0.407,0.113,0.944,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.131,0.0,0.0,0.0,0.0,-0.407,0.0,0.797,-0.151,0.0,1.038,0.0,0.0,0.0,0.595,-0.114,0.0,0.0,0.0,0.0,0.308,0.0,1.466,0.0,-0.414,-0.108,0.0,0.0,-0.736,0.0,0.0,-0.729,-0.753,0.0,0.0,0.0,-0.28,0.0,0.754,0.0,0.0,0.0,0.33,-1.035,0.0,0.817,0.496,0.0,-0.746,0.0,-1.207,0.0,0.0,0.0,-1.016,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.907,-0.427,-1.033,0.103,0.0,0.0,0.0,0.858,0.0,0.51,0.273,0.0,-0.361,-0.483,-0.632,0.53,0.0,0.658,0.0,0.0,0.391,0.0,0.0,0.0,0.0,0.0,-0.983,0.0,0.0,-0.624,0.941,0.608,-0.634,0.0,0.0,0.0,0.0,0.432,0.479,0.568,0.0,0.0,0.888,0.0,0.0,-0.101,0.0,0.0
40,0.633,0.261739,0.0092127,0,0,0.635,0.802,0.664,0.773,0.806,0.662,0.777,0.833,0.857,0.81,-1.674,1.685,0.015,-1.674,1.685,0.013,200,82,7|38|109|137|130|154|97|11|59|182|18|16|178|6|76|159|152|132|141|25|194|125|77|34|135|53|69|119|115|118,1.685|-1.674|1.51|-1.257|-1.144|-1.135|1.119|-1.112|-1.064|1.06|1.054|1.046|-1.031|-0.993|0.991|0.928|0.928|0.9|-0.895|-0.893|0.854|0.853|0.846|0.835|-0.825|-0.789|-0.783|-0.75|-0.731|-0.729,0.0,0.0,0.194,0.0,0.0,0.305,-0.993,1.685,0.0,0.0,0.0,-1.112,0.153,0.0,0.0,0.0,1.046,0.0,1.054,0.0,0.0,0.0,0.0,0.0,0.0,-0.893,0.0,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.835,0.0,0.0,0.343,-1.674,0.0,-0.262,0.0,0.307,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.449,-0.35,0.182,-0.789,0.0,0.365,-0.365,0.0,0.0,-1.064,0.0,-0.55,0.0,0.172,0.0,0.448,-0.293,0.0,-0.468,-0.783,0.0,0.16,0.0,0.562,-0.257,0.151,0.991,0.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.111,0.0,0.0,0.0,0.0,-0.362,0.0,0.701,-0.185,0.0,1.119,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.204,0.0,1.51,0.0,-0.345,-0.211,0.0,0.0,-0.731,0.0,0.0,-0.729,-0.75,0.0,0.0,0.0,-0.286,0.0,0.853,0.0,-0.102,0.0,0.43,-1.144,0.0,0.9,0.526,0.0,-0.825,0.0,-1.257,0.0,0.0,0.0,-0.895,0.0,-0.101,0.0,0.0,-0.354,0.0,0.0,0.0,0.0,0.0,0.928,-0.542,-1.135,0.0,0.0,0.0,0.0,0.928,0.0,0.535,0.317,0.0,-0.404,-0.483,-0.67,0.523,0.0,0.605,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,-1.031,0.0,0.0,-0.663,1.06,0.691,-0.603,0.0,0.0,0.0,0.0,0.446,0.474,0.48,0.0,0.0,0.854,0.0,0.0,0.0,0.0,0.0
50,0.54,0.2625643,0.0090303,0,0,0.543,0.826,0.698,0.8,0.837,0.704,0.813,0.843,0.884,0.82,-1.808,1.739,0.014,-1.808,1.739,0.012,200,80,38|7|109|137|130|97|154|6|11|59|182|34|178|76|18|16|152|159|132|25|125|194|141|53|135|69|77|183|181|118,-1.808|1.739|1.531|-1.266|-1.199|1.156|-1.153|-1.142|-1.101|-1.09|1.08|1.047|-1.019|0.981|0.981|0.977|0.955|0.954|0.94|-0.92|0.869|0.853|-0.841|-0.834|-0.833|-0.799|0.791|0.724|-0.723|-0.719,0.0,0.0,0.176,0.0,0.0,0.352,-1.142,1.739,0.0,0.0,0.0,-1.101,0.0,0.0,0.0,0.0,0.977,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.047,0.0,0.0,0.339,-1.808,0.0,-0.282,0.0,0.345,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.355,-0.352,0.204,-0.834,0.0,0.337,-0.334,0.0,0.0,-1.09,0.0,-0.511,0.0,0.178,0.0,0.488,-0.306,0.0,-0.408,-0.799,0.0,0.19,0.0,0.585,-0.233,0.102,0.981,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,-0.409,0.0,0.679,-0.188,0.0,1.156,0.0,0.0,0.0,0.588,0.0,0.0,0.0,0.0,0.0,0.169,0.0,1.531,0.0,-0.267,-0.203,0.0,0.0,-0.702,0.0,0.0,-0.719,-0.695,0.0,0.0,0.0,-0.26,0.0,0.869,0.0,-0.127,0.0,0.48,-1.199,0.0,0.94,0.54,0.0,-0.833,0.0,-1.266,0.0,0.0,0.0,-0.841,0.0,0.0,0.0,0.0,-0.431,0.0,0.0,0.0,0.0,0.0,0.955,-0.599,-1.153,0.0,0.0,0.0,0.0,0.954,0.0,0.534,0.325,0.0,-0.414,-0.482,-0.667,0.516,0.0,0.613,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.0,-1.019,0.0,0.0,-0.723,1.08,0.724,-0.565,0.0,0.0,0.0,0.0,0.447,0.455,0.451,0.0,0.0,0.853,0.0,0.0,0.115,0.0,0.0
60,0.468,0.2640191,0.0088515,0,0,0.471,0.848,0.771,0.825,0.84,0.765,0.815,0.847,0.886,0.826,-1.901,1.684,0.015,-1.901,1.684,0.013,200,79,38|7|109|137|6|130|34|154|97|182|11|59|178|159|16|152|18|25|76|125|132|135|53|194|77|141|69|183|181|166,-1.901|1.684|1.527|-1.292|-1.215|-1.213|1.193|-1.175|1.174|1.075|-1.066|-1.059|-1.02|0.996|0.995|0.952|0.948|-0.939|0.938|0.925|0.924|-0.884|-0.844|0.805|0.805|-0.803|-0.765|0.752|-0.72|-0.719,0.0,0.0,0.204,0.0,0.0,0.352,-1.215,1.684,0.0,0.0,0.0,-1.066,0.0,0.0,0.0,0.0,0.995,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,-0.939,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.0,1.193,0.0,0.0,0.346,-1.901,0.0,-0.295,0.0,0.465,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.317,-0.373,0.224,-0.844,0.0,0.257,-0.33,0.0,0.0,-1.059,0.0,-0.451,0.0,0.234,0.0,0.525,-0.308,0.0,-0.342,-0.765,0.0,0.249,0.0,0.573,-0.196,0.147,0.938,0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.0,-0.443,0.0,0.629,-0.218,0.0,1.174,0.0,0.0,0.0,0.642,0.0,0.0,0.0,0.0,0.0,0.196,0.0,1.527,0.0,-0.247,-0.176,0.0,0.0,-0.676,0.0,0.0,-0.701,-0.662,0.0,0.0,0.0,-0.222,0.0,0.925,0.0,-0.146,0.0,0.461,-1.213,0.0,0.924,0.561,0.0,-0.884,0.0,-1.292,0.0,0.0,0.0,-0.803,0.0,0.0,0.0,0.0,-0.485,0.0,0.0,0.0,0.0,0.0,0.952,-0.655,-1.175,0.0,0.0,0.0,0.0,0.996,0.0,0.581,0.385,0.0,-0.417,-0.473,-0.719,0.503,0.0,0.577,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,-1.02,0.0,0.0,-0.72,1.075,0.752,-0.536,0.0,0.0,0.0,0.0,0.378,0.41,0.438,0.0,0.0,0.805,0.0,0.0,0.0,0.0,0.0
70,0.432,0.2681779,0.0086762,0,0,0.434,0.861,0.813,0.84,0.861,0.809,0.84,0.843,0.879,0.821,-1.903,1.707,0.016,-1.903,1.707,0.016,200,79,38|7|109|130|34|137|97|6|154|59|159|182|152|11|76|178|25|16|132|125|18|135|183|53|69|141|77|118|153|181,-1.903|1.707|1.552|-1.307|1.293|-1.26|1.251|-1.232|-1.184|-1.127|1.07|1.069|1.036|-1.006|0.991|-0.983|-0.978|0.96|0.957|0.954|0.945|-0.919|0.852|-0.821|-0.81|-0.789|0.785|-0.758|-0.75|-0.746,0.0,0.0,0.2,0.0,0.0,0.365,-1.232,1.707,0.0,0.0,0.0,-1.006,0.0,0.0,0.0,0.0,0.96,0.0,0.945,0.0,0.0,0.0,0.0,0.0,0.0,-0.978,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.293,0.0,0.0,0.398,-1.903,0.0,-0.392,0.0,0.434,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.377,-0.335,0.161,-0.821,0.0,0.311,-0.327,0.0,0.0,-1.127,0.0,-0.418,0.0,0.233,0.0,0.502,-0.274,0.0,-0.417,-0.81,0.0,0.315,0.0,0.604,-0.157,0.152,0.991,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,-0.499,0.0,0.651,-0.257,0.0,1.251,0.0,0.0,0.0,0.662,0.0,0.0,0.0,0.0,0.0,0.199,0.0,1.552,0.0,-0.267,-0.142,0.0,0.0,-0.62,0.0,0.0,-0.758,-0.642,0.0,0.0,0.0,-0.181,0.0,0.954,0.0,-0.135,0.0,0.495,-1.307,0.0,0.957,0.507,0.0,-0.919,0.0,-1.26,0.0,0.0,0.0,-0.789,0.0,0.0,0.0,0.0,-0.472,0.0,0.0,0.0,0.0,0.0,1.036,-0.75,-1.184,0.0,0.0,0.0,0.0,1.07,0.0,0.586,0.413,0.0,-0.431,-0.454,-0.732,0.48,0.0,0.573,0.0,0.0,0.394,0.0,0.0,0.0,0.0,0.0,-0.983,0.0,0.0,-0.746,1.069,0.852,-0.557,0.0,0.0,0.0,0.0,0.336,0.412,0.461,0.0,0.0,0.743,0.0,0.0,0.0,0.0,0.0
80,0.372,0.2675492,0.0085044,0,0,0.374,0.884,0.881,0.868,0.866,0.88,0.847,0.843,0.888,0.821,-1.948,1.704,0.018,-1.948,1.704,0.017,200,80,38|7|109|34|130|97|137|6|154|59|182|159|16|11|152|18|178|125|132|25|135|76|183|69|153|53|77|181|118|166,-1.948|1.704|1.49|1.346|-1.294|1.278|-1.272|-1.236|-1.165|-1.144|1.101|1.053|1.044|-1.018|1.017|0.994|-0.989|0.977|0.957|-0.951|-0.919|0.914|0.837|-0.834|-0.807|-0.793|0.744|-0.743|-0.719|-0.693,0.0,0.0,0.196,0.0,0.0,0.383,-1.236,1.704,0.0,0.0,0.0,-1.018,0.0,0.0,0.0,0.0,1.044,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,-0.951,0.0,0.0,0.0,0.0,0.0,0.453,0.0,0.0,1.346,0.0,0.0,0.45,-1.948,0.0,-0.39,0.0,0.498,0.267,0.0,0.101,0.0,0.0,0.0,0.0,0.355,-0.371,0.198,-0.793,0.0,0.292,-0.37,0.0,0.0,-1.144,0.0,-0.437,0.0,0.278,0.0,0.479,-0.286,0.0,-0.387,-0.834,0.0,0.326,0.0,0.592,-0.174,0.224,0.914,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.0,0.0,0.0,0.0,0.0,-0.456,0.0,0.606,-0.285,0.0,1.278,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.178,0.0,1.49,0.0,-0.289,-0.216,0.0,0.0,-0.617,0.0,0.0,-0.719,-0.649,0.0,0.0,0.0,-0.172,0.0,0.977,0.0,-0.149,0.0,0.488,-1.294,0.0,0.957,0.523,0.0,-0.919,0.0,-1.272,0.0,0.0,0.0,-0.681,0.0,0.0,0.0,0.0,-0.454,0.0,0.0,0.0,0.0,0.0,1.017,-0.807,-1.165,0.0,0.0,0.0,0.0,1.053,0.0,0.642,0.448,0.0,-0.39,-0.414,-0.693,0.47,0.0,0.575,0.0,0.0,0.442,0.0,0.0,0.0,0.0,0.0,-0.989,0.0,0.0,-0.743,1.101,0.837,-0.468,0.0,0.0,0.0,0.0,0.323,0.39,0.435,0.0,0.0,0.678,0.0,0.0,0.0,0.0,0.0
90,0.353,0.2694274,0.008336,0,0,0.355,0.885,0.878,0.868,0.865,0.873,0.845,0.84,0.868,0.818,-1.941,1.715,0.017,-1.941,1.715,0.016,200,80,38|7|109|34|130|97|137|6|154|59|159|182|16|25|125|152|11|18|178|132|135|76|153|69|183|53|77|181|101|118,-1.941|1.715|1.485|1.405|-1.295|1.279|-1.241|-1.233|-1.152|-1.132|1.106|1.074|1.039|-1.02|1.01|0.995|-0.969|0.958|-0.958|0.949|-0.924|0.89|-0.874|-0.86|0.836|-0.806|0.759|-0.744|0.728|-0.718,0.0,0.0,0.207,0.0,0.0,0.391,-1.233,1.715,0.0,0.0,0.0,-0.969,0.0,0.0,0.0,0.0,1.039,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,1.405,0.0,0.0,0.505,-1.941,0.0,-0.442,0.0,0.502,0.266,0.0,-0.108,0.0,0.0,0.0,0.0,0.344,-0.37,0.212,-0.806,0.0,0.287,-0.365,0.0,0.0,-1.132,0.0,-0.452,0.0,0.27,0.0,0.496,-0.325,0.0,-0.365,-0.86,0.0,0.34,0.0,0.571,-0.149,0.23,0.89,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,-0.451,0.0,0.556,-0.285,0.0,1.279,0.0,0.0,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.195,0.0,1.485,0.0,-0.325,-0.233,0.0,0.0,-0.619,0.0,0.0,-0.718,-0.634,0.0,0.0,0.0,-0.157,0.0,1.01,0.0,-0.157,0.0,0.528,-1.295,0.0,0.949,0.511,0.0,-0.924,0.0,-1.241,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.0,0.995,-0.874,-1.152,0.0,0.0,0.0,0.0,1.106,0.0,0.664,0.476,0.0,-0.43,-0.437,-0.717,0.436,0.0,0.554,0.0,0.0,0.454,0.0,0.0,0.0,0.0,0.0,-0.958,0.0,0.0,-0.744,1.074,0.836,-0.472,0.0,0.0,0.0,0.0,0.299,0.379,0.425,0.0,0.0,0.634,0.0,0.0,0.0,0.0,0.0
