dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v5,199.866,0.784,0.729,0.729,6|7|8|14|25|28|30|31|33|36|37|40|59|62|67|68|94|97|111|121|127|130|136|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|0.00027058576233685017|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|-0.0018680696375668049|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.8865140080451965|0.00039370555896312|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.7383170127868652|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,29,v5,0.0,0.781,0.725,0.725,6|7|8|14|25|28|30|31|33|36|37|59|62|67|68|94|97|111|121|127|130|136|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|0.00027058576233685017|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.8865140080451965|0.00039370555896312|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.7383170127868652|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,28,v5,0.0,0.779,0.723,0.723,6|7|8|14|25|28|30|31|33|36|37|59|62|67|68|97|111|121|127|130|136|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|0.00027058576233685017|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|0.00039370555896312|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.7383170127868652|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,27,v5,0.0,0.782,0.735,0.735,6|7|8|14|25|28|30|33|36|37|59|62|67|68|97|111|121|127|130|136|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|0.00039370555896312|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.7383170127868652|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,26,v5,0.0,0.779,0.734,0.734,6|7|8|14|25|28|30|33|36|37|59|62|67|68|111|121|127|130|136|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.7383170127868652|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,25,v5,0.0,0.777,0.733,0.733,6|7|8|14|25|28|30|33|36|37|59|62|67|68|111|121|127|130|155|159|167|170|174|176|183,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554|-0.0034522325731813908
indian_pines,24,v5,0.0,0.775,0.731,0.731,6|7|8|14|25|28|30|33|36|37|59|62|67|68|111|121|127|130|155|159|167|170|174|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|-0.3701387345790863|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554
indian_pines,23,v5,0.0,0.77,0.726,0.726,6|7|8|14|25|28|30|33|36|37|59|62|67|68|111|121|130|155|159|167|170|174|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.33468180894851685|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554
indian_pines,22,v5,0.0,0.764,0.719,0.719,6|7|8|14|25|28|30|33|36|59|62|67|68|111|121|130|155|159|167|170|174|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|-0.0009438935667276382|0.7424156069755554
indian_pines,21,v5,0.0,0.762,0.717,0.717,6|7|8|14|25|28|30|33|36|59|62|67|68|111|121|130|155|159|167|170|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.39429914951324463|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,20,v5,0.0,0.761,0.726,0.726,6|7|8|14|28|30|33|36|59|62|67|68|111|121|130|155|159|167|170|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.2428370714187622|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,19,v5,0.0,0.76,0.725,0.725,6|7|8|28|30|33|36|59|62|67|68|111|121|130|155|159|167|170|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|0.0019446866353973746|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,18,v5,0.0,0.755,0.719,0.719,6|7|8|28|30|33|36|62|67|68|111|121|130|155|159|167|170|176,-0.4345901310443878|0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,17,v5,0.0,0.757,0.722,0.722,7|8|28|30|33|36|62|67|68|111|121|130|155|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|-0.00010341821325710043|0.003286089515313506|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,16,v5,0.0,0.756,0.722,0.722,7|8|28|30|36|62|67|68|111|121|130|155|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.0022781731095165014|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,15,v5,0.0,0.759,0.725,0.725,7|8|28|30|36|62|67|68|111|121|130|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.7403666377067566|0.005897149909287691|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,14,v5,0.0,0.756,0.722,0.722,7|8|28|30|36|62|67|68|111|130|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|-0.0016017456073313951|0.0018346351571381092|0.5178261399269104|-0.0013779120054095984|0.005897149909287691|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,13,v5,0.0,0.757,0.721,0.721,7|8|28|30|36|62|68|111|130|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|-0.0016017456073313951|0.5178261399269104|-0.0013779120054095984|0.005897149909287691|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,12,v5,0.0,0.755,0.716,0.716,7|8|28|30|36|68|111|130|159|167|170|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|0.5178261399269104|-0.0013779120054095984|0.005897149909287691|-0.9448359608650208|-1.1101438999176025|-0.45728588104248047|0.7424156069755554
indian_pines,11,v5,0.0,0.756,0.715,0.715,7|8|28|30|36|68|111|130|159|167|176,0.47396254539489746|0.0003287652798462659|-0.0022813298273831606|0.006494327913969755|0.003286089515313506|0.5178261399269104|-0.0013779120054095984|0.005897149909287691|-0.9448359608650208|-1.1101438999176025|0.7424156069755554
