dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,v9,255.83,0.829,0.823,0.805,5|6|8|9|19|21|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148|163|168|181||4|5|6|7|8|9|21|22|23|27|28|33|34|37|38|42|43|44|60|70|74|109|120|137|139|148|161|163|180|181||4|6|7|8|9|22|24|25|27|28|30|33|34|36|37|38|40|42|43|56|59|70|76|77|100|109|147|148|161|181||4|5|6|7|8|9|19|22|23|24|27|28|30|31|33|34|37|38|42|43|53|56|70|76|85|130|147|149|163|181||4|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|59|70|77|88|93|100|130|137|148|149|161|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|153|161|163|172|175|181||4|5|6|7|8|22|24|25|27|28|30|31|33|34|36|37|38|39|42|43|56|70|74|76|77|78|130|147|148|181||4|5|6|7|8|9|22|24|27|28|30|33|34|36|37|38|42|43|53|59|70|76|78|130|137|147|148|163|180|181||4|5|6|7|8|22|24|27|28|29|31|33|34|37|38|41|42|43|53|56|59|70|74|76|109|147|148|149|175|181||4|5|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|88|109|120|130|147|148|163|181
indian_pines,29,v9,0.0,0.827,0.828,0.802,5|6|8|9|19|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148|163|168|181||4|5|6|7|8|9|21|22|23|27|28|33|34|37|38|42|43|44|60|70|74|109|137|139|148|161|163|180|181||4|6|7|8|9|22|24|25|27|28|30|33|34|36|37|38|42|43|56|59|70|76|77|100|109|147|148|161|181||4|5|6|7|8|9|19|22|23|24|27|28|30|31|33|34|37|38|42|43|53|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|77|88|93|100|130|137|148|149|161|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|153|161|163|172|181||4|5|6|7|8|22|24|25|27|28|30|31|33|34|36|37|38|39|42|43|56|70|74|76|78|130|147|148|181||4|5|6|7|8|9|22|24|27|28|30|33|34|37|38|42|43|53|59|70|76|78|130|137|147|148|163|180|181||4|5|6|7|8|22|24|27|28|29|31|33|34|37|38|41|42|43|53|56|59|70|74|76|109|147|148|149|175||4|5|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|88|109|130|147|148|163|181
indian_pines,28,v9,0.0,0.822,0.82,0.797,5|6|8|9|19|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148|163|181||4|5|6|7|8|9|21|22|23|27|28|33|34|37|38|42|43|44|60|70|74|109|137|139|148|161|163|181||4|6|7|8|9|22|24|25|27|28|30|33|34|36|37|38|42|43|56|59|70|76|77|109|147|148|161|181||4|5|6|7|8|9|22|23|24|27|28|30|31|33|34|37|38|42|43|53|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|77|88|93|100|130|137|148|149|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|153|161|172|181||4|5|6|7|8|22|24|25|27|28|30|31|33|34|36|37|38|39|42|43|56|70|74|76|130|147|148|181||4|5|6|7|8|9|22|24|27|28|30|33|34|37|38|42|43|53|59|70|76|78|137|147|148|163|180|181||4|5|6|7|8|22|24|27|28|29|31|33|34|37|38|41|42|43|53|56|59|70|76|109|147|148|149|175||4|5|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|109|130|147|148|163|181
indian_pines,27,v9,0.0,0.821,0.823,0.796,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148|163|181||4|5|6|7|8|9|21|22|23|27|28|33|34|37|38|42|43|44|60|70|74|109|137|148|161|163|181||4|6|7|8|9|22|24|25|27|28|30|33|34|36|37|38|42|43|56|59|70|76|77|109|147|148|181||4|5|6|7|8|9|22|23|24|28|30|31|33|34|37|38|42|43|53|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|77|88|100|130|137|148|149|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|153|161|181||4|5|6|7|8|22|24|27|28|30|31|33|34|36|37|38|39|42|43|56|70|74|76|130|147|148|181||4|5|6|7|8|9|22|24|27|28|30|33|34|37|38|42|43|53|59|70|78|137|147|148|163|180|181||4|5|6|7|8|22|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|76|109|147|148|149|175||4|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|109|130|147|148|163|181
indian_pines,26,v9,0.0,0.817,0.818,0.792,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148|181||4|5|6|7|8|9|21|22|23|27|28|33|34|37|38|43|44|60|70|74|109|137|148|161|163|181||4|6|7|8|9|22|24|27|28|30|33|34|36|37|38|42|43|56|59|70|76|77|109|147|148|181||4|5|6|7|8|9|22|23|24|28|30|31|33|34|37|38|43|53|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|88|100|130|137|148|149|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|153|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|39|42|43|56|70|74|76|130|147|148|181||4|5|6|7|8|22|24|27|28|30|33|34|37|38|42|43|53|59|70|78|137|147|148|163|180|181||4|5|6|7|8|22|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|76|109|147|148|149||4|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|109|130|147|148|181
indian_pines,25,v9,0.0,0.813,0.812,0.787,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|44|70|74|76|100|109|120|147|148||4|5|6|7|8|21|22|23|27|28|33|34|37|38|43|44|60|70|74|109|137|148|161|163|181||4|6|7|8|9|22|24|27|28|30|33|34|36|37|38|42|43|56|59|70|76|77|147|148|181||4|5|6|7|8|9|22|23|24|28|30|31|33|34|37|38|43|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|88|130|137|148|149|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|60|70|74|101|130|148|149|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|70|74|76|130|147|148|181||4|5|6|7|8|22|24|27|28|30|33|34|37|38|42|43|53|59|70|137|147|148|163|180|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|76|109|147|148|149||4|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|59|70|74|78|109|130|148|181
indian_pines,24,v9,0.0,0.812,0.818,0.785,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|76|100|109|120|147|148||4|5|6|7|8|21|22|23|27|28|33|34|37|38|43|60|70|74|109|137|148|161|163|181||4|6|7|8|9|22|24|27|28|30|33|34|36|37|38|42|43|59|70|76|77|147|148|181||4|5|6|7|8|9|22|23|24|28|30|33|34|37|38|43|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|28|30|33|34|37|38|42|43|56|59|70|88|130|148|149|177|181||4|5|6|7|8|19|24|28|29|31|33|34|37|38|42|43|56|70|74|101|130|148|149|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|70|74|130|147|148|181||4|5|6|7|8|22|24|27|28|30|33|34|37|38|42|43|59|70|137|147|148|163|180|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|76|147|148|149||4|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|70|74|78|109|130|148|181
indian_pines,23,v9,0.0,0.811,0.819,0.785,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|100|109|120|147|148||4|5|6|7|8|21|22|23|27|28|33|34|37|38|43|60|70|109|137|148|161|163|181||4|6|7|8|9|22|24|27|28|30|33|34|36|37|38|43|59|70|76|77|147|148|181||4|5|6|7|8|9|22|23|24|28|33|34|37|38|43|56|70|76|130|147|149|163|181||4|6|7|8|22|24|27|30|33|34|37|38|42|43|56|59|70|88|130|148|149|177|181||4|5|6|7|8|24|28|29|31|33|34|37|38|42|43|56|70|74|101|130|148|149|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|70|130|147|148|181||4|5|6|7|8|22|24|27|28|30|33|34|37|38|42|43|59|70|137|147|148|180|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|147|148|149||4|6|7|8|9|19|22|24|27|28|30|33|34|37|38|42|43|70|74|78|109|148|181
indian_pines,22,v9,0.0,0.805,0.816,0.778,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|100|109|147|148||4|5|6|7|8|21|22|23|27|28|33|34|37|38|43|60|70|109|148|161|163|181||4|6|7|8|9|22|24|27|28|30|33|34|36|37|38|43|59|70|76|147|148|181||4|5|6|7|8|9|22|23|24|28|33|34|37|38|43|56|70|76|147|149|163|181||4|6|8|22|24|27|30|33|34|37|38|42|43|56|59|70|88|130|148|149|177|181||4|5|6|7|8|24|28|29|31|33|34|37|38|42|43|56|70|74|130|148|149|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|70|130|148|181||4|5|6|8|22|24|27|28|30|33|34|37|38|42|43|59|70|137|147|148|180|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|53|56|59|70|147|149||4|6|7|8|9|19|24|27|28|30|33|34|37|38|42|43|70|74|78|109|148|181
indian_pines,21,v9,0.0,0.794,0.8,0.765,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|100|147|148||5|6|7|8|21|22|23|27|28|33|34|37|38|43|60|70|109|148|161|163|181||4|6|7|8|22|24|27|28|30|33|34|36|37|38|43|59|70|76|147|148|181||4|5|6|7|8|22|23|24|28|33|34|37|38|43|56|70|76|147|149|163|181||4|6|8|22|24|27|30|33|34|37|38|43|56|59|70|88|130|148|149|177|181||4|5|6|7|8|24|28|29|31|33|34|37|38|42|43|56|74|130|148|149|181||4|5|6|7|8|22|24|27|28|30|31|33|34|37|38|42|43|56|70|148|181||4|5|6|8|22|24|27|28|30|33|34|37|38|42|43|59|70|147|148|180|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|53|59|70|147|149||4|6|7|8|19|24|27|28|30|33|34|37|38|42|43|70|74|78|109|148|181
