dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,zhang,176.16,0.813,0.796,0.786,3|4|6|8|13|16|18|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|175|176|183|189||2|3|5|6|8|10|16|19|23|32|51|54|57|102|109|120|122|125|127|134|139|148|159|164|169|170|174|178|187|189||4|5|6|7|8|9|13|16|19|24|26|29|38|41|46|65|109|113|122|125|132|134|159|160|164|169|178|189|191|197||0|5|6|7|9|10|14|16|19|20|23|24|26|29|30|41|57|65|113|120|122|139|159|162|165|167|169|172|176|189||4|5|6|8|9|10|14|16|24|26|29|46|48|65|68|84|107|115|122|132|146|159|162|169|170|174|178|179|186|189||3|5|6|7|8|13|16|18|28|30|44|46|60|63|65|109|113|120|122|125|134|139|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|32|36|56|65|69|73|109|111|122|136|146|147|156|160|169|171|181|183|189|191||1|3|5|6|8|9|10|16|17|19|23|24|26|30|38|46|68|120|122|125|132|139|155|159|166|169|179|181|189|191||1|3|4|6|7|8|15|16|19|24|26|43|52|59|65|120|122|125|128|136|139|157|159|169|174|178|181|183|184|186||4|6|7|8|10|13|16|19|20|24|26|29|43|46|51|105|112|118|120|122|125|127|134|162|166|167|169|176|183|189
indian_pines,29,zhang,0.0,0.81,0.796,0.783,3|4|6|8|13|16|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|175|176|183|189||2|3|5|6|8|10|16|19|23|32|51|54|57|102|109|120|122|125|127|134|148|159|164|169|170|174|178|187|189||4|5|6|7|8|9|13|16|19|24|26|29|38|41|46|65|109|113|122|125|132|159|160|164|169|178|189|191|197||0|5|6|7|9|10|14|16|19|20|23|24|26|29|41|57|65|113|120|122|139|159|162|165|167|169|172|176|189||4|5|6|8|9|10|14|16|24|26|29|46|48|65|68|84|107|115|122|132|146|159|162|169|170|174|179|186|189||3|5|6|7|8|13|16|18|28|30|44|46|60|63|65|109|120|122|125|134|139|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|32|56|65|69|73|109|111|122|136|146|147|156|160|169|171|181|183|189|191||1|3|5|6|8|9|10|16|17|19|23|24|26|30|38|46|68|120|122|125|132|139|155|159|166|169|179|189|191||1|3|4|6|7|8|15|16|19|24|26|43|59|65|120|122|125|128|136|139|157|159|169|174|178|181|183|184|186||4|6|7|8|10|13|16|19|20|24|26|29|43|46|51|112|118|120|122|125|127|134|162|166|167|169|176|183|189
indian_pines,28,zhang,0.0,0.81,0.794,0.783,3|4|6|8|13|16|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|176|183|189||2|3|5|6|8|10|16|19|23|32|51|54|57|102|109|120|122|125|127|134|148|159|164|170|174|178|187|189||4|5|6|7|8|9|13|16|19|24|26|29|38|41|46|109|113|122|125|132|159|160|164|169|178|189|191|197||0|5|6|7|9|10|14|16|19|20|23|24|26|29|41|57|65|113|120|122|139|159|162|167|169|172|176|189||4|5|6|8|9|10|14|16|24|26|29|46|65|68|84|107|115|122|132|146|159|162|169|170|174|179|186|189||3|5|6|7|8|16|18|28|30|44|46|60|63|65|109|120|122|125|134|139|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|32|56|65|69|73|109|111|122|136|146|156|160|169|171|181|183|189|191||1|3|5|6|8|10|16|17|19|23|24|26|30|38|46|68|120|122|125|132|139|155|159|166|169|179|189|191||1|3|4|6|7|8|16|19|24|26|43|59|65|120|122|125|128|136|139|157|159|169|174|178|181|183|184|186||4|6|7|8|10|13|16|19|20|26|29|43|46|51|112|118|120|122|125|127|134|162|166|167|169|176|183|189
indian_pines,27,zhang,0.0,0.809,0.799,0.782,3|4|6|8|13|16|19|26|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|176|183|189||2|3|5|6|8|10|16|19|23|32|51|54|57|102|109|120|122|125|127|134|159|164|170|174|178|187|189||4|5|6|7|8|9|13|16|19|24|26|29|38|41|46|109|113|122|125|132|159|164|169|178|189|191|197||0|5|6|7|9|10|14|16|19|20|23|24|26|29|41|57|65|113|120|122|139|159|167|169|172|176|189||4|5|6|8|9|10|14|16|24|26|29|46|65|68|84|107|115|122|132|146|159|162|169|174|179|186|189||3|5|6|7|8|16|18|28|30|44|46|63|65|109|120|122|125|134|139|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|32|56|65|69|73|109|111|122|136|146|156|160|169|171|181|183|189||1|3|5|6|8|10|16|17|19|23|24|26|30|46|68|120|122|125|132|139|155|159|166|169|179|189|191||1|3|4|6|7|8|16|19|24|26|43|59|65|120|122|125|128|136|139|157|159|169|174|178|181|183|186||4|6|7|8|10|13|16|19|20|26|29|43|46|51|112|118|120|122|127|134|162|166|167|169|176|183|189
indian_pines,26,zhang,0.0,0.807,0.788,0.779,3|4|6|8|13|16|19|26|29|30|40|46|63|68|120|122|132|134|139|151|159|165|169|176|183|189||2|5|6|8|10|16|19|23|32|51|54|57|102|109|120|122|125|127|134|159|164|170|174|178|187|189||4|5|7|8|9|13|16|19|24|26|29|38|41|46|109|113|122|125|132|159|164|169|178|189|191|197||0|5|6|7|9|10|14|16|19|20|23|24|29|41|57|65|113|120|122|139|159|167|169|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|115|122|132|146|159|162|169|174|179|186|189||3|5|6|7|8|16|18|28|30|44|46|63|65|109|120|122|125|134|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|56|65|69|73|109|111|122|136|146|156|160|169|171|181|183|189||1|3|5|6|8|10|16|17|19|23|24|26|30|46|68|120|122|125|132|139|155|159|166|169|189|191||1|3|4|6|7|8|16|19|24|26|43|59|65|120|122|125|128|136|157|159|169|174|178|181|183|186||4|6|7|8|10|13|16|19|20|26|29|43|46|51|112|118|120|122|127|162|166|167|169|176|183|189
indian_pines,25,zhang,0.0,0.81,0.793,0.783,3|4|6|8|13|16|19|29|30|40|46|63|68|120|122|132|134|139|151|159|165|169|176|183|189||2|5|6|8|10|16|19|23|32|51|54|57|102|109|122|125|127|134|159|164|170|174|178|187|189||4|5|7|8|9|13|16|19|24|26|29|38|41|46|109|113|122|125|132|159|164|169|178|189|197||0|5|6|7|9|10|14|16|19|20|23|24|29|41|57|65|113|120|122|159|167|169|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|115|122|132|159|162|169|174|179|186|189||3|5|6|7|8|16|18|28|30|46|63|65|109|120|122|125|134|157|159|160|168|172|187|192|197||3|4|5|6|7|8|13|16|19|29|56|65|69|73|109|111|122|136|156|160|169|171|181|183|189||1|3|5|6|8|10|16|17|19|24|26|30|46|68|120|122|125|132|139|155|159|166|169|189|191||1|3|4|6|7|8|16|19|24|26|43|59|65|120|122|125|136|157|159|169|174|178|181|183|186||4|6|7|8|10|13|16|20|26|29|43|46|51|112|118|120|122|127|162|166|167|169|176|183|189
indian_pines,24,zhang,0.0,0.804,0.79,0.776,3|4|6|8|13|16|19|29|30|40|46|63|120|122|132|134|139|151|159|165|169|176|183|189||2|5|6|8|10|16|19|23|32|51|54|57|102|109|122|125|127|159|164|170|174|178|187|189||4|5|7|8|9|13|16|19|26|29|38|41|46|109|113|122|125|132|159|164|169|178|189|197||0|5|6|7|9|10|14|16|19|20|23|24|29|41|57|65|120|122|159|167|169|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|115|122|132|162|169|174|179|186|189||3|5|6|7|8|16|18|28|30|46|63|109|120|122|125|134|157|159|160|168|172|187|192|197||4|5|6|7|8|13|16|19|29|56|65|69|73|109|111|122|136|156|160|169|171|181|183|189||1|3|5|6|8|10|16|17|19|24|26|30|68|120|122|125|132|139|155|159|166|169|189|191||1|3|4|6|7|8|16|19|24|26|43|59|65|120|122|136|157|159|169|174|178|181|183|186||4|6|7|8|10|13|16|20|26|29|43|46|51|112|118|120|122|127|166|167|169|176|183|189
indian_pines,23,zhang,0.0,0.803,0.79,0.775,3|4|6|8|13|16|19|29|30|40|46|63|120|122|132|139|151|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|57|102|109|122|125|127|159|164|170|174|178|187|189||4|5|7|8|9|13|16|19|26|29|38|41|46|109|122|125|132|159|164|169|178|189|197||0|5|6|7|10|14|16|19|20|23|24|29|41|57|65|120|122|159|167|169|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|122|132|162|169|174|179|186|189||3|5|6|7|8|16|18|28|30|46|63|109|120|122|125|134|157|159|160|168|172|192|197||4|5|6|7|8|13|16|19|29|56|65|69|73|109|111|122|136|156|160|169|171|183|189||1|3|5|6|8|10|16|17|19|24|26|30|68|120|122|125|132|139|159|166|169|189|191||1|3|4|6|7|8|16|19|26|43|59|65|120|122|136|157|159|169|174|178|181|183|186||4|6|7|8|10|13|16|20|26|29|43|46|51|112|118|120|122|166|167|169|176|183|189
indian_pines,22,zhang,0.0,0.802,0.785,0.774,3|4|6|8|13|16|19|29|30|40|46|63|122|132|139|151|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|57|109|122|125|127|159|164|170|174|178|187|189||4|5|7|8|9|13|16|19|26|29|38|41|46|109|122|125|132|159|169|178|189|197||0|5|6|7|10|14|16|19|20|23|24|29|41|57|65|120|122|159|167|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|122|132|162|169|179|186|189||3|5|6|7|8|16|18|28|30|46|63|109|120|122|134|157|159|160|168|172|192|197||4|5|6|7|8|13|16|19|29|56|65|69|73|109|122|136|156|160|169|171|183|189||3|5|6|8|10|16|17|19|24|26|30|68|120|122|125|132|139|159|166|169|189|191||1|3|4|6|7|8|16|19|26|43|59|65|120|122|136|157|159|169|174|178|181|186||4|6|7|8|10|13|16|20|26|29|43|46|112|118|120|122|166|167|169|176|183|189
indian_pines,21,zhang,0.0,0.798,0.78,0.769,3|4|6|8|13|16|19|29|30|40|46|63|122|132|139|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|57|109|122|125|127|159|164|170|178|187|189||4|5|7|8|13|16|19|26|29|38|41|46|109|122|125|132|159|169|178|189|197||0|5|6|7|10|14|16|19|23|24|29|41|57|65|120|122|159|167|172|176|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|122|132|162|169|179|189||5|6|7|8|16|18|28|30|46|63|109|120|122|134|157|159|160|168|172|192|197||4|5|6|7|8|13|16|19|29|56|65|69|73|109|122|156|160|169|171|183|189||3|5|6|8|10|16|17|19|24|26|30|120|122|125|132|139|159|166|169|189|191||1|3|4|6|7|8|16|19|26|43|59|65|120|122|157|159|169|174|178|181|186||4|6|7|8|10|13|16|20|26|29|43|46|112|120|122|166|167|169|176|183|189
