epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,1121.388,99.645134,0.01,0,0,1122.384,0,0,0,0,0,0,0.698,0.617,0.655,0.412,0.584,0.498,0.412,0.584,0.498,200,200,117|195|4|0|68|103|5|148|102|48|33|8|35|110|40|22|51|6|105|149|152|111|168|31|9|125|177|187|84|98,0.584|0.583|0.578|0.575|0.572|0.566|0.566|0.564|0.563|0.558|0.556|0.553|0.548|0.548|0.548|0.548|0.547|0.547|0.547|0.544|0.543|0.54|0.538|0.538|0.536|0.536|0.536|0.535|0.535|0.533,0.575,0.533,0.469,0.517,0.578,0.566,0.547,0.476,0.553,0.536,0.522,0.5,0.441,0.499,0.457,0.482,0.486,0.466,0.495,0.495,0.46,0.495,0.548,0.513,0.504,0.529,0.512,0.456,0.479,0.493,0.51,0.538,0.459,0.556,0.475,0.548,0.48,0.531,0.517,0.49,0.548,0.464,0.479,0.496,0.493,0.47,0.511,0.495,0.558,0.44,0.449,0.547,0.454,0.532,0.467,0.51,0.49,0.509,0.497,0.442,0.532,0.492,0.483,0.501,0.497,0.466,0.5,0.518,0.572,0.463,0.487,0.532,0.52,0.464,0.519,0.443,0.481,0.429,0.497,0.501,0.508,0.527,0.511,0.486,0.535,0.495,0.505,0.478,0.48,0.526,0.479,0.52,0.501,0.53,0.503,0.427,0.516,0.492,0.533,0.442,0.465,0.505,0.563,0.566,0.455,0.547,0.519,0.487,0.455,0.523,0.548,0.54,0.531,0.515,0.458,0.461,0.412,0.584,0.478,0.504,0.474,0.466,0.473,0.474,0.48,0.536,0.504,0.425,0.483,0.504,0.483,0.463,0.488,0.51,0.484,0.464,0.474,0.495,0.519,0.456,0.523,0.511,0.517,0.428,0.511,0.5,0.532,0.453,0.564,0.544,0.499,0.52,0.543,0.469,0.505,0.509,0.447,0.447,0.462,0.503,0.511,0.504,0.493,0.528,0.486,0.514,0.487,0.478,0.538,0.515,0.441,0.502,0.515,0.524,0.474,0.492,0.511,0.536,0.482,0.482,0.5,0.499,0.518,0.507,0.49,0.435,0.471,0.535,0.435,0.481,0.53,0.488,0.506,0.487,0.49,0.583,0.481,0.476,0.485,0.453
10,314.086,99.0722885,0.01,0,0,315.077,0,0,0,0,0,0,0.72,0.679,0.68,0.399,0.581,0.495,0.399,0.581,0.495,200,200,195|117|148|68|5|187|149|168|40|190|60|165|102|31|67|4|51|9|48|169|46|182|125|109|146|35|152|172|105|183,0.581|0.58|0.575|0.574|0.572|0.559|0.554|0.552|0.552|0.551|0.551|0.55|0.549|0.549|0.547|0.547|0.546|0.544|0.543|0.543|0.543|0.543|0.542|0.54|0.54|0.539|0.537|0.536|0.536|0.535,0.495,0.52,0.48,0.505,0.547,0.572,0.524,0.445,0.521,0.544,0.511,0.475,0.435,0.47,0.467,0.478,0.48,0.45,0.509,0.456,0.443,0.468,0.517,0.494,0.495,0.506,0.493,0.456,0.482,0.482,0.531,0.549,0.467,0.528,0.44,0.539,0.474,0.526,0.487,0.48,0.552,0.471,0.501,0.499,0.496,0.447,0.543,0.529,0.543,0.45,0.41,0.546,0.477,0.527,0.492,0.51,0.496,0.509,0.502,0.451,0.551,0.482,0.507,0.514,0.509,0.482,0.53,0.547,0.574,0.493,0.496,0.526,0.513,0.476,0.515,0.425,0.471,0.441,0.504,0.503,0.501,0.519,0.506,0.465,0.523,0.491,0.487,0.45,0.476,0.506,0.486,0.518,0.494,0.515,0.498,0.409,0.518,0.485,0.534,0.443,0.47,0.514,0.549,0.522,0.439,0.536,0.504,0.48,0.485,0.54,0.522,0.524,0.531,0.492,0.46,0.438,0.403,0.58,0.463,0.505,0.447,0.46,0.464,0.486,0.488,0.542,0.507,0.437,0.467,0.512,0.48,0.449,0.474,0.501,0.485,0.484,0.495,0.482,0.501,0.451,0.525,0.526,0.525,0.399,0.482,0.47,0.54,0.433,0.575,0.554,0.477,0.531,0.537,0.456,0.487,0.529,0.449,0.472,0.473,0.498,0.504,0.528,0.501,0.521,0.506,0.55,0.521,0.489,0.552,0.543,0.436,0.504,0.536,0.499,0.456,0.518,0.528,0.522,0.466,0.48,0.49,0.534,0.543,0.535,0.467,0.421,0.437,0.559,0.448,0.482,0.551,0.501,0.472,0.471,0.508,0.581,0.478,0.455,0.467,0.426
20,268.573,98.4645844,0.01,0,0,269.558,0,0,0,0,0,0,0.746,0.679,0.711,0.394,0.581,0.492,0.394,0.581,0.492,200,200,117|195|148|68|165|60|168|67|187|149|5|46|51|125|169|40|190|152|109|31|183|102|9|176|35|172|30|112|48|47,0.581|0.571|0.57|0.57|0.566|0.562|0.561|0.56|0.56|0.559|0.558|0.556|0.551|0.551|0.55|0.55|0.549|0.549|0.548|0.548|0.544|0.541|0.54|0.539|0.539|0.538|0.537|0.535|0.535|0.535,0.495,0.503,0.458,0.498,0.52,0.558,0.514,0.444,0.513,0.54,0.501,0.461,0.428,0.468,0.47,0.476,0.468,0.437,0.497,0.443,0.43,0.459,0.503,0.488,0.488,0.492,0.482,0.456,0.475,0.482,0.537,0.548,0.453,0.514,0.429,0.539,0.473,0.516,0.481,0.473,0.55,0.465,0.505,0.499,0.495,0.442,0.556,0.535,0.535,0.455,0.394,0.551,0.47,0.532,0.487,0.509,0.5,0.504,0.504,0.447,0.562,0.474,0.511,0.519,0.517,0.49,0.53,0.56,0.57,0.495,0.488,0.514,0.506,0.481,0.524,0.429,0.472,0.432,0.515,0.498,0.497,0.517,0.501,0.468,0.516,0.494,0.482,0.451,0.462,0.501,0.482,0.517,0.498,0.51,0.502,0.399,0.518,0.487,0.533,0.436,0.471,0.515,0.541,0.521,0.438,0.525,0.494,0.473,0.486,0.548,0.514,0.511,0.535,0.487,0.452,0.44,0.397,0.581,0.462,0.501,0.445,0.464,0.45,0.491,0.492,0.551,0.512,0.432,0.475,0.52,0.477,0.44,0.477,0.498,0.481,0.487,0.488,0.465,0.492,0.452,0.526,0.533,0.528,0.399,0.468,0.456,0.531,0.428,0.57,0.559,0.475,0.521,0.549,0.454,0.489,0.532,0.446,0.474,0.462,0.501,0.505,0.522,0.503,0.513,0.506,0.566,0.517,0.489,0.561,0.55,0.434,0.506,0.538,0.481,0.445,0.521,0.539,0.51,0.466,0.475,0.478,0.529,0.532,0.544,0.467,0.413,0.43,0.56,0.447,0.479,0.549,0.497,0.462,0.467,0.508,0.571,0.474,0.439,0.452,0.432
30,203.556,98.1248016,0.01,0,0,204.537,0,0,0,0,0,0,0.731,0.665,0.693,0.385,0.581,0.491,0.385,0.581,0.491,200,200,117|67|165|68|60|168|195|46|148|187|149|125|152|40|169|109|51|5|31|190|183|172|176|30|141|112|47|102|9|98,0.581|0.568|0.566|0.565|0.562|0.562|0.56|0.559|0.559|0.558|0.556|0.555|0.551|0.55|0.55|0.549|0.549|0.549|0.544|0.543|0.542|0.541|0.541|0.538|0.537|0.537|0.536|0.534|0.532|0.532,0.494,0.494,0.443,0.499,0.51,0.549,0.513,0.45,0.517,0.532,0.492,0.447,0.424,0.466,0.474,0.479,0.465,0.436,0.485,0.435,0.423,0.46,0.504,0.483,0.488,0.483,0.476,0.451,0.479,0.484,0.538,0.544,0.446,0.509,0.432,0.53,0.47,0.513,0.478,0.466,0.55,0.472,0.497,0.498,0.504,0.437,0.559,0.536,0.526,0.456,0.385,0.549,0.473,0.53,0.481,0.51,0.498,0.505,0.507,0.45,0.562,0.474,0.513,0.517,0.514,0.485,0.53,0.568,0.565,0.492,0.481,0.508,0.506,0.485,0.525,0.422,0.478,0.425,0.514,0.496,0.499,0.513,0.498,0.474,0.517,0.494,0.483,0.451,0.458,0.5,0.48,0.521,0.498,0.507,0.501,0.396,0.516,0.489,0.532,0.432,0.471,0.518,0.534,0.521,0.434,0.518,0.495,0.475,0.487,0.549,0.514,0.502,0.537,0.492,0.453,0.45,0.395,0.581,0.468,0.5,0.445,0.472,0.451,0.493,0.496,0.555,0.514,0.432,0.472,0.524,0.483,0.433,0.473,0.495,0.48,0.484,0.48,0.462,0.492,0.458,0.53,0.537,0.525,0.399,0.469,0.445,0.528,0.423,0.559,0.556,0.477,0.508,0.551,0.455,0.49,0.527,0.45,0.473,0.462,0.497,0.504,0.518,0.5,0.514,0.512,0.566,0.514,0.486,0.562,0.55,0.432,0.505,0.541,0.475,0.446,0.524,0.541,0.503,0.466,0.474,0.472,0.522,0.525,0.542,0.468,0.407,0.435,0.558,0.45,0.471,0.543,0.488,0.458,0.468,0.499,0.56,0.461,0.436,0.443,0.434
40,139.812,97.94841,0.01,0,0,140.791,0,0,0,0,0,0,0.746,0.679,0.71,0.385,0.58,0.49,0.385,0.58,0.49,200,200,117|165|67|60|46|168|125|68|195|148|187|152|40|149|172|169|109|183|176|31|51|47|5|141|30|102|112|190|129|35,0.58|0.573|0.573|0.568|0.567|0.561|0.56|0.556|0.555|0.554|0.554|0.553|0.551|0.548|0.547|0.546|0.546|0.546|0.544|0.543|0.543|0.542|0.542|0.538|0.537|0.536|0.535|0.534|0.533|0.532,0.492,0.485,0.438,0.497,0.506,0.542,0.518,0.456,0.517,0.527,0.486,0.445,0.418,0.47,0.48,0.478,0.464,0.436,0.482,0.427,0.42,0.454,0.501,0.475,0.484,0.48,0.476,0.446,0.472,0.485,0.537,0.543,0.445,0.507,0.43,0.532,0.465,0.501,0.474,0.459,0.551,0.474,0.493,0.495,0.501,0.437,0.567,0.542,0.519,0.462,0.385,0.543,0.472,0.529,0.479,0.507,0.497,0.508,0.508,0.452,0.568,0.474,0.512,0.517,0.514,0.491,0.526,0.573,0.556,0.494,0.478,0.508,0.506,0.485,0.527,0.423,0.478,0.421,0.511,0.49,0.5,0.514,0.495,0.479,0.519,0.49,0.488,0.449,0.451,0.498,0.483,0.521,0.495,0.504,0.502,0.389,0.515,0.488,0.531,0.427,0.472,0.524,0.536,0.517,0.438,0.515,0.491,0.481,0.485,0.546,0.519,0.502,0.535,0.488,0.453,0.453,0.4,0.58,0.467,0.498,0.443,0.475,0.454,0.491,0.501,0.56,0.517,0.434,0.473,0.533,0.484,0.434,0.47,0.496,0.483,0.486,0.481,0.458,0.492,0.452,0.527,0.538,0.522,0.404,0.467,0.445,0.524,0.426,0.554,0.548,0.477,0.501,0.553,0.459,0.495,0.525,0.453,0.476,0.467,0.498,0.504,0.512,0.497,0.509,0.51,0.573,0.506,0.487,0.561,0.546,0.437,0.506,0.547,0.468,0.447,0.523,0.544,0.502,0.468,0.473,0.467,0.519,0.523,0.546,0.472,0.403,0.437,0.554,0.451,0.466,0.534,0.484,0.458,0.468,0.494,0.555,0.45,0.431,0.437,0.44
50,126.293,97.6031113,0.01,0,0,127.269,0,0,0,0,0,0,0.732,0.67,0.694,0.379,0.578,0.488,0.379,0.578,0.488,200,200,165|117|67|60|46|168|125|148|152|172|40|187|68|149|195|109|169|176|183|47|141|5|31|51|102|30|53|129|112|98,0.578|0.577|0.572|0.567|0.567|0.559|0.558|0.551|0.55|0.55|0.549|0.549|0.549|0.549|0.548|0.547|0.546|0.545|0.545|0.543|0.542|0.54|0.539|0.538|0.537|0.534|0.533|0.531|0.53|0.529,0.491,0.482,0.438,0.489,0.497,0.54,0.516,0.458,0.512,0.529,0.487,0.436,0.418,0.471,0.477,0.475,0.46,0.428,0.477,0.419,0.419,0.448,0.497,0.474,0.482,0.479,0.468,0.448,0.467,0.488,0.534,0.539,0.435,0.506,0.426,0.528,0.465,0.498,0.473,0.456,0.549,0.471,0.49,0.494,0.502,0.436,0.567,0.543,0.515,0.464,0.379,0.538,0.467,0.533,0.475,0.502,0.495,0.509,0.509,0.45,0.567,0.472,0.513,0.514,0.513,0.487,0.522,0.572,0.549,0.494,0.473,0.51,0.501,0.484,0.528,0.416,0.475,0.42,0.51,0.492,0.503,0.507,0.494,0.479,0.516,0.484,0.483,0.45,0.453,0.49,0.48,0.515,0.498,0.496,0.501,0.38,0.514,0.485,0.529,0.423,0.476,0.524,0.537,0.512,0.436,0.509,0.484,0.484,0.487,0.547,0.515,0.497,0.53,0.488,0.452,0.448,0.4,0.577,0.47,0.503,0.44,0.472,0.458,0.491,0.506,0.558,0.52,0.436,0.476,0.531,0.487,0.432,0.47,0.5,0.475,0.488,0.48,0.452,0.488,0.451,0.528,0.542,0.52,0.409,0.47,0.441,0.522,0.427,0.551,0.549,0.471,0.496,0.55,0.457,0.493,0.527,0.452,0.473,0.468,0.497,0.504,0.51,0.492,0.503,0.511,0.578,0.506,0.486,0.559,0.546,0.434,0.507,0.55,0.464,0.441,0.521,0.545,0.508,0.465,0.467,0.468,0.521,0.522,0.545,0.47,0.401,0.438,0.549,0.451,0.461,0.529,0.483,0.457,0.468,0.498,0.548,0.447,0.425,0.434,0.442
60,132.476,97.4468689,0.01,0,0,133.451,0,0,0,0,0,0,0.725,0.668,0.686,0.373,0.58,0.487,0.373,0.58,0.487,200,200,165|117|67|60|46|125|168|68|187|40|152|149|195|148|183|141|172|109|51|169|102|47|176|30|5|31|129|53|98|74,0.58|0.579|0.578|0.574|0.573|0.556|0.553|0.553|0.55|0.549|0.548|0.548|0.547|0.546|0.546|0.545|0.545|0.544|0.542|0.542|0.541|0.54|0.539|0.535|0.534|0.532|0.532|0.53|0.528|0.528,0.477,0.475,0.431,0.488,0.501,0.534,0.513,0.459,0.515,0.524,0.484,0.44,0.409,0.468,0.472,0.473,0.467,0.432,0.479,0.413,0.423,0.446,0.49,0.47,0.481,0.479,0.473,0.448,0.471,0.485,0.535,0.532,0.438,0.504,0.431,0.523,0.463,0.498,0.473,0.454,0.549,0.474,0.488,0.491,0.499,0.442,0.573,0.54,0.513,0.456,0.373,0.542,0.461,0.53,0.472,0.498,0.495,0.508,0.515,0.45,0.574,0.469,0.511,0.514,0.515,0.491,0.522,0.578,0.553,0.492,0.463,0.504,0.509,0.479,0.528,0.413,0.465,0.418,0.51,0.492,0.497,0.504,0.494,0.478,0.513,0.485,0.485,0.454,0.447,0.492,0.479,0.513,0.499,0.502,0.505,0.383,0.511,0.477,0.528,0.421,0.48,0.524,0.541,0.507,0.436,0.5,0.486,0.482,0.48,0.544,0.513,0.504,0.525,0.495,0.452,0.448,0.408,0.579,0.463,0.5,0.439,0.472,0.458,0.492,0.504,0.556,0.523,0.438,0.48,0.532,0.494,0.431,0.472,0.506,0.469,0.481,0.48,0.461,0.494,0.445,0.523,0.545,0.518,0.417,0.477,0.438,0.52,0.428,0.546,0.548,0.471,0.496,0.548,0.459,0.495,0.519,0.46,0.469,0.46,0.494,0.51,0.506,0.488,0.503,0.509,0.58,0.497,0.493,0.553,0.542,0.436,0.516,0.545,0.465,0.449,0.518,0.539,0.506,0.469,0.468,0.465,0.517,0.52,0.546,0.474,0.396,0.439,0.55,0.45,0.463,0.521,0.485,0.449,0.461,0.489,0.547,0.448,0.423,0.437,0.439
70,83.697,97.342453,0.01,0,0,84.67,0,0,0,0,0,0,0.72,0.662,0.681,0.376,0.581,0.487,0.376,0.581,0.487,200,200,165|117|67|60|46|125|168|152|40|68|187|141|172|195|109|47|149|148|183|176|169|51|102|129|30|31|5|126|74|53,0.581|0.581|0.58|0.572|0.568|0.558|0.555|0.551|0.55|0.549|0.548|0.547|0.546|0.545|0.544|0.543|0.542|0.541|0.54|0.54|0.539|0.538|0.538|0.536|0.535|0.535|0.534|0.531|0.531|0.53,0.482,0.472,0.431,0.487,0.498,0.534,0.509,0.458,0.514,0.521,0.484,0.434,0.41,0.466,0.476,0.475,0.467,0.432,0.476,0.411,0.422,0.444,0.485,0.464,0.479,0.476,0.471,0.446,0.469,0.484,0.535,0.535,0.439,0.504,0.43,0.523,0.459,0.49,0.469,0.445,0.55,0.476,0.485,0.493,0.503,0.437,0.568,0.543,0.515,0.46,0.376,0.538,0.466,0.53,0.472,0.495,0.49,0.507,0.517,0.454,0.572,0.475,0.513,0.513,0.509,0.484,0.522,0.58,0.549,0.494,0.463,0.5,0.51,0.484,0.531,0.414,0.468,0.411,0.51,0.49,0.498,0.504,0.492,0.477,0.52,0.486,0.486,0.453,0.453,0.484,0.484,0.512,0.494,0.5,0.502,0.378,0.507,0.479,0.524,0.419,0.474,0.524,0.538,0.514,0.438,0.504,0.48,0.481,0.482,0.544,0.517,0.503,0.526,0.49,0.456,0.447,0.415,0.581,0.471,0.502,0.437,0.478,0.457,0.487,0.508,0.558,0.531,0.438,0.476,0.536,0.49,0.431,0.47,0.497,0.473,0.485,0.481,0.454,0.491,0.448,0.523,0.547,0.519,0.413,0.484,0.435,0.521,0.425,0.541,0.542,0.475,0.489,0.551,0.463,0.491,0.523,0.462,0.472,0.468,0.497,0.509,0.509,0.488,0.498,0.513,0.581,0.499,0.49,0.555,0.539,0.436,0.511,0.546,0.46,0.447,0.515,0.54,0.498,0.471,0.461,0.465,0.515,0.52,0.54,0.468,0.391,0.439,0.548,0.458,0.458,0.521,0.48,0.45,0.464,0.488,0.545,0.442,0.423,0.441,0.438
80,133.106,97.1251907,0.01,0,0,134.077,0,0,0,0,0,0,0.719,0.659,0.68,0.369,0.584,0.486,0.369,0.584,0.486,200,200,165|117|67|46|60|125|168|141|152|172|40|47|195|68|176|187|149|148|102|109|169|30|183|53|51|129|31|126|5|155,0.584|0.581|0.578|0.567|0.564|0.559|0.554|0.551|0.548|0.548|0.546|0.546|0.544|0.542|0.542|0.541|0.541|0.539|0.539|0.538|0.537|0.537|0.536|0.535|0.534|0.533|0.531|0.529|0.527|0.527,0.477,0.473,0.433,0.485,0.495,0.527,0.509,0.462,0.519,0.52,0.487,0.439,0.407,0.472,0.474,0.475,0.468,0.43,0.47,0.403,0.42,0.438,0.487,0.459,0.475,0.472,0.471,0.449,0.464,0.483,0.537,0.531,0.434,0.501,0.431,0.519,0.458,0.49,0.47,0.443,0.546,0.478,0.482,0.491,0.498,0.432,0.567,0.546,0.51,0.457,0.369,0.534,0.467,0.535,0.472,0.49,0.491,0.506,0.515,0.455,0.564,0.474,0.515,0.509,0.513,0.482,0.521,0.578,0.542,0.492,0.457,0.497,0.504,0.485,0.525,0.419,0.469,0.414,0.509,0.488,0.503,0.5,0.49,0.474,0.521,0.484,0.484,0.448,0.454,0.481,0.487,0.518,0.496,0.495,0.498,0.375,0.506,0.476,0.522,0.417,0.474,0.518,0.539,0.51,0.436,0.499,0.475,0.482,0.485,0.538,0.517,0.498,0.525,0.489,0.457,0.448,0.412,0.581,0.47,0.51,0.435,0.48,0.458,0.489,0.518,0.559,0.529,0.436,0.48,0.533,0.496,0.425,0.466,0.499,0.472,0.487,0.48,0.451,0.489,0.443,0.52,0.551,0.515,0.42,0.487,0.438,0.524,0.428,0.539,0.541,0.466,0.488,0.548,0.464,0.489,0.527,0.455,0.473,0.465,0.495,0.508,0.511,0.484,0.498,0.513,0.584,0.501,0.489,0.554,0.537,0.433,0.511,0.548,0.454,0.446,0.52,0.542,0.5,0.472,0.464,0.461,0.515,0.516,0.536,0.469,0.391,0.436,0.541,0.456,0.455,0.514,0.477,0.447,0.462,0.493,0.544,0.435,0.418,0.436,0.446
90,123.451,97.0636292,0.01,0,0,124.422,0,0,0,0,0,0,0.733,0.67,0.696,0.364,0.582,0.485,0.364,0.582,0.485,200,200,165|117|67|60|46|125|141|168|172|68|40|47|152|195|187|109|149|176|129|102|169|183|148|30|53|126|51|31|5|112,0.582|0.581|0.58|0.569|0.565|0.557|0.554|0.552|0.551|0.548|0.546|0.545|0.544|0.544|0.543|0.541|0.54|0.539|0.539|0.538|0.538|0.538|0.537|0.533|0.532|0.531|0.53|0.528|0.528|0.526,0.475,0.472,0.431,0.487,0.495,0.528,0.502,0.46,0.518,0.515,0.481,0.438,0.408,0.471,0.472,0.474,0.469,0.431,0.474,0.403,0.423,0.443,0.48,0.46,0.479,0.473,0.472,0.446,0.467,0.484,0.533,0.528,0.428,0.504,0.431,0.517,0.455,0.49,0.461,0.441,0.546,0.479,0.482,0.486,0.504,0.434,0.565,0.545,0.511,0.459,0.364,0.53,0.465,0.532,0.471,0.486,0.486,0.506,0.515,0.453,0.569,0.471,0.511,0.508,0.516,0.483,0.521,0.58,0.548,0.493,0.454,0.496,0.51,0.483,0.524,0.416,0.467,0.411,0.513,0.486,0.509,0.499,0.492,0.475,0.521,0.48,0.485,0.453,0.452,0.485,0.49,0.516,0.494,0.498,0.499,0.382,0.506,0.477,0.521,0.414,0.478,0.519,0.538,0.51,0.437,0.493,0.477,0.483,0.485,0.541,0.516,0.503,0.526,0.489,0.459,0.45,0.411,0.581,0.471,0.507,0.434,0.479,0.462,0.492,0.516,0.557,0.531,0.444,0.476,0.539,0.497,0.425,0.464,0.498,0.472,0.483,0.474,0.458,0.494,0.443,0.519,0.554,0.509,0.422,0.493,0.435,0.517,0.423,0.537,0.54,0.471,0.482,0.544,0.463,0.489,0.52,0.459,0.47,0.469,0.493,0.506,0.507,0.483,0.496,0.513,0.582,0.5,0.487,0.552,0.538,0.439,0.513,0.551,0.454,0.451,0.519,0.539,0.498,0.472,0.46,0.466,0.513,0.514,0.538,0.465,0.383,0.441,0.543,0.457,0.454,0.511,0.473,0.444,0.464,0.483,0.544,0.435,0.414,0.442,0.447
