epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102
0,1162.028,51.5637283,0.01,0,0,1162.543,0,0,0,0,0,0,0.907,0.874,0.877,0.411,0.609,0.501,0.411,0.609,0.501,103,103,53|49|35|83|63|54|100|96|29|8|15|55|87|16|51|81|85|101|52|84|47|71|32|30|80|22|39|28|91|45,0.609|0.601|0.582|0.575|0.569|0.564|0.56|0.558|0.556|0.555|0.551|0.549|0.544|0.544|0.538|0.537|0.537|0.537|0.534|0.532|0.531|0.53|0.527|0.527|0.524|0.523|0.522|0.522|0.521|0.521,0.505,0.472,0.488,0.496,0.462,0.478,0.488,0.487,0.555,0.479,0.515,0.512,0.497,0.484,0.496,0.551,0.544,0.456,0.485,0.492,0.471,0.481,0.523,0.446,0.458,0.49,0.411,0.509,0.522,0.556,0.527,0.503,0.527,0.465,0.513,0.582,0.466,0.501,0.462,0.522,0.479,0.455,0.498,0.506,0.496,0.521,0.452,0.531,0.495,0.601,0.467,0.538,0.534,0.609,0.564,0.549,0.492,0.492,0.496,0.456,0.482,0.468,0.472,0.569,0.46,0.484,0.49,0.496,0.444,0.482,0.503,0.53,0.459,0.468,0.488,0.489,0.483,0.512,0.444,0.509,0.524,0.537,0.472,0.575,0.532,0.537,0.506,0.544,0.513,0.504,0.441,0.521,0.498,0.501,0.478,0.477,0.558,0.467,0.455,0.472,0.56,0.537,0.512
10,192.151,49.5816422,0.01,0,0,192.646,0,0,0,0,0,0,0.911,0.876,0.881,0.371,0.605,0.481,0.371,0.605,0.481,103,103,83|53|16|49|88|55|85|87|15|35|22|89|79|32|52|54|57|56|71|81|100|96|93|8|39|14|94|69|84|77,0.605|0.595|0.589|0.574|0.549|0.548|0.548|0.544|0.544|0.543|0.54|0.539|0.537|0.536|0.532|0.524|0.523|0.522|0.521|0.518|0.516|0.516|0.514|0.513|0.51|0.509|0.509|0.506|0.505|0.503,0.424,0.388,0.395,0.483,0.392,0.442,0.463,0.475,0.513,0.462,0.489,0.48,0.485,0.496,0.509,0.544,0.589,0.455,0.487,0.426,0.466,0.496,0.54,0.497,0.457,0.442,0.41,0.467,0.455,0.481,0.499,0.449,0.536,0.444,0.497,0.543,0.436,0.481,0.464,0.51,0.488,0.455,0.472,0.494,0.473,0.491,0.436,0.464,0.488,0.574,0.473,0.491,0.532,0.595,0.524,0.548,0.522,0.523,0.48,0.433,0.402,0.39,0.405,0.498,0.442,0.428,0.398,0.501,0.442,0.506,0.454,0.521,0.435,0.466,0.48,0.469,0.46,0.503,0.371,0.537,0.477,0.518,0.482,0.605,0.505,0.548,0.467,0.544,0.549,0.539,0.429,0.497,0.477,0.514,0.509,0.482,0.516,0.5,0.472,0.464,0.516,0.476,0.466
20,47.701,48.614624,0.01,0,0,48.187,0,0,0,0,0,0,0.909,0.877,0.879,0.36,0.618,0.472,0.36,0.618,0.472,103,103,83|53|16|49|88|55|35|52|85|89|79|32|57|15|87|22|100|93|56|94|71|96|81|54|39|69|84|14|67|18,0.618|0.604|0.588|0.58|0.561|0.546|0.543|0.538|0.538|0.538|0.537|0.536|0.535|0.534|0.529|0.527|0.526|0.524|0.515|0.514|0.514|0.508|0.507|0.506|0.504|0.502|0.502|0.502|0.499|0.496,0.404,0.363,0.37,0.456,0.36,0.43,0.45,0.463,0.482,0.449,0.473,0.459,0.473,0.483,0.502,0.534,0.588,0.446,0.496,0.418,0.452,0.481,0.527,0.486,0.445,0.413,0.393,0.451,0.434,0.466,0.493,0.415,0.536,0.44,0.491,0.543,0.414,0.47,0.444,0.504,0.482,0.447,0.465,0.475,0.457,0.483,0.425,0.459,0.46,0.58,0.459,0.47,0.538,0.604,0.506,0.546,0.515,0.535,0.47,0.433,0.385,0.368,0.386,0.478,0.429,0.402,0.381,0.499,0.445,0.502,0.432,0.514,0.437,0.463,0.481,0.47,0.437,0.491,0.371,0.537,0.46,0.507,0.479,0.618,0.502,0.538,0.458,0.529,0.561,0.538,0.434,0.482,0.47,0.524,0.514,0.475,0.508,0.495,0.481,0.464,0.526,0.475,0.461
30,34.522,48.0640678,0.01,0,0,35.002,0,0,0,0,0,0,0.911,0.878,0.882,0.347,0.614,0.467,0.347,0.614,0.467,103,103,83|53|49|16|88|55|35|89|32|79|52|57|85|15|87|93|22|100|71|56|84|81|96|94|39|69|67|18|14|97,0.614|0.605|0.58|0.577|0.571|0.547|0.545|0.541|0.54|0.538|0.533|0.533|0.531|0.531|0.528|0.524|0.516|0.516|0.515|0.515|0.512|0.511|0.509|0.508|0.505|0.504|0.501|0.5|0.495|0.495,0.396,0.359,0.349,0.445,0.347,0.429,0.434,0.458,0.471,0.442,0.467,0.448,0.476,0.459,0.495,0.531,0.577,0.451,0.5,0.406,0.446,0.463,0.516,0.481,0.433,0.402,0.38,0.433,0.427,0.455,0.488,0.403,0.54,0.424,0.481,0.545,0.407,0.462,0.436,0.505,0.477,0.446,0.453,0.472,0.429,0.467,0.422,0.455,0.458,0.58,0.445,0.465,0.533,0.605,0.495,0.547,0.515,0.533,0.468,0.433,0.385,0.352,0.396,0.475,0.428,0.392,0.39,0.501,0.447,0.504,0.426,0.515,0.434,0.455,0.482,0.468,0.43,0.48,0.375,0.538,0.457,0.511,0.468,0.614,0.512,0.531,0.445,0.528,0.571,0.541,0.431,0.475,0.459,0.524,0.508,0.462,0.509,0.495,0.466,0.465,0.516,0.477,0.461
40,36.735,47.4494591,0.01,0,0,37.21,0,0,0,0,0,0,0.91,0.876,0.88,0.33,0.617,0.461,0.33,0.617,0.461,103,103,83|53|16|49|88|32|55|57|79|89|87|15|35|100|52|84|93|85|71|94|56|96|69|22|81|39|18|54|97|77,0.617|0.6|0.593|0.58|0.574|0.554|0.549|0.543|0.542|0.54|0.536|0.536|0.535|0.532|0.529|0.521|0.521|0.521|0.517|0.514|0.508|0.507|0.507|0.505|0.502|0.5|0.5|0.498|0.493|0.487,0.387,0.34,0.33,0.427,0.331,0.415,0.419,0.456,0.449,0.434,0.466,0.425,0.442,0.448,0.483,0.536,0.593,0.446,0.5,0.388,0.437,0.452,0.505,0.47,0.432,0.389,0.377,0.428,0.423,0.441,0.485,0.393,0.554,0.422,0.474,0.535,0.389,0.445,0.423,0.5,0.46,0.444,0.447,0.474,0.418,0.465,0.42,0.444,0.436,0.58,0.447,0.462,0.529,0.6,0.498,0.549,0.508,0.543,0.464,0.428,0.372,0.332,0.381,0.467,0.416,0.364,0.365,0.486,0.438,0.507,0.416,0.517,0.422,0.453,0.48,0.481,0.433,0.487,0.39,0.542,0.449,0.502,0.474,0.617,0.521,0.521,0.433,0.536,0.574,0.54,0.427,0.469,0.447,0.521,0.514,0.459,0.507,0.493,0.464,0.468,0.532,0.482,0.45
50,39.548,47.0886154,0.01,0,0,40.019,0,0,0,0,0,0,0.906,0.871,0.875,0.326,0.603,0.457,0.326,0.603,0.457,103,103,83|53|16|49|88|55|32|15|57|89|87|79|52|84|35|94|100|85|93|71|69|96|56|81|77|30|22|97|39|67,0.603|0.601|0.58|0.577|0.57|0.549|0.548|0.54|0.539|0.539|0.536|0.532|0.531|0.526|0.526|0.525|0.524|0.518|0.515|0.512|0.505|0.505|0.5|0.499|0.493|0.492|0.491|0.491|0.488|0.487,0.387,0.34,0.334,0.416,0.338,0.407,0.397,0.447,0.45,0.444,0.457,0.432,0.434,0.437,0.469,0.54,0.58,0.453,0.487,0.389,0.433,0.429,0.491,0.45,0.424,0.387,0.376,0.413,0.428,0.43,0.492,0.389,0.548,0.41,0.478,0.526,0.388,0.441,0.419,0.488,0.449,0.438,0.44,0.472,0.415,0.464,0.41,0.449,0.434,0.577,0.44,0.472,0.531,0.601,0.479,0.549,0.5,0.539,0.466,0.436,0.366,0.326,0.374,0.469,0.414,0.363,0.365,0.487,0.427,0.505,0.414,0.512,0.41,0.442,0.482,0.484,0.444,0.493,0.405,0.532,0.455,0.499,0.477,0.603,0.526,0.518,0.425,0.536,0.57,0.539,0.426,0.464,0.432,0.515,0.525,0.465,0.505,0.491,0.45,0.466,0.524,0.472,0.455
60,32.296,46.5821342,0.01,0,0,32.762,0,0,0,0,0,0,0.907,0.868,0.876,0.312,0.607,0.452,0.312,0.607,0.452,103,103,83|53|49|16|88|32|57|55|15|89|87|84|94|52|100|79|93|35|96|71|30|56|85|69|81|97|75|77|22|54,0.607|0.589|0.571|0.571|0.562|0.551|0.549|0.548|0.538|0.538|0.531|0.529|0.527|0.526|0.526|0.524|0.524|0.518|0.505|0.502|0.498|0.497|0.496|0.494|0.493|0.491|0.49|0.488|0.483|0.483,0.378,0.328,0.312,0.403,0.328,0.407,0.389,0.45,0.428,0.438,0.446,0.412,0.407,0.416,0.466,0.538,0.571,0.45,0.483,0.389,0.424,0.423,0.483,0.436,0.417,0.383,0.37,0.406,0.426,0.433,0.498,0.381,0.551,0.41,0.467,0.518,0.382,0.433,0.421,0.472,0.442,0.438,0.439,0.475,0.415,0.468,0.41,0.44,0.429,0.571,0.439,0.473,0.526,0.589,0.483,0.548,0.497,0.549,0.455,0.432,0.364,0.315,0.378,0.472,0.398,0.348,0.355,0.482,0.425,0.494,0.407,0.502,0.411,0.44,0.478,0.49,0.44,0.488,0.408,0.524,0.447,0.493,0.471,0.607,0.529,0.496,0.421,0.531,0.562,0.538,0.426,0.465,0.42,0.524,0.527,0.455,0.505,0.491,0.451,0.474,0.526,0.463,0.451
70,18.506,46.3683357,0.01,0,0,18.97,0,0,0,0,0,0,0.907,0.872,0.877,0.305,0.615,0.45,0.305,0.615,0.45,103,103,83|53|49|16|88|57|55|32|93|87|100|15|79|52|89|84|35|94|85|96|71|75|77|45|81|30|56|54|18|67,0.615|0.576|0.556|0.552|0.546|0.545|0.544|0.543|0.541|0.534|0.531|0.527|0.522|0.521|0.52|0.52|0.519|0.516|0.501|0.496|0.494|0.493|0.49|0.489|0.488|0.487|0.484|0.484|0.484|0.483,0.359,0.343,0.325,0.402,0.32,0.406,0.394,0.438,0.413,0.439,0.437,0.42,0.384,0.424,0.46,0.527,0.552,0.457,0.484,0.394,0.432,0.42,0.482,0.436,0.419,0.386,0.383,0.399,0.41,0.442,0.487,0.389,0.543,0.396,0.45,0.519,0.39,0.422,0.421,0.462,0.438,0.445,0.433,0.471,0.412,0.489,0.42,0.448,0.428,0.556,0.453,0.476,0.521,0.576,0.484,0.544,0.484,0.545,0.439,0.435,0.365,0.305,0.37,0.481,0.397,0.358,0.355,0.483,0.43,0.478,0.401,0.494,0.417,0.435,0.48,0.493,0.446,0.49,0.413,0.522,0.458,0.488,0.462,0.615,0.52,0.501,0.41,0.534,0.546,0.52,0.43,0.468,0.428,0.541,0.516,0.456,0.496,0.475,0.445,0.466,0.531,0.443,0.443
80,1.393,45.1284714,0.01,0,0,1.845,0,0,0,0,0,0,0.909,0.878,0.88,0.298,0.616,0.438,0.298,0.616,0.438,103,103,83|88|93|53|30|87|49|79|94|100|16|55|57|84|35|96|63|71|89|97|85|81|32|51|43|54|74|52|15|75,0.616|0.568|0.545|0.523|0.523|0.515|0.514|0.512|0.511|0.511|0.506|0.504|0.503|0.497|0.497|0.495|0.494|0.492|0.491|0.491|0.489|0.486|0.483|0.483|0.481|0.481|0.48|0.477|0.476|0.473,0.399,0.333,0.321,0.377,0.308,0.434,0.377,0.411,0.403,0.439,0.44,0.387,0.38,0.435,0.416,0.476,0.506,0.462,0.416,0.408,0.398,0.397,0.45,0.43,0.426,0.404,0.381,0.39,0.399,0.429,0.523,0.383,0.483,0.376,0.417,0.497,0.369,0.374,0.4,0.431,0.439,0.464,0.433,0.481,0.398,0.471,0.446,0.427,0.416,0.514,0.432,0.483,0.477,0.523,0.481,0.504,0.467,0.503,0.416,0.424,0.36,0.298,0.355,0.494,0.403,0.334,0.341,0.443,0.442,0.466,0.385,0.492,0.428,0.442,0.48,0.473,0.414,0.461,0.417,0.512,0.436,0.486,0.445,0.616,0.497,0.489,0.433,0.515,0.568,0.491,0.431,0.42,0.435,0.545,0.511,0.468,0.495,0.491,0.429,0.437,0.511,0.434,0.416
90,2.611,41.7645683,0.01,0,0,3.029,0,0,0,0,0,0,0.902,0.861,0.87,0.259,0.619,0.405,0.259,0.619,0.405,103,103,83|88|93|30|79|100|87|49|96|84|81|63|97|54|53|55|94|89|35|71|74|51|85|43|52|95|69|77|45|86,0.619|0.556|0.532|0.526|0.491|0.491|0.488|0.479|0.478|0.477|0.475|0.473|0.472|0.472|0.471|0.468|0.465|0.464|0.464|0.463|0.463|0.46|0.459|0.459|0.453|0.451|0.443|0.442|0.441|0.435,0.405,0.328,0.325,0.356,0.274,0.426,0.333,0.383,0.355,0.397,0.387,0.333,0.331,0.38,0.371,0.428,0.414,0.414,0.361,0.36,0.338,0.351,0.412,0.39,0.392,0.368,0.359,0.36,0.362,0.372,0.526,0.339,0.413,0.33,0.358,0.464,0.33,0.322,0.373,0.387,0.4,0.431,0.387,0.459,0.358,0.441,0.434,0.395,0.375,0.479,0.387,0.46,0.453,0.471,0.472,0.468,0.424,0.416,0.366,0.393,0.322,0.259,0.324,0.473,0.365,0.309,0.302,0.411,0.429,0.443,0.338,0.463,0.411,0.409,0.463,0.433,0.389,0.442,0.398,0.491,0.413,0.475,0.408,0.619,0.477,0.459,0.435,0.488,0.556,0.464,0.426,0.403,0.399,0.532,0.465,0.451,0.478,0.472,0.403,0.398,0.491,0.419,0.386
